"pos.x","pos.y","pos.z","volume","rho","vel.x","vel.y","vel.z","p","a","mu","k","mu_t","k_t","S","massf[0]-air","u","T","M_local","vel.vector:0","vel.vector:1","vel.vector:2","Points:0","Points:1","Points:2"
-1.359730958938599e-07,-1.311151742935181,0,0.005559885408729315,1.292749047279358,662.39404296875,0.000302359345369041,0,101324.46875,331.2562255859375,1.71599804161815e-05,0.02409996651113033,0,0,0,1,195947.671875,272.9995727539062,1.999642372131348,662.39404296875,0.000302359345369041,0,4.341931121690538e-16,-1.350000023841858,0
0.2003074884414673,-1.300577163696289,0,0.005607096012681723,1.292714238166809,662.3976440429688,0.01313743460923433,0,101320.5625,331.2543029785156,1.715982216410339e-05,0.02409971132874489,0,0,0,1,195945.390625,272.9964294433594,1.999665021896362,662.3976440429688,0.01313743460923433,0,0.1691982299089432,-1.339347004890442,0
0.3617349565029144,-1.265220522880554,0,0.005608116276562214,1.293123722076416,662.3699340820312,-0.09764864295721054,0,101366.6171875,331.277099609375,1.716168662824202e-05,0.02410274744033813,0,0,0,1,195972.375,273.0339965820312,1.999443650245667,662.3699340820312,-0.09764864295721054,0,0.3357319533824921,-1.307588219642639,0
0.5174561142921448,-1.209908962249756,0,0.005607837811112404,1.291762113571167,662.4108276367188,0.2684089541435242,0,101209.9609375,331.1953735351562,1.71550054801628e-05,0.02409186027944088,0,0,0,1,195875.6875,272.8992919921875,2.00006103515625,662.4108276367188,0.2684089541435242,0,0.4969735741615295,-1.255217909812927,0
0.6650130152702332,-1.135504722595215,0,0.005606159102171659,1.28840970993042,663.29052734375,1.305474162101746,0,100815.0078125,330.9781188964844,1.713724486762658e-05,0.02406292967498302,0,0,0,1,195618.828125,272.5414428710938,2.004038095474243,663.29052734375,1.305474162101746,0,0.6503524780273438,-1.182989954948425,0
0.8020909428596497,-1.043208003044128,0,0.005608285777270794,1.38603687286377,654.121826171875,-22.32678413391113,0,112071.7421875,336.2352294921875,1.756727215251885e-05,0.0247654877603054,0,0,0,1,201909.1875,281.3053283691406,1.947763085365295,654.121826171875,-22.32678413391113,0,0.7935143709182739,-1.092177987098694,0
0.9265153408050537,-0.9344564080238342,0,0.005607716739177704,1.500470638275146,644.0438842773438,-51.84690475463867,0,125672.78125,342.3257141113281,1.806570435292087e-05,0.02558184787631035,0,0,0,1,209275.34375,291.5680541992188,1.88806140422821,644.0438842773438,-51.84690475463867,0,0.9241474866867065,-0.9841210246086121,0
1.036322236061096,-0.8109594583511353,0,0.005606693215668201,1.419818997383118,657.3602294921875,-40.26792526245117,0,116610.15625,338.8656616210938,1.77824949787464e-05,0.02511763758957386,0,0,0,1,205077.28125,285.7192077636719,1.94458019733429,657.3602294921875,-40.26792526245117,0,1.040173292160034,-0.8605083823204041,0
1.129797220230103,-0.6746828556060791,0,0.00560842314735055,1.212918877601624,685.544677734375,6.261614322662354,0,93383.6640625,327.7154541015625,1.687089206825476e-05,0.02363140136003494,0,0,0,1,191847.1875,267.2866821289062,2.094989061355591,685.544677734375,6.261614322662354,0,1.139856934547424,-0.7233763933181763,0
1.205444812774658,-0.5277613997459412,0,0.00560695631429553,1.074736356735229,692.445068359375,38.20833969116211,0,80080.8203125,322.9585876464844,1.648218130867463e-05,0.02299908176064491,0,0,0,1,186255.234375,259.4958190917969,2.147582054138184,692.445068359375,38.20833969116211,0,1.221514225006104,-0.5748048424720764,0
1.262083649635315,-0.3725155889987946,0,0.00560734374448657,1.175628781318665,668.0182495117188,11.39115810394287,0,92625.3359375,331.6481323242188,1.719225656415801e-05,0.02415416389703751,0,0,0,1,196469.640625,273.726806640625,2.016995191574097,668.0182495117188,11.39115810394287,0,1.283908128738403,-0.4171686470508575,0
1.298829436302185,-0.2113997042179108,0,0.005608775652945042,1.197824954986572,654.4513549804688,-1.004185795783997,0,97898.5625,338.3036193847656,1.773645089997444e-05,0.02504177950322628,0,0,0,1,204380.171875,284.7479553222656,1.934623599052429,654.4513549804688,-1.004185795783997,0,1.326117515563965,-0.2529730796813965,0
1.315072536468506,-0.04694681614637375,0,0.005606103222817183,1.064300179481506,606.7781982421875,0.6382418274879456,0,96305.3984375,356.6292114257812,1.923779382195789e-05,0.02752096951007843,0,0,0,1,227374.296875,316.7840270996094,1.706573009490967,606.7781982421875,0.6382418274879456,0,1.347321033477783,-0.08477088063955307,0
1.31058394908905,0.1182475239038467,0,0.005606865976005793,1.122243523597717,626.2679443359375,-0.1649298220872879,0,97243.21875,348.919189453125,1.860601514636073e-05,0.02647588029503822,0,0,0,1,217623.90625,303.1995239257812,1.799366116523743,626.2679443359375,-0.1649298220872879,0,1.34731388092041,0.08476442098617554,0
1.285439491271973,0.2815764546394348,0,0.005608393810689449,1.222245335578918,655.4527587890625,2.331420421600342,0,99056.984375,336.8716125488281,1.761926978360862e-05,0.02484997175633907,0,0,0,1,202653.125,282.341796875,1.945830464363098,655.4527587890625,2.331420421600342,0,1.326109290122986,0.2529667615890503,0
1.24000871181488,0.4404623806476593,0,0.005607051774859428,1.112346053123474,679.512939453125,-27.65002822875977,0,85514.171875,327.5546569824219,1.685771349002607e-05,0.023609708994627,0,0,0,1,191648.796875,267.0102844238281,2.078755617141724,679.512939453125,-27.65002822875977,0,1.283917665481567,0.4171668887138367,0
1.175027251243591,0.5924045443534851,0,0.005607870407402515,1.102440357208252,695.7242431640625,-32.50229644775391,0,82023.75,322.7407531738281,1.646439886826556e-05,0.02297026105225086,0,0,0,1,186003.09375,259.14453125,2.158180236816406,695.7242431640625,-32.50229644775391,0,1.221519827842712,0.5748012065887451,0
