"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -3.832369225,       -3.74825755,      -4.168318863,      -4.115514163,       -3.39336607,      -8.259196233
          0,           0,          55,      -3.673736478,      -3.753307081,      -4.162071271,      -4.007259034,       -3.20813614,      -8.222317693
          0,           0,          56,      -3.416135187,      -3.707786669,      -4.030724517,      -3.672492572,      -2.951018114,       -8.21656854
          0,           0,          57,      -3.608714534,      -3.654802745,      -4.139498102,      -3.637139216,      -3.150704616,      -8.177124159
          0,           0,          58,      -3.613689617,      -3.647430795,      -4.064303633,      -3.609598662,      -3.154236832,      -8.187532351
          0,           0,          59,      -3.539490444,       -3.62801374,      -4.038452099,      -3.559493502,      -3.095278176,      -8.182409824
          0,           0,          60,      -3.731678061,      -3.659481893,      -4.045313995,      -3.630084156,      -3.312641998,      -8.187908863
          0,           0,          61,      -3.611827824,      -3.667291137,      -4.033178339,      -3.656220349,      -3.168668438,      -8.219059605
          0,           0,          62,      -3.633927071,       -3.67394934,      -4.058762084,       -3.67922173,      -3.196109852,      -8.210857198
          0,           0,          63,       -3.68297611,      -3.651078661,      -4.040786602,      -3.613274238,      -3.272222398,      -8.212847239
          0,           0,          64,      -3.391119762,       -3.63837376,      -4.012759632,       -3.62723301,      -2.927958203,      -8.189100996
          0,           0,          65,      -3.361590796,      -3.555627587,      -3.980925032,      -3.365045819,      -2.897188878,      -8.183972499
          0,           0,          66,      -3.339861847,      -3.581320989,      -3.986290225,      -3.534616765,      -2.877337323,      -8.198435599
          0,           0,          67,      -3.095818035,      -3.535083196,      -3.922987015,      -3.355141226,      -2.639253769,      -8.260507739
          0,           0,          68,      -3.255936362,      -3.565825069,      -3.961633847,      -3.322191918,       -2.80160543,      -8.276202375
          0,           0,          69,      -3.405769113,      -3.602585525,      -3.956075206,      -3.396201933,      -2.953027692,      -8.261466175
          0,           0,          70,      -3.515552207,      -3.664150126,      -3.940719203,      -3.527940522,      -3.054148951,      -8.263490448
          0,           0,          71,      -3.238282196,      -3.587096624,      -3.845103481,      -3.519670021,      -2.774718026,      -8.232956563
          0,           0,          72,      -3.351470549,      -3.569801619,      -3.942881019,      -3.569425892,      -2.896564972,      -8.225145786
          0,           0,          73,      -3.460550563,        -3.6082942,      -3.951705844,      -3.672101039,      -3.015914974,      -8.219573529
          0,           0,          74,      -3.413835485,      -3.599026044,      -3.938825648,      -3.631673895,      -2.956430762,      -8.199568842
          0,           0,          75,      -3.438303407,       -3.59317538,      -3.932633503,      -3.549808652,      -2.980178749,      -8.222168886
          0,           0,          76,      -3.216137694,      -3.669293658,      -3.899385473,      -3.584336762,      -2.760062492,      -8.221472523
          0,           0,          77,      -3.596029377,        -3.7342155,      -3.977550356,      -3.620330921,      -3.147399966,      -8.209564214
          0,           0,          78,      -3.696351962,      -3.765164307,      -4.029156307,      -3.694460914,      -3.250663794,      -8.215159527
          0,           0,          79,      -3.303549405,      -3.773865643,      -4.040490629,      -3.576078066,      -2.848478109,      -8.211856345
          0,           0,          80,      -3.581416752,      -3.746713336,      -4.073766886,       -3.60625328,      -3.113664726,      -8.196248207
          0,           0,          81,       -3.53961026,      -3.743713906,      -4.097754603,      -3.542409348,       -3.07765023,      -8.206516037
          0,           0,          82,      -3.694742881,      -3.799184212,      -4.120093583,      -3.755564041,      -3.234755643,      -8.207308816
          0,           0,          83,      -3.713530678,       -3.80654209,      -4.180816894,      -3.837672553,      -3.247993915,      -8.162634921
          0,           0,          84,      -3.814235692,      -3.819784282,      -4.207301293,      -3.832848367,      -3.350514868,      -8.114023454
          0,           0,          85,      -3.848861811,      -3.833529269,      -4.231437389,       -3.97773718,      -3.392329816,      -8.079323538
          0,           0,          86,      -3.810777403,      -3.866873038,      -4.230035626,      -3.971700687,      -3.348322594,      -8.119691792
          0,           0,          87,       -3.77379907,      -3.835512854,      -4.196346696,      -3.972256387,       -3.30008529,      -8.119224987
          0,           0,          88,      -3.572688633,      -3.816635482,      -4.070815075,       -3.59573511,      -3.101322006,      -8.108078895
          0,           0,          89,      -3.724274908,      -3.797834084,      -4.073988941,      -3.749671711,      -3.254128255,      -8.104701356
          0,           0,          90,      -3.712496471,      -3.764959724,      -4.034606897,      -3.693831822,      -3.255955835,      -8.115147051
          0,           0,          91,      -3.650285499,      -3.730204098,      -4.103703813,      -3.732470283,      -3.188370829,      -8.131184438
          0,           0,          92,      -3.635244901,      -3.741252431,      -4.127000784,      -3.714704938,      -3.172965173,      -8.114730194
          0,           0,          93,      -3.718875676,      -3.727549004,      -4.091374804,      -3.751984464,      -3.247938271,      -8.088701636
          0,           0,          94,      -3.438514649,      -3.574406764,      -4.120945058,      -3.778195752,      -2.972747737,      -8.091492442
          0,           0,          95,      -3.549559623,      -3.614830106,      -4.135984906,      -3.889325603,       -3.08581906,      -8.098001256
          0,           0,          96,      -3.624742583,      -3.666798386,      -4.153077915,      -3.829561733,      -3.173101835,      -8.120661394
          0,           0,          97,      -3.663954564,      -3.678847891,      -4.152557001,      -3.866416257,      -3.214916951,      -8.142396815
          0,           0,          98,      -3.569871048,      -3.647396374,      -4.185726699,      -3.754006752,      -3.110938174,      -8.150817631
          0,           0,          99,      -3.688063497,       -3.69205834,      -4.227840524,      -3.946095854,      -3.239627951,      -8.155047963
          0,           0,         100,      -3.676359061,      -3.729628538,      -4.274119277,      -4.034781814,      -3.235755138,      -8.163001735
          0,           0,         101,      -3.829720522,      -3.763270451,      -4.320232234,      -4.004291581,      -3.405539726,      -8.169270707
          0,           0,         102,       -3.93335624,      -3.812640095,      -4.341735984,      -3.943139847,      -3.504189459,      -8.171108787
          0,           0,         103,      -4.001260463,        -3.8551283,      -4.387777124,      -4.188748484,      -3.552122493,      -8.170101887
          0,           0,         104,      -3.778394294,      -3.825956873,       -4.37763497,      -4.187063892,      -3.334019999,      -8.165221392
          0,           0,         105,       -3.70631663,      -3.878085129,      -4.404893291,      -4.079618111,      -3.251597202,      -8.163929278
          0,           0,         106,      -3.772202445,      -3.888027368,       -4.29427677,      -4.096962366,      -3.323071784,      -8.132740714
          0,           0,         107,      -3.647035312,      -3.856245447,      -4.251959131,      -3.977793479,      -3.194529661,      -8.170593372
          0,           0,         108,      -3.588762164,       -3.74387488,      -4.261323505,      -3.645840687,      -3.128916685,      -8.168978795
          0,           0,         109,       -3.57306097,      -3.828694685,      -4.268529447,      -3.906160698,      -3.117393834,      -8.169387984
          0,           0,         110,       -3.59153255,      -3.795448448,      -4.182702872,      -3.867501123,      -3.136646337,      -8.143252803
          0,           0,         111,      -3.139768953,      -3.675388662,      -4.000153249,      -3.667019619,      -2.686620569,      -8.142598062
          0,           0,         112,      -3.403937372,      -3.743617837,      -4.056554646,      -3.741925182,      -2.945823186,      -8.105049095
          0,           0,         113,      -3.302123475,      -3.457319692,      -3.911801541,      -3.770918913,       -2.85926006,      -8.093180604
          0,           0,         114,       -3.51570793,       -3.67798807,      -4.131059099,      -3.816149021,      -3.053163525,      -8.121017078
          0,           0,         115,      -3.506828068,      -3.827849451,      -4.201462003,      -3.698387949,      -3.034521176,      -8.100699802
          0,           0,         116,      -3.208873664,      -3.522226101,      -3.899164774,      -3.630865724,      -2.776095633,      -8.112634364
          0,           0,         117,      -3.225420814,      -3.524110066,      -3.963558451,      -3.456023912,      -2.763211159,      -8.103614495
          0,           0,         118,      -3.610439659,      -3.818782111,       -4.21368892,      -3.695237019,      -3.147199073,      -8.155366071
          0,           0,         119,      -3.739765581,      -3.826522973,      -4.225191672,      -3.866400294,      -3.298273941,      -8.164188178
          0,           0,         120,        -3.8192052,      -3.894250246,      -4.248038867,      -3.926788364,       -3.36681066,      -8.170723466
          0,           0,         121,      -3.733204783,      -3.883177844,       -4.25823846,      -3.988723117,      -3.283919015,      -8.169377806
          0,           0,         122,      -3.750775699,      -3.869619157,      -4.269866357,      -3.966126146,      -3.284402442,      -8.157312127
          0,           0,         123,      -3.885993093,      -3.925568353,      -4.259229536,      -3.958616455,      -3.419921023,      -8.150791682
          0,           0,         124,      -3.823343208,      -3.931703307,      -4.194291448,      -4.086971811,      -3.349848639,      -8.143788417
          0,           0,         125,      -3.804639015,      -3.921730675,      -4.185245268,      -4.077178207,      -3.334288887,      -8.138004222
          0,           0,         126,      -3.433123846,      -3.886027515,      -4.148180231,      -4.083207756,      -2.979831737,      -8.142152254
          0,           0,         127,      -3.747004012,      -3.917379728,       -4.30936608,      -4.020518167,      -3.286251608,      -8.138171734
          0,           0,         128,      -3.940385953,      -3.947932677,      -4.409738882,      -4.126145357,      -3.489409642,       -8.14350206
          0,           0,         129,      -3.885096274,      -3.946370575,      -4.395393498,      -4.158449312,        -3.4298862,      -8.148433241
          0,           0,         130,      -3.855077114,      -3.993714638,      -4.331320945,      -4.150714464,      -3.399561638,      -8.143193575
          0,           0,         131,       -3.73848515,      -4.002380233,      -4.313468758,      -4.153349555,      -3.283692361,      -8.122391676
          0,           0,         132,      -3.711837566,      -4.049644495,      -4.360233615,      -4.083703968,      -3.254879702,      -8.143291112
          0,           0,         133,      -3.810837427,      -4.096732647,      -4.382752975,      -4.113324195,      -3.359213774,      -8.172699669
          0,           0,         134,       -3.95114554,      -4.143034523,       -4.41940947,      -4.083201545,      -3.500329687,      -8.179960846
          0,           0,         135,      -4.013046849,      -4.175718647,      -4.418782509,      -4.215916857,      -3.564474569,      -8.191976513
          0,           0,         136,      -4.143037779,      -4.159714419,       -4.43864612,      -4.294849398,      -3.692409948,      -8.213545892
          0,           0,         137,      -3.992431893,      -4.116444642,      -4.408002676,       -4.25773787,      -3.539708711,       -8.23643445
          0,           0,         138,      -3.997357078,      -4.063799145,      -4.362092466,      -4.170786542,      -3.536667485,       -8.26177745
          0,           0,         139,      -3.940062558,      -4.059015651,       -4.36301162,      -4.174269627,      -3.479108291,      -8.276323402
          0,           0,         140,      -3.953579382,      -4.079648086,      -4.374111463,      -4.136995811,      -3.485257461,      -8.268709607
          0,           0,         141,      -3.954874827,      -4.088679982,      -4.404357547,      -4.164090661,      -3.492942395,      -8.250590271
          0,           0,         142,      -3.851096862,      -4.080499104,      -4.437474739,      -4.197499463,      -3.387870584,      -8.275542225
          0,           0,         143,      -3.962190443,        -4.1217782,      -4.434195951,        -4.0786971,      -3.492310885,      -8.272344607
          0,           0,         144,      -4.038820827,      -4.161920113,      -4.375527539,      -4.116175426,      -3.567184748,      -8.241993587
          0,           0,         145,      -3.980121481,      -4.209002235,      -4.347346328,      -4.027992994,      -3.524010773,      -8.208747325
          0,           0,         146,      -4.032973143,      -4.150302695,      -4.410218818,      -4.100013116,      -3.586845153,      -8.209181709
          0,           0,         147,       -4.13107994,       -4.11865588,      -4.454620065,      -4.191076858,       -3.67905292,      -8.220693075
          0,           0,         148,      -4.138041597,      -4.080082282,      -4.419404094,      -4.099270646,      -3.693660123,      -8.247512274
          0,           0,         149,      -3.947902148,       -4.09075609,      -4.387919425,      -4.248154757,      -3.492873306,      -8.267132402
          0,           0,         150,      -4.146058057,      -4.089271443,      -4.410780194,      -4.293671231,      -3.687751009,      -8.277579687
          0,           0,         151,      -4.194223511,      -4.106989705,      -4.432901655,      -4.365061643,      -3.729420971,       -8.28000109
          0,           0,         152,      -4.193720765,       -4.09028796,      -4.466748553,      -4.503772059,      -3.737495781,      -8.306517264
          0,           0,         153,      -4.145597793,      -4.093832865,      -4.478023334,      -4.481785822,      -3.693531756,      -8.329819589
