"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
15, 6.180339813232000e+00, -1.902112960815400e+01, 9.997953103053888e-01, 1.774612458060483e+00, 2.181269948693415e-04, 4.074249020034176e+00, 9.997207730617617e-01, 9.999254474962436e-01, 1.500184263854725e+00, -1.772869449132329e-04
16, 8.515589714050000e+00, -1.809654045105000e+01, 9.991668733235104e-01, 1.774439795299817e+00, 1.665165696369744e-03, 4.072039346312719e+00, 9.985627859933066e-01, 9.993954089688799e-01, 1.501380394143424e+00, -9.125168296465960e-04
17, 1.071654033660900e+01, -1.688656044006300e+01, 1.001595154888809e+00, 1.776230335379811e+00, -1.770130230109359e-03, 4.080868781289843e+00, 1.002352983831390e+00, 1.000756622013277e+00, 1.498231864496832e+00, 1.493957988184014e-03
18, 1.274847984314000e+01, -1.541026020050000e+01, 1.011089218265373e+00, 1.784822002867704e+00, -1.044013436835629e-02, 4.115555939652160e+00, 1.016070551318277e+00, 1.004926699803456e+00, 1.488269738342659e+00, 1.020352464652526e-02
19, 1.457936954498300e+01, -1.369093990325900e+01, 1.011781241090015e+00, 1.786993834383261e+00, -1.192359294896208e-02, 4.118633747820354e+00, 1.016192707466856e+00, 1.004360098999354e+00, 1.489489188323662e+00, 1.028108410594059e-02
20, 1.618033981323200e+01, -1.175570011138900e+01, 1.002116950317903e+00, 1.777591528496007e+00, -3.277995669790137e-03, 4.083109766132144e+00, 1.002610448664526e+00, 1.000492455842071e+00, 1.498798933130571e+00, 1.657427723508699e-03
21, 1.752614021301300e+01, -9.635069847106999e+00, 9.970949929869838e-01, 1.771447655443256e+00, 2.321726616017318e-03, 4.064061345127643e+00, 9.961895878284449e-01, 9.990919569700911e-01, 1.502191887462245e+00, -2.419309315273073e-03
22, 1.859552955627400e+01, -7.362490177155000e+00, 9.991736190397953e-01, 1.773434010041053e+00, 9.521216173748338e-04, 4.071673061849103e+00, 9.991351708825607e-01, 9.999615200436620e-01, 1.500094002401968e+00, -5.490978523424431e-04
23, 1.937166023254400e+01, -4.973790168762000e+00, 9.999843279108059e-01, 1.773338533798767e+00, -5.493863747961481e-04, 4.074197453594589e+00, 1.000723152929803e+00, 1.000738836598110e+00, 1.498214801894956e+00, 4.591447173350024e-04
24, 1.984229087829600e+01, -2.506659984589000e+00, 9.958026680890362e-01, 1.758903083247999e+00, 5.699019720934632e-04, 4.053610382934306e+00, 1.000088039118611e+00, 1.004303433970305e+00, 1.489608547843218e+00, 5.589785308655697e-05
