"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,          38,      -4.640917598,      -6.665075587,      -6.499600406,      -8.467299216,      -5.160042257,    -0.05453253034,      -1.120533739,       3.815673401,      0.8609452685
          0,           0,          39,      -4.642853012,      -6.666995102,      -6.501464892,      -8.465649131,       -5.16197837,    -0.06667091592,      -1.125776786,       3.803728096,      0.8481040402
          0,           0,          40,      -4.644738212,      -6.668864537,      -6.503279204,      -8.464007092,      -5.163864272,    -0.07859205904,      -1.131076841,       3.791965851,      0.8354525724
          0,           0,          41,      -4.646575765,      -6.670686416,      -6.505045806,      -8.462370829,       -5.16570253,    -0.09029846616,      -1.136439718,       3.780377367,      0.8229829007
          0,           0,          42,      -4.648368527,      -6.672463551,      -6.506767268,       -8.46073795,      -5.167496004,     -0.1017921611,      -1.141871169,        3.76897199,      0.8106902125
          0,           0,          43,      -4.650118351,      -6.674197776,       -6.50844572,       -8.45910739,      -5.169246542,     -0.1130789634,        -1.1473678,       3.757707359,      0.7985631764
          0,           0,          44,      -4.651827395,      -6.675891209,       -6.51008306,      -8.457476709,      -5.170956305,     -0.1241593102,      -1.152931374,       3.746593387,      0.7865972172
          0,           0,          45,       -4.65349771,       -6.67754587,      -6.511681261,      -8.455844192,      -5.172627345,     -0.1350362096,      -1.158560257,        3.73562392,       0.774786429
          0,           0,          46,       -4.65513113,      -6.679163566,      -6.513242089,      -8.454208238,      -5.174261496,     -0.1457127214,      -1.164251911,       3.724793372,      0.7631253228
          0,           0,          47,      -4.656728905,      -6.680745522,      -6.514766757,      -8.452567373,      -5.175860008,     -0.1561920947,      -1.170004655,       3.714096614,      0.7516087476
          0,           0,          48,      -4.658292645,      -6.682293323,      -6.516256818,      -8.450920226,       -5.17742449,     -0.1664775292,      -1.175813817,       3.703529059,      0.7402319187
          0,           0,          49,      -4.659824123,      -6.683808721,       -6.51771398,      -8.449265479,      -5.178956717,      -0.176572189,      -1.181675486,       3.693086581,      0.7289903869
          0,           0,          50,      -4.661323585,      -6.685291946,      -6.519138536,      -8.447601903,      -5.180456934,     -0.1864847312,      -1.187587171,       3.682765341,      0.7178794187
          0,           0,          51,      -4.662793207,      -6.686745153,      -6.520532555,      -8.445928465,      -5.181927318,     -0.1962147986,      -1.193540283,       3.672560995,      0.7068954575
          0,           0,          52,      -4.664234362,      -6.688169695,      -6.521897365,      -8.444244152,      -5.183369241,     -0.2057660349,      -1.199529528,       3.662470232,      0.6960348238
          0,           0,          53,      -4.665648432,      -6.689566936,      -6.523234306,      -8.442548025,      -5.184784086,     -0.2151421575,      -1.205549269,       3.652490012,      0.6852940688
          0,           0,          54,      -4.667036656,      -6.690938101,      -6.524544578,      -8.440839224,      -5.186173093,     -0.2243469315,      -1.211593819,       3.642617519,      0.6746699632
          0,           0,          55,      -4.668400238,      -6.692284375,      -6.525829346,      -8.439116951,      -5.187537465,     -0.2333841573,      -1.217657668,       3.632850182,      0.6641594729
          0,           0,          56,      -4.669740322,      -6.693606891,       -6.52708972,      -8.437380473,      -5.188878347,     -0.2422576865,      -1.223735407,       3.623185615,      0.6537597572
          0,           0,          57,      -4.671057985,      -6.694906708,      -6.528326741,      -8.435629102,      -5.190196814,     -0.2509713901,      -1.229821784,       3.613621616,      0.6434681477
          0,           0,          58,      -4.672353834,      -6.696184422,      -6.529541005,      -8.433862228,      -5.191493477,     -0.2595292344,      -1.235912171,       3.604155984,      0.6332820708
          0,           0,          59,      -4.673628358,      -6.697440511,      -6.530732994,      -8.432079256,      -5.192768821,     -0.2679349341,      -1.242001151,        3.59478699,      0.6231991977
          0,           0,          60,      -4.674882317,      -6.698675722,      -6.531903447,      -8.430279631,      -5.194023609,     -0.2761923633,      -1.248084203,       3.585512902,      0.6132173168
          0,           0,          61,       -4.67611639,      -6.699890722,      -6.533053026,      -8.428462829,      -5.195258518,     -0.2843053981,      -1.254157259,       3.576332089,      0.6033343303
          0,           0,          62,      -4.677330494,       -6.70108542,      -6.534181666,      -8.426628381,      -5.196473466,     -0.2922778932,      -1.260216978,       3.567242864,       0.593548172
          0,           0,          63,      -4.678524881,      -6.702260058,      -6.535289623,      -8.424775798,      -5.197668703,     -0.3001134245,      -1.266258611,       3.558243998,      0.5838570354
          0,           0,          64,      -4.679700075,      -6.703415149,      -6.536377409,      -8.422904613,      -5.198844753,     -0.3078157149,      -1.272278095,       3.549334189,      0.5742591656
          0,           0,          65,      -4.680856554,      -6.704551162,      -6.537445493,      -8.421014364,      -5.200002097,     -0.3153884433,      -1.278271552,       3.540512218,      0.5647529055
          0,           0,          66,      -4.681994791,      -6.705668562,      -6.538494338,      -8.419104594,      -5.201141206,     -0.3228352323,      -1.284235475,       3.531776942,      0.5553366893
          0,           0,          67,      -4.683115179,      -6.706767725,      -6.539524308,      -8.417173788,      -5.202262472,     -0.3301596715,       -1.29016642,       3.523127281,      0.5460090368
          0,           0,          68,      -4.684218156,      -6.707849086,      -6.540535851,      -8.415222555,      -5.203366335,     -0.3373652746,      -1.296061389,       3.514562226,      0.5367685417
          0,           0,          69,      -4.685304621,       -6.70891354,       -6.54152982,      -8.413247027,      -5.204453692,     -0.3444554905,      -1.301917145,       3.506080814,      0.5276138793
          0,           0,          70,       -4.68637466,      -6.709961163,      -6.542506333,      -8.411250559,      -5.205524631,     -0.3514337097,      -1.307730935,       3.497682138,       0.518543778
          0,           0,          71,      -4.687428364,      -6.710992033,      -6.543465462,      -8.409232187,      -5.206579241,     -0.3583032542,      -1.313500086,       3.489365343,      0.5095570461
          0,           0,          72,      -4.688466045,      -6.712006455,      -6.544407509,      -8.407191378,      -5.207617836,     -0.3650673535,      -1.319221815,        3.48112961,      0.5006525474
          0,           0,          73,      -4.689487995,      -6.713004709,      -6.545332757,       -8.40512759,      -5.208640707,     -0.3717291584,      -1.324893768,        3.47297415,      0.4918291991
          0,           0,          74,      -4.690494511,      -6.713987085,      -6.546241489,      -8.403040164,       -5.20964815,     -0.3782917411,      -1.330513697,        3.46489821,      0.4830859741
          0,           0,          75,      -4.691485872,      -6.714953854,      -6.547133977,      -8.400928623,      -5.210640445,     -0.3847580978,      -1.336079526,       3.456901062,      0.4744218884
          0,           0,          76,       -4.69246234,      -6.715905269,       -6.54801047,      -8.398792364,      -5.211617855,      -0.391131139,      -1.341589195,       3.448981993,      0.4658360044
          0,           0,          77,      -4.693424466,      -6.716841877,      -6.548871488,      -8.396629127,      -5.212580928,     -0.3974136927,      -1.347040972,       3.441140302,      0.4573274309
          0,           0,          78,      -4.694372335,      -6.717763762,      -6.549717133,      -8.394440016,      -5.213529752,     -0.4036085286,      -1.352433106,       3.433375308,      0.4488952979
          0,           0,          79,      -4.695306806,      -6.718671766,      -6.550548204,      -8.392217942,      -5.214465186,     -0.4097184026,      -1.357764147,       3.425686215,      0.4405387189
          0,           0,          80,      -4.696227633,      -6.719565644,      -6.551364496,      -8.389969319,      -5.215386982,     -0.4157458625,      -1.363032824,        3.41807244,       0.432256938
          0,           0,          81,      -4.697134696,      -6.720445257,      -6.552165852,      -8.387692636,      -5.216295022,     -0.4216934383,      -1.368237961,        3.41053332,      0.4240492057
          0,           0,          82,      -4.698028234,      -6.721310838,      -6.552952498,      -8.385387151,      -5.217189543,     -0.4275635927,      -1.373378495,       3.403068169,      0.4159147821
          0,           0,          83,      -4.698908479,      -6.722162611,      -6.553724649,      -8.383052111,      -5.218070778,     -0.4333587165,      -1.378453499,       3.395676291,      0.4078529449
          0,           0,          84,      -4.699775668,      -6.723000805,      -6.554482525,      -8.380686747,      -5.218938965,     -0.4390811325,       -1.38346215,       3.388356986,       0.399862994
          0,           0,          85,      -4.700630028,      -6.723825639,      -6.555226335,      -8.378290279,       -5.21979433,     -0.4447330908,      -1.388403765,       3.381109549,      0.3919442477
          0,           0,          86,      -4.701471773,       -6.72463732,      -6.555956275,      -8.375861908,      -5.220637088,     -0.4503167588,      -1.393277876,       3.373933266,      0.3840960436
          0,           0,          87,      -4.702301093,      -6.725436028,      -6.556672515,      -8.373400833,      -5.221467428,     -0.4558342416,      -1.398083969,        3.36682742,      0.3763177307
          0,           0,          88,      -4.703118197,      -6.726221967,      -6.557375244,      -8.370906247,      -5.222285559,     -0.4612875675,      -1.402821753,       3.359791288,      0.3686086785
          0,           0,          89,      -4.703923301,      -6.726995346,       -6.55806466,      -8.368377327,      -5.223091698,     -0.4666786965,       -1.40749095,       3.352824138,       0.360968264
          0,           0,          90,      -4.704716607,      -6.727756359,      -6.558740941,      -8.365813236,      -5.223886046,     -0.4720095406,      -1.412091344,       3.345925237,      0.3533958756
          0,           0,          91,      -4.705498315,      -6.728505201,      -6.559404268,      -8.363213124,      -5.224668805,     -0.4772819015,       -1.41662312,       3.339093816,      0.3458909136
          0,           0,          92,      -4.706268619,      -6.729242059,      -6.560054812,      -8.360576142,      -5.225440168,     -0.4824975393,      -1.421086481,       3.332329111,      0.3384527889
          0,           0,          93,      -4.707027724,      -6.729967132,      -6.560692756,      -8.357901427,      -5.226200339,     -0.4876581418,      -1.425481702,       3.325630356,      0.3310809214
          0,           0,          94,      -4.707775909,      -6.730680696,      -6.561318348,      -8.355187827,        -5.2269496,     -0.4927653193,      -1.429809207,       3.318996745,      0.3237747216
          0,           0,          95,      -4.708513327,      -6.731382896,      -6.561931724,      -8.352434757,      -5.227688101,     -0.4978206608,      -1.434069479,       3.312427531,        0.31653365
          0,           0,          96,      -4.709240135,      -6.732073885,      -6.562533018,      -8.349641327,         -5.228416,     -0.5028256771,      -1.438263199,       3.305921924,      0.3093571517
          0,           0,          97,      -4.709956516,      -6.732753842,      -6.563122388,      -8.346806648,      -5.229133482,     -0.5077818271,      -1.442390925,       3.299479129,      0.3022446795
          0,           0,          98,      -4.710662651,      -6.733422945,      -6.563699993,      -8.343929824,      -5.229840726,     -0.5126904953,      -1.446453386,       3.293098365,      0.2951956914
          0,           0,          99,      -4.711358641,      -6.734081289,      -6.564265904,      -8.341010006,      -5.230537834,     -0.5175539248,        -1.4504617,       3.286778754,      0.2882091542
          0,           0,         100,      -4.712044862,      -6.734729249,      -6.564820476,      -8.338046213,      -5.231225184,     -0.5223716626,      -1.454396694,       3.280519646,      0.2812855824
          0,           0,         101,      -4.712721395,      -6.735366902,       -6.56536376,      -8.335037595,      -5.231902854,     -0.5271458385,      -1.458269325,       3.274320129,         0.2744239
          0,           0,         102,      -4.713388433,      -6.735994439,      -6.565895925,      -8.331983256,      -5.232571038,     -0.5318776638,      -1.462080512,       3.268179328,       0.267623591
          0,           0,         103,      -4.714046175,      -6.736612058,      -6.566417141,      -8.328882303,      -5.233229937,     -0.5365683082,        -1.4658314,       3.262096402,      0.2608841388
          0,           0,         104,      -4.714694806,      -6.737219942,      -6.566927565,      -8.325733848,      -5.233879734,      -0.541218872,      -1.469523285,       3.256070485,      0.2542050328
          0,           0,         105,      -4.715334434,      -6.737818198,      -6.567427282,      -8.322537755,      -5.234520538,     -0.5458304465,      -1.473157316,       3.250100747,      0.2475857632
          0,           0,         106,       -4.71596531,      -6.738407078,      -6.567916514,      -8.319292432,      -5.235152601,      -0.550404066,      -1.476734829,       3.244186347,      0.2410258405
          0,           0,         107,      -4.716587616,      -6.738986764,      -6.568395413,      -8.315997003,      -5.235776103,     -0.5549407402,       -1.48025724,       3.238326411,      0.2345247705
          0,           0,         108,      -4.717201526,      -6.739557433,      -6.568864129,      -8.312650608,      -5.236391221,     -0.5594414232,      -1.483725983,       3.232520068,      0.2280820669
          0,           0,         109,      -4.717807224,      -6.740119269,      -6.569322816,      -8.309252395,      -5.236998137,     -0.5639070339,      -1.487142524,       3.226766467,      0.2216972496
          0,           0,         110,      -4.718404891,      -6.740672459,      -6.569771627,      -8.305801526,      -5.237597034,       -0.56833845,      -1.490508403,       3.221064748,      0.2153698426
          0,           0,         111,        -4.7189947,      -6.741217178,      -6.570210708,      -8.302297173,      -5.238188084,     -0.5727365289,      -1.493825039,       3.215414062,      0.2090993825
          0,           0,         112,      -4.719576833,      -6.741753613,      -6.570640212,      -8.298738525,      -5.238771469,     -0.5771020899,      -1.497093914,       3.209813541,      0.2028854107
          0,           0,         113,      -4.720151461,       -6.74228194,      -6.571060284,      -8.295124781,      -5.239347361,     -0.5814359214,      -1.500316422,       3.204262343,      0.1967274863
          0,           0,         114,      -4.720718786,      -6.742802371,      -6.571471098,      -8.291455155,      -5.239915964,     -0.5857387689,      -1.503494033,       3.198759615,      0.1906251666
          0,           0,         115,      -4.721278895,      -6.743314993,      -6.571872705,      -8.287728681,      -5.240477361,     -0.5900113699,      -1.506628208,        3.19330454,      0.1845780267
          0,           0,         116,      -4.721831834,      -6.743819852,      -6.572265104,      -8.283944412,      -5.241031601,     -0.5942546963,      -1.509720808,       3.187896165,      0.1785854312
          0,           0,         117,      -4.722377755,      -6.744317107,      -6.572648417,      -8.280101676,      -5.241578836,     -0.5984691023,      -1.512772923,       3.182533807,      0.1726471993
          0,           0,         118,      -4.722916825,      -6.744806931,      -6.573022779,      -8.276199878,      -5.242119233,     -0.6026552157,      -1.515785958,        3.17721668,      0.1667629441
          0,           0,         119,      -4.723449106,      -6.745289396,      -6.573388238,      -8.272238515,      -5.242652855,     -0.6068136282,      -1.518761821,       3.171944072,      0.1609321252
          0,           0,         120,      -4.723974726,      -6.745764639,      -6.573744891,       -8.26821713,      -5.243179829,     -0.6109449193,      -1.521701874,       3.166715239,      0.1551543587
          0,           0,         121,      -4.724493869,      -6.746232848,      -6.574092874,      -8.264135125,       -5.24370034,     -0.6150496355,      -1.524606899,       3.161529354,      0.1494294925
          0,           0,         122,      -4.725006486,      -6.746693965,      -6.574432078,      -8.259991894,      -5.244214339,     -0.6191282993,      -1.527478014,       3.156385682,      0.1437572049
          0,           0,         123,      -4.725512668,      -6.747148081,      -6.574762552,      -8.255787259,      -5.244721917,     -0.6231813949,      -1.530316482,       3.151283503,      0.1381371833
          0,           0,         124,      -4.726012505,      -6.747595292,      -6.575084345,      -8.251521013,      -5.245223166,      -0.627209392,      -1.533123382,       3.146222121,      0.1325691368
          0,           0,         125,      -4.726506035,      -6.748035638,      -6.575397446,      -8.247192844,      -5.245718123,     -0.6312152716,      -1.535912582,       3.141200492,      0.1270508847
