"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          24,      -3.387941594,       -3.34678616,      -3.431205676,       -2.72026448,     0.09630721651,   0.0003110427492,                 0,                 0,                 0,  -0.0001545053783,     0.09630721651,   0.0003110427492,                 0,    0.003229693064
          0,           0,          25,       -3.42774249,      -3.385073175,      -3.472104483,      -2.758873237,     0.09631342287,   0.0002714875417,                 0,                 0,                 0,  -0.0001387465945,     0.09631342287,   0.0002714875417,                 0,    0.002818792372
          0,           0,          26,      -3.468948591,      -3.425494701,      -3.514878553,      -2.798947485,     0.09634120163,   0.0002593969711,                 0,                 0,                 0,  -9.777129534e-05,     0.09634120163,   0.0002593969711,                 0,    0.002692482206
          0,           0,          27,      -3.511418723,      -3.467463774,      -3.559319654,      -2.840285008,     0.09637747741,   0.0002871499926,                 0,                 0,                 0,   -3.69496981e-05,     0.09637747741,   0.0002871499926,                 0,    0.002979430468
          0,           0,          28,      -3.555056524,       -3.51046997,      -3.605096426,      -2.882709902,     0.09641309833,    0.000338685827,                 0,                 0,                 0,   3.624503968e-05,     0.09641309833,    0.000338685827,                 0,    0.003512861145
          0,           0,          29,      -3.599884016,      -3.554327115,      -3.651848483,      -2.926195954,     0.09644983444,   0.0003997115558,                 0,                 0,                 0,   0.0001120579426,     0.09644983444,   0.0003997115558,                 0,    0.004144243047
          0,           0,          30,      -3.646082621,      -3.599203397,       -3.69932011,      -2.970940093,     0.09648465655,   0.0004485008216,                 0,                 0,                 0,   0.0001827063668,     0.09648465655,   0.0004485008216,                 0,    0.004648416003
          0,           0,          31,      -3.693800828,      -3.645432852,      -3.747324338,      -3.017154978,     0.09651204719,   0.0004660211132,                 0,                 0,                 0,   0.0002414763268,     0.09651204719,   0.0004660211132,                 0,    0.004828631521
          0,           0,          32,       -3.74308535,      -3.693356149,      -3.795781213,      -3.064982467,     0.09652925941,   0.0004442406467,                 0,                 0,                 0,   0.0002846624898,     0.09652925941,   0.0004442406467,                 0,    0.004602134621
          0,           0,          33,      -3.793878769,      -3.743124528,      -3.844743248,      -3.114468276,     0.09653578551,   0.0003877146224,                 0,                 0,                 0,   0.0003107264432,     0.09653578551,   0.0003877146224,                 0,    0.004016278734
          0,           0,          34,      -3.846029285,      -3.794691791,      -3.894368205,      -3.165548855,     0.09653306874,   0.0003076164619,                 0,                 0,                 0,    0.000319617233,     0.09653306874,   0.0003076164619,                 0,    0.003186643353
