"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
9.654738754034e-02,1.474811346270e-03,1.870711566880e-04,4.663022235036e-03,3.104018233716e-02,3.577111913969e-12,-1.740146438403e-12,0.000000000000e+00,7.323123125000e+05,3.533805175781e+03,7.209737896919e-01,1.101324800402e-02,1.396965933964e-03,3.482141718268e-02,2.317945510149e-01,4.440291796875e+04,9.252661743164e+02,8.636463012695e+02,4.247900723666e-14,1.564080953598e+00,4.008448740933e-05,4.231905099005e-03,1.016522105783e-02,0.000000000000e+00,3.438967500000e+06,6.369376659393e+00,-4.157457873225e-02,1.722075417638e-02,0.000000000000e+00
5.301365628839e-02,1.544984115753e-04,3.968770397478e-05,5.961341783404e-03,1.865541934967e-02,2.472036464418e-12,-9.667271323732e-13,0.000000000000e+00,5.841001250000e+05,5.773138671875e+03,6.811940670013e-01,1.985213020816e-03,5.099634290673e-04,7.659970223904e-02,2.397110760212e-01,4.433188281250e+04,1.527676269531e+03,1.357819824219e+03,3.703031872565e-14,1.561551570892e+00,5.757352482760e-05,4.428401123732e-03,9.773083962500e-03,0.000000000000e+00,2.924159500000e+06,1.715225791931e+01,-4.128426313400e-02,1.786160282791e-02,0.000000000000e+00
4.347291961312e-02,6.850015051896e-05,2.875453901652e-05,6.111920811236e-03,1.571834646165e-02,2.405261103136e-12,-9.496250357247e-13,0.000000000000e+00,5.443350625000e+05,6.675099121094e+03,6.647190451622e-01,1.047395868227e-03,4.396688600536e-04,9.345380961895e-02,2.403400540352e-01,4.456516015625e+04,1.802423339844e+03,1.584634643555e+03,3.918365604856e-14,1.569857716560e+00,6.513889093185e-05,5.088309291750e-03,1.122995372862e-02,0.000000000000e+00,2.618108000000e+06,2.312515258789e+01,-4.093334823847e-02,1.863589696586e-02,0.000000000000e+00
5.629449710250e-02,1.851702836575e-04,4.592241748469e-05,7.907126098871e-03,2.025848254561e-02,2.969510921880e-12,-1.069459733445e-12,0.000000000000e+00,6.711082500000e+05,5.042795898438e+03,6.647030115128e-01,2.186417113990e-03,5.422336398624e-04,9.336420148611e-02,2.392041087151e-01,4.360638281250e+04,1.363094726562e+03,1.245219482422e+03,4.249076066584e-14,1.535719037056e+00,5.322339711711e-05,5.405671894550e-03,1.193139702082e-02,0.000000000000e+00,3.372918000000e+06,1.332690620422e+01,-4.060704261065e-02,1.935623772442e-02,0.000000000000e+00
9.361501038074e-02,9.474941180088e-04,1.866480160970e-04,6.127617321908e-03,3.093576245010e-02,3.234109161032e-12,-9.742607111687e-13,0.000000000000e+00,7.720141250000e+05,3.148183105469e+03,7.102132439613e-01,7.188194897026e-03,1.416011247784e-03,4.648736491799e-02,2.346951663494e-01,4.120012109375e+04,8.619812622070e+02,8.303930664062e+02,3.768780941623e-14,1.450040698051e+00,3.823858423857e-05,5.348304286599e-03,1.090631168336e-02,0.000000000000e+00,3.262145250000e+06,5.337855339050e+00,-4.035927355289e-02,1.990299113095e-02,0.000000000000e+00
6.108557060361e-02,3.314917848911e-04,5.791032162961e-05,7.183887530118e-03,2.148134820163e-02,3.523799741584e-12,-1.608892056040e-12,0.000000000000e+00,6.621571875000e+05,4.254690917969e+03,6.776728630066e-01,3.677512984723e-03,6.424471503124e-04,7.969681173563e-02,2.383103817701e-01,4.189589843750e+04,1.244670288086e+03,1.120875488281e+03,5.164396810046e-14,1.474814772606e+00,4.975300180377e-05,5.440164823085e-03,1.017784141004e-02,0.000000000000e+00,3.118259000000e+06,1.321157169342e+01,-4.011272639036e-02,2.036424726248e-02,0.000000000000e+00
4.132806509733e-02,5.867879008292e-05,2.571569348220e-05,6.135196425021e-03,1.505015697330e-02,3.144552110021e-12,-1.594723159949e-12,0.000000000000e+00,5.281278750000e+05,6.124107910156e+03,6.602157950401e-01,9.373936336488e-04,4.108081921004e-04,9.800975769758e-02,2.404262423515e-01,4.164392578125e+04,1.753301635742e+03,1.558064819336e+03,5.646542532590e-14,1.465842962265e+00,6.390213820850e-05,6.311727687716e-03,1.180840004236e-02,0.000000000000e+00,2.391408500000e+06,2.428959465027e+01,-3.977325931191e-02,2.099935151637e-02,0.000000000000e+00
4.512379318476e-02,7.948259008117e-05,2.897351077991e-05,6.564765702933e-03,1.636192575097e-02,2.849021799728e-12,-1.426677569485e-12,0.000000000000e+00,5.611585625000e+05,5.675963378906e+03,6.620377898216e-01,1.166136004031e-03,4.250874626450e-04,9.631554782391e-02,2.400554567575e-01,4.101715625000e+04,1.588501220703e+03,1.445575927734e+03,4.928370740480e-14,1.443526029587e+00,5.945883822278e-05,6.164285354316e-03,1.153257396072e-02,0.000000000000e+00,3.019443750000e+06,1.936491203308e+01,-3.940625116229e-02,2.168596535921e-02,0.000000000000e+00
4.742966592312e-02,1.216382734128e-04,3.286618084530e-05,6.830248050392e-03,1.713651604950e-02,4.118472056447e-12,-2.267098401371e-12,0.000000000000e+00,5.762841875000e+05,4.904943359375e+03,6.628797650337e-01,1.700023422018e-03,4.593396442942e-04,9.545993804932e-02,2.395009398460e-01,3.852902734375e+04,1.422898681641e+03,1.325104125977e+03,7.323709780988e-14,1.354932546616e+00,5.490988041856e-05,7.559830788523e-03,1.215768232942e-02,0.000000000000e+00,3.024841750000e+06,1.741697883606e+01,-3.877482935786e-02,2.281576953828e-02,0.000000000000e+00
5.983871594071e-02,3.074911946896e-04,5.581406730926e-05,7.471487391740e-03,2.114717848599e-02,3.690316715405e-12,-1.623302078695e-12,0.000000000000e+00,6.653481875000e+05,4.348318847656e+03,6.737024784088e-01,3.461932297796e-03,6.283904076554e-04,8.411877602339e-02,2.380884438753e-01,4.130763671875e+04,1.241199707031e+03,1.140507568359e+03,5.450773906128e-14,1.453868865967e+00,4.969274232280e-05,6.122841499746e-03,1.145505625755e-02,0.000000000000e+00,3.238917750000e+06,1.345835113525e+01,-3.913833945990e-02,2.218720316887e-02,0.000000000000e+00
4.760450124741e-02,9.512004180579e-05,3.168600960635e-05,7.070889696479e-03,1.728822477162e-02,3.692126031990e-12,-1.871649319904e-12,0.000000000000e+00,5.896862500000e+05,5.283640136719e+03,6.603443026543e-01,1.319454633631e-03,4.395314899739e-04,9.808362275362e-02,2.398130595684e-01,3.988573046875e+04,1.458654052734e+03,1.366765991211e+03,6.312357862977e-14,1.403239846230e+00,5.592804882326e-05,9.537795558572e-03,1.649251021445e-02,0.000000000000e+00,3.529900500000e+06,1.879185867310e+01,-3.897114470601e-02,2.250000089407e-02,0.000000000000e+00
4.172521457076e-02,6.984535139054e-05,2.556854633440e-05,6.247659213841e-03,1.517698913813e-02,3.689732547274e-12,-2.075077523006e-12,0.000000000000e+00,5.277802500000e+05,5.542139648438e+03,6.597364544868e-01,1.104356837459e-03,4.042759828735e-04,9.878459572792e-02,2.399703115225e-01,3.892733593750e+04,1.621626220703e+03,1.481456665039e+03,6.975766264541e-14,1.369114875793e+00,6.038368883310e-05,7.309200707823e-03,1.175583899021e-02,0.000000000000e+00,2.555328500000e+06,2.167525672913e+01,-3.854227811098e-02,2.318969555199e-02,0.000000000000e+00
3.753033280373e-02,4.692843867815e-05,2.138923991879e-05,5.940653849393e-03,1.376413833350e-02,3.427539935902e-12,-1.984091276691e-12,0.000000000000e+00,4.940912500000e+05,5.762625000000e+03,6.549402475357e-01,8.189462241717e-04,3.732627374120e-04,1.036701053381e-01,2.401974052191e-01,3.813669531250e+04,1.746465820312e+03,1.583673095703e+03,6.923475871388e-14,1.340963006020e+00,6.379321712302e-05,7.872069254518e-03,1.265930850059e-02,0.000000000000e+00,2.462823250000e+06,2.484854507446e+01,-3.822441771626e-02,2.370103448629e-02,0.000000000000e+00
4.147781059146e-02,6.591679266421e-05,2.528533696022e-05,6.764580961317e-03,1.526090502739e-02,4.336961345608e-12,-2.438225619669e-12,0.000000000000e+00,5.442435000000e+05,5.327578125000e+03,6.522232294083e-01,1.036517205648e-03,3.976025618613e-04,1.063705310225e-01,2.399720996618e-01,3.811356640625e+04,1.569683593750e+03,1.458013183594e+03,8.256914439285e-14,1.340139508247e+00,5.906748992857e-05,8.006895892322e-03,1.287404820323e-02,0.000000000000e+00,2.829905500000e+06,1.990603637695e+01,-3.786782920361e-02,2.427430078387e-02,0.000000000000e+00
5.250090733171e-02,1.875698653748e-04,4.279946369934e-05,7.818426005542e-03,1.899619959295e-02,5.332302741717e-12,-2.840424293341e-12,0.000000000000e+00,6.346163125000e+05,4.150675781250e+03,6.600077152252e-01,2.358007943258e-03,5.380473448895e-04,9.828823059797e-02,2.388080060482e-01,3.719978515625e+04,1.233582275391e+03,1.179966186523e+03,9.082455788975e-14,1.307603001595e+00,4.960570004187e-05,7.755344733596e-03,1.247114967555e-02,0.000000000000e+00,3.129339000000e+06,1.284519767761e+01,-3.760081902146e-02,2.470369637012e-02,0.000000000000e+00
4.826467856765e-02,1.210649352288e-04,3.356879824423e-05,7.208577357233e-03,1.751794479787e-02,5.373705386919e-12,-3.523260676264e-12,0.000000000000e+00,5.848411875000e+05,4.006609863281e+03,6.598417758942e-01,1.655117259361e-03,4.589297459461e-04,9.855075180531e-02,2.394934147596e-01,3.407282421875e+04,1.227915161133e+03,1.205061279297e+03,1.052482279389e-13,1.196263194084e+00,4.944602187607e-05,8.247840218246e-03,1.151115261018e-02,0.000000000000e+00,2.647229250000e+06,1.397423648834e+01,-3.714124485850e-02,2.538424171507e-02,0.000000000000e+00
6.061185523868e-02,3.653292660601e-04,6.306960131042e-05,7.553410250694e-03,2.134607918561e-02,5.096830509727e-12,-2.581735606549e-12,0.000000000000e+00,6.614556250000e+05,3.544301025391e+03,6.739162802696e-01,4.061933606863e-03,7.012428250164e-04,8.398301154375e-02,2.373375594616e-01,3.690706640625e+04,1.095850830078e+03,1.041584716797e+03,8.121853341779e-14,1.297180294991e+00,4.549618461169e-05,9.299701079726e-03,1.377107109874e-02,0.000000000000e+00,3.096429750000e+06,1.103212070465e+01,-3.741613402963e-02,2.500065974891e-02,0.000000000000e+00
4.989179596305e-02,1.849026884884e-04,3.795964585152e-05,6.718712858856e-03,1.780924014747e-02,4.916368527563e-12,-3.377214523662e-12,0.000000000000e+00,5.749235625000e+05,3.949572753906e+03,6.684090495110e-01,2.477173227817e-03,5.085519514978e-04,9.001176059246e-02,2.385934889317e-01,3.492035156250e+04,1.242281738281e+03,1.182134155273e+03,9.561683991235e-14,1.226440548897e+00,4.977578282706e-05,6.830767728388e-03,9.532320313156e-03,0.000000000000e+00,2.248467500000e+06,1.430677604675e+01,-3.676146268845e-02,2.591435611248e-02,0.000000000000e+00
3.816900402308e-02,5.369374048314e-05,2.137164847227e-05,6.295652594417e-03,1.407025661319e-02,4.103024777574e-12,-2.737268311320e-12,0.000000000000e+00,5.036628437500e+05,5.123708496094e+03,6.512373089790e-01,9.161194320768e-04,3.646418044809e-04,1.074160560966e-01,2.400658875704e-01,3.501252734375e+04,1.563225463867e+03,1.487577270508e+03,8.895010108253e-14,1.229722619057e+00,5.890394095331e-05,1.045269984752e-02,1.458648126572e-02,0.000000000000e+00,2.600443500000e+06,2.337743377686e+01,-3.632661327720e-02,2.652105502784e-02,0.000000000000e+00
4.422345757484e-02,1.003824654617e-04,2.867002331186e-05,7.193617522717e-03,1.623523421586e-02,5.216433621863e-12,-3.497959951207e-12,0.000000000000e+00,5.638689375000e+05,4.197988769531e+03,6.524427533150e-01,1.480974489823e-03,4.229779879097e-04,1.061297357082e-01,2.395235747099e-01,3.378067187500e+04,1.305943481445e+03,1.275262084961e+03,1.072474425348e-13,1.185860514641e+00,5.174079706194e-05,1.025960594416e-02,1.431770343333e-02,0.000000000000e+00,2.986511000000e+06,1.729428291321e+01,-3.597508370876e-02,2.701172791421e-02,0.000000000000e+00
7.605503499508e-02,4.656879464164e-04,1.481234940002e-04,7.206466048956e-03,2.604694850743e-02,6.891426665434e-12,-4.409017855672e-12,0.000000000000e+00,7.126905000000e+05,2.526102050781e+03,6.918984055519e-01,4.236521199346e-03,1.347529585473e-03,6.555966287851e-02,2.369579076767e-01,3.225124414062e+04,7.953626098633e+02,8.212219238281e+02,1.127443678781e-13,1.131403088570e+00,3.628153717727e-05,1.013309694827e-02,1.322291977704e-02,0.000000000000e+00,3.205898250000e+06,6.873557567596e+00,-3.570089861751e-02,2.739426493645e-02,0.000000000000e+00
4.086489230394e-02,9.299061639467e-05,2.447849874443e-05,6.099496968091e-03,1.483128033578e-02,4.832331583493e-12,-3.735279446859e-12,0.000000000000e+00,5.015635625000e+05,4.201029296875e+03,6.600358486176e-01,1.501952880062e-03,3.953684063163e-04,9.851700812578e-02,2.395498007536e-01,3.169161523438e+04,1.349275146484e+03,1.321470092773e+03,1.127464820724e-13,1.111476778984e+00,5.288698230288e-05,1.157414168119e-02,1.410281192511e-02,0.000000000000e+00,2.364675750000e+06,2.112717628479e+01,-3.541363775730e-02,2.774437330663e-02,0.000000000000e+00
