"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.380993559,      -9.100052379,      -9.350619006,      -9.431937538,       3.137930157,      -6.994343985,      0.1756991533,      0.3903895426,     -0.1010652573,      0.4257034984,     -0.3373824991,     -0.1970429908,      0.1546089847,     -0.1010652573,      0.3992120355,       2.221920455,   0.0008786248956
          0,           0,           1,      -2.738881258,     0.08116188634,     -0.8752051665,     0.04119496552,       2.783050054,      -6.995981028,       0.232678036,      0.4305759703,     -0.1251177236,      0.4718110894,     -0.3690739718,     -0.2601412579,      0.2093614064,     -0.1251177236,      0.4423827937,       1.850522626,   0.0008850876476
          0,           0,           2,      -2.706876813,     0.04324153638,     -0.7544548833,    -0.08139784218,         2.8256565,      -6.883246314,      0.2140565697,      0.3627619776,     -0.1107555583,      0.3956272787,     -0.3074973603,     -0.2375657166,      0.1943865164,     -0.1107555583,      0.3736714461,       1.694701444,   0.0008566424336
          0,           0,           3,      -2.653102089,    -0.01039435111,     -0.6527043128,     -0.1409548434,       2.886950985,      -6.799979639,      0.1743810438,      0.2896037549,    -0.08646209156,      0.3116165119,     -0.2429657637,     -0.1907242415,      0.1586728702,    -0.08646209156,      0.2984995872,       1.660752502,   0.0008390836554
          0,           0,           4,      -2.611692813,     -0.0350994972,     -0.4876062851,    -0.05503857459,       2.930400692,      -6.734947929,      0.1363855246,      0.2413525128,    -0.06394253575,      0.2549641844,     -0.2012876084,     -0.1458861801,      0.1233072586,    -0.06394253575,      0.2482888776,       1.769634377,   0.0008293061843
          0,           0,           5,      -2.559177184,   -0.003909213531,     -0.3193676587,     0.03500005768,       2.977118408,      -6.676249382,      0.1073948679,      0.2143177667,    -0.04686113618,      0.2225001252,     -0.1779584003,     -0.1118118051,     0.09580109771,    -0.04686113618,      0.2197451079,       1.995605293,   0.0008308133428
          0,           0,           6,      -2.499856969,     0.04882374839,     -0.1693996352,      0.1029770029,       3.026333027,      -6.619632964,     0.08729065994,      0.1978051114,    -0.03491117438,      0.2023244981,     -0.1628746552,    -0.08837530566,     0.07660702818,    -0.03491117438,      0.2021828001,       2.266051277,   0.0008324045694
          0,           0,           7,      -2.443563023,      0.0937522949,    -0.04448526324,      0.1553744767,       3.071384313,      -6.564068924,     0.07364549281,      0.1848398077,    -0.02657293364,      0.1862674975,     -0.1497374871,    -0.07255916119,     0.06367342641,    -0.02657293364,      0.1885075804,       2.509859064,   0.0009357202493
          0,           0,           8,      -2.395281009,      0.1230861561,     0.05421029593,      0.1949904461,       3.108716154,      -6.509942355,     0.06427631328,      0.1731190702,    -0.02053667471,      0.1714474097,     -0.1365357535,    -0.06164939587,      0.0549432784,    -0.02053667471,       0.176303412,       2.693357185,   0.0009361605849
          0,           0,           9,      -2.354884354,      0.1393835528,      0.1290558472,      0.2240355373,       3.140236883,      -6.459233318,     0.05784206265,      0.1628640273,    -0.01602964855,      0.1580299777,     -0.1235540127,    -0.05402580071,     0.04906563337,    -0.01602964855,      0.1657195197,       2.815667695,   0.0009363737022
