"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,       -4.79257427,      -4.838554654,       -5.41291972,       -4.23581809
          0,           0,          77,      -4.741300858,      -4.840346079,      -5.391550199,      -4.185341636
          0,           0,          78,       -4.69808331,      -4.839111931,      -5.371780392,      -4.142715136
          0,           0,          79,       -4.66567619,      -4.835183512,      -5.355218034,      -4.110799086
          0,           0,          80,      -4.650090115,      -4.831317603,      -5.342643657,      -4.095853925
          0,           0,          81,      -4.650308793,       -4.82986758,      -5.336070084,      -4.097347751
          0,           0,          82,      -4.659391989,      -4.832917537,      -5.335432388,      -4.107407814
          0,           0,          83,      -4.662847761,      -4.839804776,      -5.338288688,      -4.111381421
          0,           0,          84,      -4.645028922,      -4.845640446,      -5.339306158,      -4.092915258
          0,           0,          85,      -4.613785948,        -4.8453114,      -5.337935972,      -4.061056986
          0,           0,          86,      -4.584061458,      -4.840553066,      -5.333295213,       -4.03077644
          0,           0,          87,      -4.564778901,        -4.8325535,      -5.324635373,      -4.011996104
          0,           0,          88,      -4.564274002,      -4.823038682,      -5.316045739,      -4.012736564
          0,           0,          89,      -4.584973093,      -4.826428752,      -5.316384134,      -4.034953484
          0,           0,          90,       -4.61463751,      -4.848750406,      -5.326478703,      -4.066099449
          0,           0,          91,       -4.63766751,      -4.867696659,      -5.335008453,      -4.089452621
          0,           0,          92,      -4.649062083,      -4.867281676,      -5.334191165,      -4.099741416
          0,           0,          93,      -4.658451497,      -4.870124404,      -5.329993471,       -4.10889091
          0,           0,          94,      -4.674072033,      -4.885586292,      -5.330307574,      -4.125711781
          0,           0,          95,      -4.699527294,       -4.90447354,      -5.342116432,      -4.152932943
          0,           0,          96,       -4.73192068,      -4.921896977,      -5.365723559,        -4.1869935
          0,           0,          97,      -4.764680563,       -4.93935025,      -5.396643334,       -4.22150378
          0,           0,          98,      -4.792272031,      -4.956609491,      -5.426814322,      -4.250961816
