"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,          37,      -3.288437331,      -5.311926057,      -5.139028352,      -6.892234242,      -3.807654958,      -0.229591704,     -0.6728482824,       3.708383128,      0.9788532634
          0,           0,          38,      -3.287521094,      -5.310986661,       -5.13795576,      -6.888235601,      -3.806740342,     -0.2332687774,     -0.6773833374,       3.710694528,      0.9802493039
          0,           0,          39,      -3.286640207,      -5.310082849,      -5.136906034,      -6.883834256,      -3.805861248,     -0.2368597812,     -0.6815144554,       3.712842861,      0.9816485393
          0,           0,          40,      -3.285798304,      -5.309218202,      -5.135882258,      -6.879035729,      -3.805021311,     -0.2403736383,     -0.6852631322,       3.714833601,      0.9830607602
          0,           0,          41,      -3.284999246,       -5.30839653,      -5.134887699,      -6.873844903,      -3.804224402,     -0.2438321059,     -0.6886640096,       3.716668543,      0.9844909437
          0,           0,          42,      -3.284246326,      -5.307621069,      -5.133925065,      -6.868266307,      -3.803473817,     -0.2472214344,     -0.6917296798,       3.718360487,      0.9859451008
          0,           0,          43,      -3.283542135,       -5.30689435,      -5.132996288,       -6.86230375,      -3.802772155,     -0.2505620178,     -0.6944875047,       3.719909494,      0.9874257408
          0,           0,          44,      -3.282888573,      -5.306218215,      -5.132102605,      -6.855960813,      -3.802121324,     -0.2538525003,     -0.6969318454,       3.721322422,      0.9889374474
          0,           0,          45,      -3.282287548,      -5.305594511,      -5.131245262,      -6.849240869,      -3.801523238,      -0.257077183,     -0.6990753646,       3.722608963,      0.9904836104
          0,           0,          46,      -3.281740712,      -5.305024829,      -5.130425198,      -6.842147281,      -3.800979556,      -0.260232453,     -0.7009302646,         3.7237755,       0.992066907
          0,           0,          47,      -3.281249752,      -5.304510791,      -5.129643344,      -6.834683482,      -3.800491974,     -0.2633237835,     -0.7025137261,       3.724826705,      0.9936891054
          0,           0,          48,      -3.280815532,      -5.304053203,      -5.128899796,      -6.826852892,      -3.800061364,     -0.2663497498,     -0.7038327612,       3.725767855,      0.9953534415
          0,           0,          49,      -3.280439206,      -5.303653153,      -5.128194898,      -6.818659202,      -3.799688889,     -0.2693171356,     -0.7049087786,       3.726603402,       0.997061968
          0,           0,          50,      -3.280120989,        -5.3033108,      -5.127528027,      -6.810106208,      -3.799374773,     -0.2722317585,     -0.7057391233,       3.727337223,      0.9988190452
          0,           0,          51,      -3.279861252,      -5.303026452,      -5.126898683,      -6.801198086,      -3.799119397,     -0.2751001858,     -0.7063324479,       3.727972767,       1.000628648
          0,           0,          52,       -3.27965997,      -5.302800026,      -5.126305975,      -6.791939372,      -3.798922746,     -0.2779075509,     -0.7066980705,       3.728516582,        1.00249633
          0,           0,          53,      -3.279516791,      -5.302631113,      -5.125748623,      -6.782334839,      -3.798784477,     -0.2806602935,     -0.7068469037,       3.728972717,        1.00442744
          0,           0,          54,      -3.279431746,      -5.302519686,      -5.125225677,      -6.772389819,      -3.798704634,     -0.2833746457,     -0.7067956571,        3.72934276,       1.006426877
          0,           0,          55,      -3.279403019,       -5.30246388,      -5.124734394,      -6.762109701,      -3.798681412,     -0.2860289865,     -0.7065344288,       3.729636298,       1.008504167
          0,           0,          56,      -3.279429982,      -5.302463011,      -5.124273112,      -6.751500549,      -3.798714193,     -0.2886358696,     -0.7060799378,       3.729856522,       1.010665902
          0,           0,          57,       -3.27951111,      -5.302515504,      -5.123839277,      -6.740568783,      -3.798801465,      -0.291186002,     -0.7054252208,       3.730009835,       1.012921805
          0,           0,          58,      -3.279645299,      -5.302620202,      -5.123430694,      -6.729321333,      -3.798942139,     -0.2936823377,     -0.7045765184,       3.730100729,       1.015280774
          0,           0,          59,      -3.279830887,      -5.302775391,      -5.123044588,      -6.717765461,      -3.799134563,     -0.2961215233,     -0.7035358471,       3.730134093,        1.01775305
          0,           0,          60,      -3.280066307,      -5.302979454,      -5.122678224,      -6.705908814,      -3.799377186,     -0.2985203977,     -0.7023129155,       3.730112539,       1.020348202
          0,           0,          61,      -3.280349966,      -5.303230745,      -5.122328797,      -6.693759445,      -3.799668429,     -0.3008930946,     -0.7009131161,       3.730039107,       1.023076719
