"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
3.377184504643e-03,8.731136063034e-07,3.185865580235e-07,1.254249247722e-03,1.466137822717e-03,3.492801005562e-14,-1.238540520143e-13,0.000000000000e+00,7.074631250000e+04,5.929953613281e+02,5.537490844727e-01,1.431624114048e-04,5.223789412412e-05,2.056563198566e-01,2.403991967440e-01,2.859038574219e+03,1.139460571289e+03,1.672647460938e+03,2.494359563733e-14,8.485150337219e-02,4.774588524015e-05,4.262774717063e-03,1.395488070557e-04,0.000000000000e+00,2.256710781250e+05,9.066061019897e+00,0.000000000000e+00,4.500000178814e-02,0.000000000000e+00
3.698785789311e-03,9.172920272249e-07,3.496621445720e-07,1.371972612105e-03,1.605280558579e-03,2.283356541496e-14,-1.368995655769e-13,0.000000000000e+00,7.868000781250e+04,7.601868286133e+02,5.539338588715e-01,1.373745617457e-04,5.236575088929e-05,2.054679989815e-01,2.404084205627e-01,3.736812500000e+03,1.360434814453e+03,1.809062133789e+03,2.248944811574e-14,1.161059066653e-01,5.425067865872e-05,6.890652235597e-03,4.516371991485e-04,0.000000000000e+00,3.521372812500e+05,2.077648544312e+01,-2.943140920252e-03,4.490365087986e-02,0.000000000000e+00
2.417126437649e-03,1.944092247186e-07,1.908145463858e-07,9.039149736054e-04,1.051738392562e-03,4.603365421295e+00,1.925565451384e-01,0.000000000000e+00,5.830288281250e+04,1.312897460938e+03,5.527178645134e-01,4.445503873285e-05,4.363305561128e-05,2.066958248615e-01,2.404982149601e-01,4.210753906250e+03,2.338471923828e+03,3.130425048828e+03,8.689503073692e-01,1.329812556505e-01,8.085582521744e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.018711064011e-03,4.525928944349e-02,0.000000000000e+00
1.995488768443e-03,1.496512993526e-07,1.431429836884e-07,7.515875040554e-04,8.700079633854e-04,4.573490142822e+00,1.606477349997e-01,0.000000000000e+00,4.951442968750e+04,1.217812744141e+03,5.516396760941e-01,4.137011273997e-05,3.957093213103e-05,2.077714055777e-01,2.405079603195e-01,3.557529052734e+03,2.386622802734e+03,3.365289794922e+03,1.032330989838e+00,1.097222566605e-01,8.211696695071e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.550644755363e-02,0.000000000000e+00
4.037386737764e-03,8.666694384374e-07,4.134323035032e-07,1.493424992077e-03,1.750997616909e-03,3.096698922679e-14,-1.320867514757e-13,0.000000000000e+00,8.712346875000e+04,1.039422729492e+03,5.543508529663e-01,1.189975009765e-04,5.676606087945e-05,2.050537765026e-01,2.404196262360e-01,4.703899902344e+03,1.570531494141e+03,2.033567138672e+03,1.876191022476e-14,1.505404412746e-01,6.022184606991e-05,7.659535389394e-03,1.008396968246e-03,0.000000000000e+00,3.457465937500e+05,2.522759437561e+01,-5.873678717762e-03,4.461501911283e-02,0.000000000000e+00
2.484809607267e-03,1.781057648031e-07,2.176500686346e-07,9.272851166315e-04,1.080579706468e-03,5.395108222961e+00,5.013349056244e-01,0.000000000000e+00,6.141889062500e+04,1.534548950195e+03,5.530315637589e-01,3.964010466007e-05,4.844128125114e-05,2.063811719418e-01,2.404991686344e-01,4.644472656250e+03,2.511074462891e+03,3.390712646484e+03,9.599696993828e-01,1.484244465828e-01,8.528275793651e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.582494962960e-03,4.511535540223e-02,0.000000000000e+00
4.993027076125e-03,1.180829713121e-06,6.290735541370e-07,1.815330004320e-03,2.155137713999e-03,3.226815380652e-14,-1.176675944181e-13,0.000000000000e+00,1.071455546875e+05,1.315942993164e+03,5.569277405739e-01,1.317110436503e-04,7.016755989753e-05,2.024839073420e-01,2.403864413500e-01,6.119036621094e+03,1.662788696289e+03,2.059591552734e+03,1.333728507274e-14,2.009284049273e-01,6.276082422119e-05,8.849965408444e-03,1.760367536917e-03,0.000000000000e+00,4.567347187500e+05,2.760540390015e+01,-8.779064752162e-03,4.413533583283e-02,0.000000000000e+00
6.132731214166e-03,1.609386231394e-06,9.371282772008e-07,2.208358841017e-03,2.639980521053e-03,3.274720514830e-14,-9.540736527636e-14,0.000000000000e+00,1.310925468750e+05,1.620153686523e+03,5.583525896072e-01,1.465260720579e-04,8.532054926036e-05,2.010593563318e-01,2.403562068939e-01,7.673660644531e+03,1.703852294922e+03,2.062405273438e+03,8.896913052472e-15,2.562830448151e-01,6.387663597707e-05,9.416554123163e-03,2.523157978430e-03,0.000000000000e+00,5.606627500000e+05,2.588698768616e+01,-1.164685748518e-02,4.346666112542e-02,0.000000000000e+00
1.962827052921e-03,1.121577142271e-07,1.467146404366e-07,7.424399955198e-04,8.568195626140e-04,5.464877605438e+00,5.012620091438e-01,0.000000000000e+00,5.083010156250e+04,1.404894165039e+03,5.509929060936e-01,3.148423274979e-05,4.118484139326e-05,2.084132432938e-01,2.405211925507e-01,3.720488769531e+03,2.533313232422e+03,3.718776855469e+03,1.219776630402e+00,1.155246719718e-01,8.588641503593e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.571930410340e-03,4.557474330068e-02,0.000000000000e+00
1.753386808559e-03,7.335041374290e-08,1.305148060737e-07,6.765125435777e-04,7.697289111093e-04,5.786056518555e+00,3.157888054848e-01,0.000000000000e+00,4.801251953125e+04,1.461174926758e+03,5.479621291161e-01,2.292320823472e-05,4.078801430296e-05,2.114212512970e-01,2.405529022217e-01,3.548353027344e+03,2.683968017578e+03,4.088885742188e+03,1.391167759895e+00,1.093955338001e-01,8.976108074421e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.596514254808e-02,0.000000000000e+00
2.885857364163e-03,1.959832474085e-07,3.067447664762e-07,1.070728641935e-03,1.252974150702e-03,6.590103626251e+00,1.092772126198e+00,0.000000000000e+00,7.232167187500e+04,1.923112670898e+03,5.539007186890e-01,3.761629341170e-05,5.887544466532e-05,2.055116444826e-01,2.404911816120e-01,5.707765625000e+03,2.662955810547e+03,3.556525146484e+03,9.915004372597e-01,1.862845271826e-01,8.911798795452e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.066433783621e-03,4.480985552073e-02,0.000000000000e+00
2.312241354957e-03,1.123223825061e-07,2.188217678167e-07,8.754650480114e-04,1.009652274661e-03,6.766235351562e+00,9.400313496590e-01,0.000000000000e+00,6.139882031250e+04,1.818744018555e+03,5.508366227150e-01,2.675814175745e-05,5.212909309193e-05,2.085587680340e-01,2.405256927013e-01,4.775270996094e+03,2.759091308594e+03,3.945402587891e+03,1.234630227089e+00,1.530817002058e-01,9.159419278149e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.225841887295e-03,4.540308564901e-02,0.000000000000e+00
3.586694365367e-03,2.750043108790e-07,4.826331405638e-07,1.311767147854e-03,1.551058376208e-03,6.761529922485e+00,1.580278515816e+00,0.000000000000e+00,8.798628906250e+04,2.265745117188e+03,5.560526847839e-01,4.263449591235e-05,7.482362707378e-05,2.033659964800e-01,2.404638230801e-01,7.371652832031e+03,2.782319580078e+03,3.439839111328e+03,8.152176141739e-01,2.455295920372e-01,9.207227412844e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.928246028721e-03,4.415901005268e-02,0.000000000000e+00
3.022913122550e-03,1.763183803405e-07,3.856853254547e-07,1.129184151068e-03,1.314963912591e-03,8.222380638123e+00,1.901180982590e+00,0.000000000000e+00,7.938325781250e+04,2.389560791016e+03,5.528751611710e-01,3.224772081012e-05,7.053985609673e-05,2.065219581127e-01,2.405000925064e-01,6.472196777344e+03,2.875248779297e+03,3.958587402344e+03,1.148170948029e+00,2.135031968355e-01,9.445274190512e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.894880302250e-03,4.465672001243e-02,0.000000000000e+00
8.655732497573e-03,6.044327619747e-06,1.867858486548e-06,2.935056807473e-03,3.664091462269e-03,3.977772768831e-14,-9.430670355965e-14,0.000000000000e+00,1.724223281250e+05,1.460798706055e+03,5.671132802963e-01,3.960171306971e-04,1.223798608407e-04,1.923014223576e-01,2.400669008493e-01,8.315005859375e+03,1.337348266602e+03,1.642816650391e+03,7.363050734443e-15,2.791190445423e-01,5.345961835701e-05,7.595785893500e-03,2.578421728685e-03,0.000000000000e+00,6.384122500000e+05,1.670316886902e+01,-1.446477603167e-02,4.261185601354e-02,0.000000000000e+00
3.842683508992e-03,3.439924114446e-07,6.149467139949e-07,1.391528756358e-03,1.657187822275e-03,7.542626857758e+00,2.112202167511e+00,0.000000000000e+00,9.496784375000e+04,2.575252441406e+03,5.575280785561e-01,4.990923844161e-05,8.922151755542e-05,2.018944174051e-01,2.404384016991e-01,8.229489257812e+03,2.910008056641e+03,3.570191650391e+03,8.420875668526e-01,2.760741114616e-01,9.521916217636e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.260021142662e-02,4.348571598530e-02,0.000000000000e+00
1.763923792168e-03,5.137860981108e-08,1.576948562843e-07,7.036198512651e-04,7.818660815246e-04,6.893007278442e+00,6.961682438850e-01,0.000000000000e+00,5.223536328125e+04,1.771969848633e+03,5.428094267845e-01,1.581065771461e-05,4.852718848269e-05,2.165238112211e-01,2.406024038792e-01,3.915900390625e+03,2.905870361328e+03,4.583944824219e+03,1.570379137993e+00,1.224825829268e-01,9.542069892632e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.638298228383e-02,0.000000000000e+00
1.705077942461e-03,4.043416623745e-08,1.823017896641e-07,7.058413466439e-04,7.641554111615e-04,7.436040401459e+00,8.188955187798e-01,0.000000000000e+00,5.379994921875e+04,1.933742553711e+03,5.369821190834e-01,1.273397811019e-05,5.741250788560e-05,2.222914099693e-01,2.406563311815e-01,4.019995849609e+03,3.040301513672e+03,4.924044433594e+03,1.692188024521e+00,1.261890530586e-01,9.887563646771e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.679739102721e-02,0.000000000000e+00
2.033081604168e-03,6.935997021174e-08,1.937702904797e-07,7.943719392642e-04,8.957582758740e-04,7.377019882202e+00,8.870217800140e-01,0.000000000000e+00,5.819312500000e+04,1.914704223633e+03,5.460172891617e-01,1.862775388872e-05,5.204017725191e-05,2.133415490389e-01,2.405705153942e-01,4.429178222656e+03,2.875078125000e+03,4.409247070312e+03,1.479835391045e+00,1.407585740089e-01,9.458863496548e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.490284783766e-03,4.588513448834e-02,0.000000000000e+00
2.557737287134e-03,9.975465786738e-08,3.215108961285e-07,9.826070163399e-04,1.121468609199e-03,8.456169128418e+00,1.658689379692e+00,0.000000000000e+00,7.153445312500e+04,2.339077636719e+03,5.486076474190e-01,2.139632124454e-05,6.896069680806e-05,2.107588350773e-01,2.405431717634e-01,5.777393554688e+03,3.000717285156e+03,4.332023437500e+03,1.343270063400e+00,1.887637227774e-01,9.765040886123e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.298119366169e-03,4.523255676031e-02,0.000000000000e+00
