"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 1.560000004000000e-03, -6.917517506923035e-03, 5.837950862982991e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.267715679127716e+02, 5.070862716510864e+01, 3.025880433649303e+02, 0.000000000000000e+00, 9.481203249601503e-01, 1.858136564895708e-05, 3.688961963000530e-02, -8.048167972244694e-02, -1.156742881521388e+00, 1.070368744037300e-01
1, 3.049999941000000e-03, -9.605565346412577e-03, 5.725442145477170e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.241995415562075e+02, 4.967981662248298e+01, 3.022743520188623e+02, 0.000000000000000e+00, 8.129489753175928e-01, 1.856658086970319e-05, 6.175659011478753e-02, -9.481423508648860e-02, -1.976251381837424e+00, 1.198571482530100e-01
2, 5.600000150000000e-04, -4.173159738460802e-03, 5.934694858287114e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.289682084437951e+02, 5.158728337751805e+01, 3.028130653804755e+02, 0.000000000000000e+00, 1.063563490812712e+00, 1.859196669371327e-05, 1.253733967356596e-02, -4.632286032482046e-02, -2.093352890843236e-01, 7.945369708128905e-02
3, 1.468691847646182e-03, -6.958970303337995e-03, 5.835628680697318e-04, 8.928347210709607e-04, -1.953794336511451e-03, 1.267231302565041e+02, 5.068767062221587e+01, 3.025833513250243e+02, 1.055605690155742e-02, 9.453669276442284e-01, 1.858114456064991e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, 5.040000193000000e-03, -1.226032473458219e-02, 5.601084600334955e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.213598314188191e+02, 4.854393256752763e+01, 3.019208939464679e+02, 0.000000000000000e+00, 6.637096602208354e-01, 1.854991285026623e-05, 8.262350383181385e-02, -9.726279429004732e-02, -2.539474488112790e+00, 1.259413227886947e-01
5, 2.965785046205478e-03, -9.659887552088237e-03, 5.724488087513200e-04, 1.467222541982447e-03, -2.249893960631763e-03, 1.241819839937562e+02, 4.967027293025276e+01, 3.022666520483809e+02, 1.346264737454099e-02, 8.116950673278475e-01, 1.856621786357613e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
6, 5.999999800000000e-05, -1.375329724321098e-03, 5.958739923847573e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.295303794903448e+02, 5.181215179613790e+01, 3.029057684430764e+02, 0.000000000000000e+00, 1.093108063284976e+00, 1.859633292292997e-05, -1.473737803755583e-04, 1.098239839811511e-03, 1.243420257977632e-01, 1.207953441300572e-02
7, 4.631538453985955e-04, -4.199378725399933e-03, 5.931698058077986e-04, 3.212635874481545e-04, -1.142307126719103e-03, 1.289037578134775e+02, 5.156102836222854e+01, 3.028118593513658e+02, 5.734541580017047e-03, 1.060113948156868e+00, 1.859190988655002e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
8, 0.000000000000000e+00, 0.000000000000000e+00, 5.915075792240120e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.285737878768473e+02, 5.142951515073892e+01, 3.028882748087829e+02, 0.000000000000000e+00, 1.042834947255974e+00, 1.859550903872942e-05, 0.000000000000000e+00, 2.970366854826024e-02, -7.131610851523081e-02, 6.224328211495885e-02
9, 1.359095134771569e-03, -7.008654539529288e-03, 5.835149348391447e-04, 1.943368755159380e-03, -4.143956807882512e-03, 1.267196155067058e+02, 5.068066590312410e+01, 3.025663886780999e+02, 2.249422887181562e-02, 9.444466052969429e-01, 1.858034526898829e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
