"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -1.808104532,      -8.691555099,      -9.011325298,      -9.061955614,       3.710819184,      -6.301434631,     0.07057449357,      0.2423013334,    -0.05118629292,      0.2569540634,     -0.2008216646,    -0.07847075929,     0.05753941252,    -0.05118629292,      0.2457232413,       3.433270593,   0.0004023282362
          0,           0,           1,       -2.05003765,      0.4351588663,     -0.5456167539,       0.637257691,       3.467828598,      -6.318272391,      0.1087674661,      0.2776361588,    -0.06577531045,       0.294774349,     -0.2334616929,      -0.120331087,     0.09379169614,    -0.06577531045,      0.2830464911,        2.55256621,   0.0004030360494
          0,           0,           2,      -2.019771027,      0.4484193143,     -0.4445532128,      0.4635930668,       3.502621423,      -6.377263068,      0.1382741482,      0.2692933981,    -0.07596734548,      0.2872185358,     -0.2294654411,     -0.1532689103,      0.1237016577,    -0.07596734548,      0.2762907422,       1.947532505,   0.0004040148699
          0,           0,           3,      -2.038809825,      0.4141736497,     -0.3202888487,      0.3080819156,       3.484263732,      -6.393945627,      0.1565228077,      0.2529547207,    -0.08141738483,      0.2715304936,     -0.2175126874,     -0.1737725752,      0.1427964841,    -0.08141738483,       0.260949505,       1.616088571,   0.0004054564441
          0,           0,           4,      -2.119670538,      0.3398989909,      -0.235903344,      0.3404934375,       3.401546254,      -6.350824546,      0.1586144244,      0.2421584689,    -0.07958544419,      0.2609811855,     -0.2086761243,     -0.1757380399,      0.1454614407,    -0.07958544419,      0.2502803008,        1.52671152,   0.0003529141119
          0,           0,           5,      -2.169794402,      0.2877670582,     -0.2044562178,       0.364429028,       3.350140149,      -6.298491357,      0.1520615993,      0.2369983677,    -0.07448038054,      0.2556025915,     -0.2036959515,     -0.1678615441,      0.1391934137,    -0.07448038054,       0.244777756,       1.558568164,   0.0003351273636
          0,           0,           6,      -2.170551622,        0.26582777,     -0.1672883713,      0.3633472397,       3.348728817,      -6.260647856,      0.1438774052,      0.2342046015,    -0.06955056989,      0.2522264226,     -0.2003393929,     -0.1583190542,      0.1311700247,    -0.06955056989,      0.2415510871,       1.627806681,   0.0003435998872
          0,           0,           7,      -2.158967536,      0.2602778228,     -0.1226355326,      0.3687616405,       3.358919331,      -6.231277197,      0.1369807308,      0.2315805628,     -0.0659024566,      0.2488216712,     -0.1970186268,     -0.1504404637,      0.1244232593,     -0.0659024566,      0.2385626337,       1.690606858,   0.0003570956671
          0,           0,           8,      -2.143632724,      0.2663920291,    -0.08039482292,        0.38612608,       3.372180837,      -6.203676949,      0.1315295149,      0.2285928462,    -0.06321924369,      0.2449923846,      -0.193444002,     -0.1442914211,      0.1191393053,    -0.06321924369,      0.2352881819,       1.737958559,   0.0003747670254
          0,           0,           9,      -2.122705998,      0.2807940992,    -0.03469301279,      0.4098124281,       3.390318443,      -6.176145877,      0.1269430889,      0.2256234074,    -0.06095010454,      0.2412061485,      -0.190064857,     -0.1390974709,      0.1147179323,    -0.06095010454,      0.2320781459,       1.777358731,   0.0003222828687
          0,           0,          10,      -2.098495105,      0.2985514395,     0.01366174611,      0.4352656851,       3.410759116,      -6.148463333,      0.1227522139,      0.2231587522,    -0.05875543625,      0.2379766852,     -0.1873730132,     -0.1342647908,      0.1106646002,    -0.05875543625,      0.2293932889,        1.81796112,   0.0003401300176
          0,           0,          11,      -2.073499809,      0.3163894771,     0.06113782192,      0.4599113957,       3.430968951,      -6.120678492,      0.1187294752,      0.2213699224,    -0.05651872813,      0.2354634521,     -0.1855311592,     -0.1295271045,       0.106743088,    -0.05651872813,       0.227392269,       1.864490026,    0.000398166165
          0,           0,          12,      -2.048769179,      0.3336934668,      0.1062564078,      0.4829563352,        3.45050993,      -6.092891493,      0.1147870849,      0.2200861349,    -0.05423477258,      0.2334763596,     -0.1843536363,     -0.1248085533,      0.1028748495,    -0.05423477258,      0.2258998605,       1.917342313,   0.0004862158389
          0,           0,          13,      -2.025431575,      0.3505284661,      0.1467473525,      0.5036927407,       3.468469016,      -6.065365824,      0.1108774525,      0.2189742555,    -0.05192026942,      0.2316787256,     -0.1834844249,     -0.1200893977,     0.09903014553,    -0.05192026942,      0.2245808636,       1.974921416,   0.0004999121803
          0,           0,          14,      -2.003609975,      0.3668673717,      0.1825682126,      0.5216149522,       3.484745222,      -6.038104067,      0.1069572367,      0.2177289709,    -0.04958016308,      0.2297772269,     -0.1825846541,     -0.1153497505,     0.09518199468,    -0.04958016308,      0.2231280868,       2.035663762,   0.0005077593451
          0,           0,          15,      -1.982483562,      0.3827568947,      0.2154224464,      0.5371983122,        3.50039304,      -6.011173098,      0.1029932409,      0.2161699668,    -0.04721023215,      0.2276082972,     -0.1814341479,      -0.110569964,     0.09130687307,    -0.04721023215,      0.2213597008,       2.098875276,   0.0005100582292
          0,           0,          16,      -1.961614762,      0.3982302709,      0.2462978944,      0.5513652465,       3.516185532,       -5.98474638,     0.09897784213,      0.2142515225,    -0.04481002522,      0.2251363432,     -0.1799468742,     -0.1057477846,     0.08739960935,    -0.04481002522,      0.2192296431,       2.164641276,   0.0005072958012
          0,           0,          17,        -1.9414223,      0.4131523175,      0.2751625715,       0.564646101,       3.531979473,      -5.958854141,      0.0949330831,      0.2120221038,     -0.0423899675,      0.2224083439,     -0.1781342723,      -0.100906258,     0.08347962756,     -0.0423899675,      0.2167874871,       2.233384789,   0.0005002889151
          0,           0,          18,      -1.922860588,      0.4271903037,      0.3014461952,      0.5769015525,       3.546685507,      -5.933293424,     0.09090233069,      0.2095702573,    -0.03997008851,      0.2194993293,     -0.1760510978,    -0.09608937135,     0.07958550598,    -0.03997008851,      0.2141239681,       2.305444268,   0.0004903564357
          0,           0,          19,      -1.906267477,       0.440073761,      0.3254902225,      0.5878587042,       3.559708994,      -5.907859253,     0.08693597432,      0.2069861674,    -0.03757379819,      0.2164800387,      -0.173755075,      -0.091349315,     0.07576274799,    -0.03757379819,      0.2113318318,       2.380903522,   0.0004791923105
          0,           0,          20,       -1.89106205,      0.4517071343,      0.3486589883,      0.5976709361,       3.571590373,      -5.882442941,     0.08307867029,      0.2043428118,    -0.03522152914,      0.2134044693,      -0.171285857,    -0.08673451087,     0.07205205057,    -0.03522152914,      0.2084863358,       2.459630265,   0.0004691113178
          0,           0,          21,      -1.876481981,      0.4621644871,      0.3722581413,      0.6067696735,        3.58310607,      -5.857016242,     0.07936294239,      0.2016923995,    -0.03292751178,      0.2103100995,     -0.1686611977,    -0.08228267495,     0.06848310411,    -0.03292751178,      0.2056413506,       2.541392662,   0.0005382652158
