"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.372748778,      -9.035605665,       -9.41819828,      -9.380156492,       3.146174938,      -6.984367148,      0.1749315851,      0.4114184897,     -0.1007940436,      0.4463290215,     -0.3504057427,      -0.193355513,      0.1527199502,     -0.1007940436,      0.4201700251,       2.351882249,   0.0006889099253
          0,           0,           1,      -2.773089259,     -0.1596725912,     -0.8331993787,     0.04812791387,       2.750735662,      -6.999348567,      0.2228606512,      0.4218367223,     -0.1195497605,      0.4641767162,      -0.359035495,     -0.2467281184,      0.2000245352,     -0.1195497605,      0.4331319376,       1.892827289,   0.0007041866135
          0,           0,           2,      -2.744992714,     -0.1539263692,     -0.7512148367,     -0.1419383918,       2.780833956,      -6.888295989,       0.191564871,      0.3332924404,    -0.09776056915,      0.3661971046,     -0.2828739909,     -0.2114054413,      0.1735000205,    -0.09776056915,      0.3430432822,       1.739841124,   0.0008799801423
          0,           0,           3,      -2.727107471,     -0.2139312444,     -0.7461933875,     -0.2739811556,       2.800393244,       -6.81482236,      0.1451324959,      0.2587407749,    -0.06981433837,      0.2789782765,     -0.2182801097,     -0.1584935304,      0.1311135435,    -0.06981433837,      0.2661192753,       1.782790086,   0.0008976428131
          0,           0,           4,      -2.761598152,     -0.2853458357,     -0.6793046551,     -0.2257806199,       2.763228529,      -6.763969589,      0.1089410033,      0.2209874888,    -0.04874247402,      0.2323766774,     -0.1849821135,     -0.1165353971,     0.09698898757,    -0.04874247402,      0.2264878555,       2.028506092,   0.0009009370845
          0,           0,           5,      -2.769908483,     -0.2862896448,     -0.5998472094,     -0.1964014672,       2.744670587,      -6.725113619,     0.08680147235,      0.2054195615,    -0.03594823958,      0.2122209337,     -0.1704275958,    -0.09011447558,     0.07571206587,    -0.03594823958,      0.2097602797,       2.366544667,   0.0009035629653
          0,           0,           6,      -2.754502114,     -0.2604335858,     -0.5324927559,     -0.1847539197,       2.747534053,      -6.687943892,     0.07407523253,      0.1965270768,    -0.02842992962,      0.2008343672,     -0.1612116182,    -0.07429495383,     0.06347866722,    -0.02842992962,      0.2002011259,       2.653074045,    0.000968223464
          0,           0,           7,      -2.733403503,     -0.2396827442,     -0.4659289023,     -0.1773443838,       2.757980427,      -6.647058065,     0.06580138908,       0.187834774,    -0.02323461629,      0.1899050941,     -0.1514945301,    -0.06363984958,     0.05568063058,    -0.02323461629,      0.1910795449,       2.854571562,   0.0009856005783
          0,           0,           8,      -2.710818083,     -0.2250900675,     -0.3995290053,     -0.1716856804,       2.773196195,      -6.603473977,     0.05953556456,      0.1788159204,     -0.0189697134,      0.1782342873,     -0.1405755632,    -0.05545902611,     0.04990518164,     -0.0189697134,      0.1817390703,       3.003514315,   0.0009896210785
          0,           0,           9,      -2.688039228,     -0.2133558671,     -0.3383552746,     -0.1645417983,       2.791717201,      -6.559264131,     0.05472126975,      0.1707236676,    -0.01537013733,      0.1672234604,     -0.1295200968,    -0.04916777827,     0.04552972927,    -0.01537013733,      0.1734013604,       3.119877671,   0.0009912982101
