# t = 5.29203e-05
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
3.0488133263451700e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.0976266526903400e-04 4.4835485155584779e-04 1 2.6820082944765372e+03 3.1021132053413423e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2068123867073882e+02 2.4105110992038280e+02 2.5926640392672930e+01 1.3351848917932799e+02 -6.2959119287987932e+01 0.0000000000000000e+00 4.1487058551578148e+03 4.1487058551578148e+03 -2.6856493890553813e-45
9.1478235611952368e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1003938170097946e-04 4.4199518179621435e-04 1 2.7318624331230972e+03 3.1597764057702565e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2363341979020163e+02 2.4427741551712441e+02 2.5323860864298837e+01 1.2492345255369126e+02 -6.8081994979822042e+01 0.0000000000000000e+00 3.9487167176146786e+03 3.9487167176146786e+03 1.1373369290354855e-14
1.5248267565311070e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1004941912218714e-04 4.2586666220755214e-04 1 2.7876996384306103e+03 3.2243598495614326e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2702049790840982e+02 2.4268793759866418e+02 2.5125387212903473e+01 1.2785447043360303e+02 -7.4222352994951450e+01 0.0000000000000000e+00 4.0509467843149578e+03 4.0509467843149578e+03 1.0345248614781045e-14
2.1347197051944959e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.0973647820459034e-04 4.1268266642479425e-04 1 2.8366168044579967e+03 3.2809393116808992e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3024170044387370e+02 2.4165868286742938e+02 2.3960880924360360e+01 1.1616348088980941e+02 -7.9404971314542365e+01 0.0000000000000000e+00 3.8083740749898016e+03 3.8083740749898016e+03 9.2019098139908939e-45
2.7449090492957786e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1064220999797539e-04 4.0163712223687231e-04 1 2.8679094596598820e+03 3.3171335915911739e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3283889410039552e+02 2.3965524950665815e+02 2.1958899119894149e+01 9.1744923638623845e+01 -8.2535167084016322e+01 0.0000000000000000e+00 3.2791534258172496e+03 3.2791534258172496e+03 -1.5844280258595256e-16
3.3568870480643626e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1331378753919259e-04 3.8846985701460225e-04 1 2.8651738725480777e+03 3.3139695070798142e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3301536041458297e+02 2.3170007093631739e+02 1.9090021443229485e+01 5.6745444233406907e+01 -8.2088248411945457e+01 0.0000000000000000e+00 1.3368000171724179e+03 1.3368000171724179e+03 -1.6004678627480690e-14
3.9720574294536144e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.1702697523931000e-04 3.8964403965450155e-04 1 3.0422796233332315e+03 3.5188167811855603e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4443216713882470e+02 2.5522573491351932e+02 3.7782035385228127e+01 3.6247738358214133e+02 -5.0073910939034626e+01 0.0000000000000000e+00 3.6011472821968669e+03 3.6011472821968669e+03 -3.8297622893106927e-14
4.5914129795306784e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.2168412491481976e-04 3.9007484502905879e-04 1 3.1649857097517211e+03 3.6607433262445296e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.5249170733092433e+02 2.7203337854938843e+02 3.4947489572381045e+01 2.9165021419626322e+02 -7.1437747390951401e+01 0.0000000000000000e+00 2.8158520799306707e+03 2.8158520799306707e+03 -2.7193724266198923e-14
5.2155515991520150e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.2659311432785355e-04 3.8800066287864726e-04 1 3.2425575020366373e+03 3.7504658232646218e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.5894623686260547e+02 2.8229497757764085e+02 3.1802630957203622e+01 2.3202004617115492e+02 -7.9662196592971512e+01 0.0000000000000000e+00 2.0591958211934634e+03 2.0591958211934634e+03 -6.7084724753500863e-14
5.8446382254221932e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.3158013821250185e-04 3.8408483456943746e-04 1 3.2758086319768036e+03 3.7889253498411581e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.6402104013567043e+02 2.8630290965952946e+02 2.8541118558172411e+01 1.8239798863966769e+02 -8.1016045176091652e+01 0.0000000000000000e+00 1.5623089264501916e+03 1.5623089264501916e+03 6.3023927773077438e-14
6.4785578703404241e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 6.3625915162396005e-04 3.8086096451811556e-04 1 3.2534428865651234e+03 3.7630562746664979e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.6719776640997037e+02 2.8442205754996451e+02 2.4512607786397176e+01 1.2920825591122772e+02 -7.7655413081965207e+01 0.0000000000000000e+00 1.2947531461505596e+03 1.2947531461505596e+03 4.6554028976072500e-14
