"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.826345133,       -3.90629208,      -3.746027851,      -3.229967989
          0,           0,           1,      -3.951927617,        -3.9139268,      -3.873473247,      -3.343718255
          0,           0,           2,      -4.001279641,      -3.988950335,      -3.932035784,      -3.402528742
          0,           0,           3,      -3.972358557,      -3.962749807,       -3.93574426,      -3.377182551
          0,           0,           4,      -3.981591938,      -3.959302067,      -3.974018128,      -3.390112012
          0,           0,           5,      -4.006866911,      -3.976720061,      -3.992757093,      -3.417346802
          0,           0,           6,      -4.016391347,      -3.987414802,      -3.995640366,      -3.427663109
          0,           0,           7,      -4.019080075,      -3.982122459,       -4.01251511,      -3.426985427
          0,           0,           8,      -4.037772834,      -3.984956878,      -4.049132812,      -3.441518235
          0,           0,           9,       -4.07423869,      -4.006562011,      -4.091170798,       -3.47735537
          0,           0,          10,        -4.1162008,       -4.03652136,      -4.130955395,      -3.522266259
          0,           0,          11,      -4.153388117,      -4.061503118,      -4.173952688,       -3.56220124
          0,           0,          12,      -4.186120149,      -4.080764138,      -4.222564431,      -3.594910228
          0,           0,          13,      -4.218544041,       -4.09930839,      -4.271140194,      -3.625707826
          0,           0,          14,      -4.252221986,      -4.120171435,      -4.315124167,      -3.658520065
          0,           0,          15,      -4.286425433,      -4.143705959,      -4.356967142,      -3.693630495
          0,           0,          16,      -4.320561829,       -4.16804317,      -4.400833812,      -3.729574322
          0,           0,          17,      -4.353757919,      -4.190990149,      -4.445085323,      -3.763863823
          0,           0,          18,      -4.384555909,      -4.212409982,      -4.485308983,      -3.794794142
          0,           0,          19,       -4.41219771,      -4.233536249,      -4.521282802,      -3.822923578
          0,           0,          20,      -4.437471882,      -4.255030418,       -4.55721097,       -3.84975549
          0,           0,          21,      -4.460528674,      -4.276689575,      -4.594780108,      -3.875043593
          0,           0,          22,      -4.480424995,      -4.298541397,      -4.631668576,      -3.897245438
          0,           0,          23,      -4.497887932,       -4.32072436,      -4.665420149,      -3.917302387
          0,           0,          24,      -4.515075606,      -4.342741991,       -4.69706927,      -3.937720328
          0,           0,          25,      -4.533326221,      -4.363727468,       -4.72843013,      -3.959312127
          0,           0,          26,      -4.551827727,      -4.383317464,      -4.759323729,       -3.98068917
          0,           0,          27,      -4.569668644,      -4.401809354,      -4.788564821,      -4.000815217
          0,           0,          28,      -4.587181522,      -4.419647207,      -4.815600789,      -4.020181675
          0,           0,          29,      -4.605396945,      -4.436999264,      -4.841168631,      -4.039795122
          0,           0,          30,      -4.623552249,      -4.453846651,      -4.865676619,      -4.058968248
          0,           0,          31,      -4.641962448,      -4.470074754,      -4.889499794,      -4.078136433
          0,           0,          32,      -4.659652466,      -4.485609964,      -4.913049129,       -4.09664792
          0,           0,          33,       -4.67766328,      -4.500475668,      -4.937248562,      -4.115733603
          0,           0,          34,      -4.698840583,      -4.514805508,      -4.962952731,      -4.138118797
          0,           0,          35,      -4.723312941,      -4.528772444,      -4.990230957,      -4.163549261
          0,           0,          36,      -4.751210266,      -4.542514327,       -5.01858932,      -4.191824678
          0,           0,          37,      -4.781807722,       -4.55612009,       -5.04663043,      -4.221837873
          0,           0,          38,      -4.813626578,      -4.569482551,      -5.072479379,       -4.25190291
          0,           0,          39,      -4.842137174,      -4.582197595,       -5.09510973,      -4.277499441
          0,           0,          40,      -4.861715814,      -4.594010253,      -5.113069254,       -4.29376228
          0,           0,          41,      -4.868476468,      -4.604641216,      -5.126294178,      -4.298293105
          0,           0,          42,      -4.862249282,      -4.614085672,      -5.135438637,      -4.291974799
          0,           0,          43,      -4.846390287,      -4.622832387,      -5.141516204,      -4.278046154
          0,           0,          44,      -4.820259328,      -4.631977821,      -5.146328153,      -4.254958965
          0,           0,          45,      -4.788496093,      -4.641670637,      -5.149526769,      -4.226366023
          0,           0,          46,      -4.758787897,      -4.650687764,      -5.149659863,      -4.199415417
          0,           0,          47,      -4.736324823,      -4.659053985,      -5.146250942,      -4.178886296
          0,           0,          48,       -4.72121854,      -4.668673778,      -5.142593951,      -4.165058743
          0,           0,          49,      -4.705088366,      -4.680089791,      -5.143499355,      -4.149681818
          0,           0,          50,      -4.686336989,      -4.689756411,      -5.150844908,      -4.131093424
          0,           0,          51,      -4.676382384,      -4.695114243,       -5.16498865,      -4.121285696
          0,           0,          52,      -4.681827834,       -4.70017848,      -5.187453946,      -4.127408292
          0,           0,          53,      -4.702688335,      -4.710695562,      -5.216017564,      -4.149475675
          0,           0,          54,      -4.735072447,      -4.726521657,      -5.244587273,      -4.183148402
          0,           0,          55,      -4.775569146,      -4.744479634,      -5.270900406,      -4.224613375
