"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          67,      -1.586564545,       1.451338338,       1.543677323,       5.586975186,      -1.823963763
          0,           0,          68,      -1.593052498,       1.447466904,       1.537006535,       5.576971815,      -1.829488393
          0,           0,          69,      -1.599605686,       1.445073907,       1.530719815,       5.565922721,      -1.835182409
          0,           0,          70,      -1.605742936,       1.444016491,       1.525289196,       5.554667867,      -1.840623556
          0,           0,          71,      -1.611183458,        1.44453555,       1.520929811,       5.543908268,      -1.845504475
          0,           0,          72,      -1.615797317,       1.447193008,       1.517856595,       5.534176508,      -1.849405767
          0,           0,          73,      -1.619352284,       1.452341363,       1.517226739,       5.525781537,      -1.850190899
          0,           0,          74,      -1.620120169,       1.461110855,        1.52054495,       5.521086332,      -1.847334332
          0,           0,          75,      -1.615759382,       1.473607072,       1.527572543,        5.52441974,      -1.841157618
          0,           0,          76,      -1.608366608,       1.484324869,       1.535981451,       5.534451723,      -1.833545682
          0,           0,          77,      -1.599731278,       1.491958821,       1.544465032,       5.548123148,      -1.825422775
          0,           0,          78,      -1.591165414,       1.496038297,       1.552553694,       5.562787904,      -1.817580789
          0,           0,          79,      -1.583573405,       1.496698516,       1.559735881,       5.576606536,       -1.81054145
          0,           0,          80,      -1.577487512,       1.494065811,       1.565686667,       5.588435872,      -1.804592961
          0,           0,          81,      -1.573160839,       1.488575735,       1.570224715,       5.597701709,       -1.79992502
          0,           0,          82,      -1.570655119,        1.48087992,       1.573311434,       5.604180803,      -1.795810658
          0,           0,          83,      -1.569247117,       1.472129807,       1.575995733,       5.608728218,      -1.793330134
          0,           0,          84,      -1.569361444,       1.462814851,       1.577245998,       5.610716711,        -1.7930081
          0,           0,          85,      -1.571737095,       1.453306885,       1.575631787,       5.609036118,      -1.794442279
          0,           0,          86,      -1.575824663,       1.444914992,       1.572011047,       5.604394087,      -1.797371629
          0,           0,          87,      -1.581282694,        1.43800693,       1.566639319,       5.597133845,      -1.801620381
          0,           0,          88,      -1.587595763,       1.432888394,       1.560266404,       5.587851291,      -1.806839779
          0,           0,          89,      -1.594261867,       1.429891819,       1.553498364,       5.577231864,      -1.812658475
          0,           0,          90,      -1.600830708,        1.42937213,       1.547031204,       5.565944697,      -1.818729718
          0,           0,          91,       -1.60693749,       1.430691844,       1.541217268,       5.554669371,      -1.824714493
          0,           0,          92,      -1.612317866,       1.433326009,       1.536246341,       5.544069727,      -1.830324969
          0,           0,          93,      -1.616872832,       1.437303777,       1.532289509,       5.534604638,      -1.834680186
          0,           0,          94,      -1.620120396,       1.443004827,       1.529943832,        5.52701903,      -1.836262173
          0,           0,          95,      -1.620172932,       1.451553922,       1.530804193,        5.52392512,      -1.835024724
          0,           0,          96,      -1.616150903,       1.461312682,        1.53528795,       5.527431707,       -1.83210003
          0,           0,          97,      -1.610496381,       1.467785808,       1.540800433,       5.535270507,      -1.828127654
          0,           0,          98,      -1.604485391,       1.470949816,       1.546630092,       5.545061319,      -1.823738538
          0,           0,          99,       -1.59893514,        1.47086788,       1.552268069,       5.555069275,      -1.819509374
          0,           0,         100,      -1.594408897,       1.467996308,       1.557219443,       5.564129584,      -1.815803728
          0,           0,         101,      -1.591208299,       1.462794091,       1.561195277,       5.571517961,      -1.812933826
          0,           0,         102,      -1.589444476,       1.455829494,       1.564012187,       5.576870694,      -1.811019463
          0,           0,         103,      -1.589200977,       1.448032581,       1.565545654,       5.579921626,      -1.810035916
          0,           0,         104,      -1.590124882,       1.440537492,       1.565778317,        5.58105799,      -1.809969635
          0,           0,         105,      -1.592060863,       1.432789798,       1.564854615,        5.58040958,      -1.810243665
          0,           0,         106,      -1.594418557,       1.425087372,       1.563616236,       5.578722747,      -1.811534347
          0,           0,         107,      -1.597573133,       1.417921388,       1.561350324,       5.575376663,      -1.814068094
          0,           0,         108,       -1.60184194,       1.411887832,       1.557374031,       5.569833673,      -1.817600815
          0,           0,         109,       -1.60684374,        1.40740013,       1.552264395,       5.562583751,      -1.821921718
          0,           0,         110,      -1.612237725,       1.405319883,       1.546491427,       5.554057158,      -1.826773425
          0,           0,         111,      -1.617641316,       1.405619286,         1.5406041,       5.544807279,      -1.831873192
          0,           0,         112,      -1.622746633,        1.40794577,       1.535075973,       5.535348624,      -1.836966956
          0,           0,         113,       -1.62726689,       1.411553941,       1.530244545,       5.526270315,       -1.84179205
          0,           0,         114,      -1.631029447,       1.415770628,       1.526234737,       5.518083283,      -1.846034407
          0,           0,         115,      -1.633989395,       1.420456532,       1.523161563,       5.511118617,      -1.848766846
          0,           0,         116,      -1.635325297,        1.42632071,       1.521451913,       5.506648842,      -1.849052349
          0,           0,         117,      -1.634168738,       1.433071931,       1.522331357,       5.505974082,      -1.846940723
          0,           0,         118,        -1.6295493,       1.440449653,       1.526713766,       5.510759197,      -1.843651667
          0,           0,         119,      -1.623913827,       1.445001704,       1.532396801,        5.51848143,      -1.839692835
          0,           0,         120,      -1.618202619,       1.446828987,       1.538520115,       5.527411285,      -1.835543727
          0,           0,         121,      -1.613037643,       1.446523181,       1.544466725,       5.536291055,      -1.831607464
          0,           0,         122,      -1.608838088,       1.444232029,        1.54980471,       5.544243627,      -1.828347467
          0,           0,         123,      -1.605912072,       1.440296768,       1.554155118,       5.550564626,      -1.825868567
          0,           0,         124,      -1.604247962,       1.435152619,       1.557353455,       5.555134653,      -1.824193012
          0,           0,         125,      -1.603829063,       1.429330811,       1.559418579,       5.557793437,       -1.82324148
          0,           0,         126,      -1.604243191,       1.423101697,       1.560360337,       5.559059836,      -1.823102593
          0,           0,         127,      -1.605546441,        1.41629501,          1.560115,       5.558782279,       -1.82371503
          0,           0,         128,      -1.607639342,       1.409439548,       1.558740835,       5.557036318,       -1.82502018
          0,           0,         129,      -1.610384538,       1.403165143,       1.556365128,        5.55396073,      -1.826609305
          0,           0,         130,      -1.613354571,        1.39780171,       1.553550097,       5.550155136,      -1.828862084
          0,           0,         131,      -1.616803643,       1.393882797,       1.549891944,        5.54520188,      -1.831839023
          0,           0,         132,      -1.620754514,       1.392074108,       1.545406516,       5.538982112,      -1.835348673
          0,           0,         133,      -1.624884665,       1.392458048,       1.540528779,       5.531936608,      -1.839182896
          0,           0,         134,      -1.628911517,       1.395050787,       1.535688525,       5.524504647,      -1.843128266
          0,           0,         135,      -1.632581801,       1.399363709,       1.531285707,       5.517146017,      -1.846949885
          0,           0,         136,      -1.635661886,       1.404635078,        1.52753284,       5.510376524,       -1.85032962
          0,           0,         137,      -1.637953727,        1.41051954,       1.524753637,        5.50469015,      -1.852596696
          0,           0,         138,      -1.638932803,       1.417237315,        1.52289556,       5.501083701,      -1.853208721
          0,           0,         139,      -1.638062907,       1.424407877,       1.522587803,       5.500406176,      -1.851636403
          0,           0,         140,      -1.635031366,       1.431376948,       1.524731742,        5.50319406,        -1.8486417
          0,           0,         141,      -1.629917867,       1.437271079,       1.529690418,       5.509466718,      -1.844973423
          0,           0,         142,      -1.624522348,       1.440251927,       1.535469263,       5.517231308,      -1.841014554
          0,           0,         143,      -1.619462931,       1.440803249,       1.541325783,       5.525344912,      -1.837178838
          0,           0,         144,      -1.615226185,       1.439338687,       1.546782508,       5.532782308,      -1.833867312
          0,           0,         145,      -1.611980786,       1.437132064,        1.55166235,       5.539036957,      -1.831103525
          0,           0,         146,        -1.6097606,       1.434129503,       1.555855369,       5.543927597,      -1.829070821
          0,           0,         147,      -1.608599102,       1.430584339,       1.559103695,       5.547249113,       -1.82759303
          0,           0,         148,      -1.608197933,       1.426624059,       1.561356487,       5.549345864,      -1.826794185
          0,           0,         149,      -1.608532116,       1.422174351,       1.562584241,        5.55019154,      -1.826658903
          0,           0,         150,      -1.609599882,       1.417440918,       1.562701888,       5.549744127,      -1.827165483
          0,           0,         151,       -1.61133105,       1.412911822,       1.561746355,       5.548059022,       -1.82824747
          0,           0,         152,      -1.613621058,       1.408903649,       1.559815403,       5.545253458,      -1.829799659
          0,           0,         153,      -1.616303602,       1.405653058,       1.557175495,       5.541536258,      -1.831531031
          0,           0,         154,      -1.619021778,       1.403447566,       1.554343029,       5.537425061,      -1.833848815
          0,           0,         155,      -1.622140562,       1.402548711,       1.550784412,       5.532328164,        -1.8366549
          0,           0,         156,      -1.625460679,       1.403087437,       1.546784099,       5.526515277,      -1.839775348
          0,           0,         157,       -1.62868219,       1.405605683,       1.542835997,       5.520429991,      -1.842989464
          0,           0,         158,      -1.631611311,       1.409113402,       1.539179142,       5.514448464,      -1.845968974
          0,           0,         159,      -1.633983483,       1.412900616,       1.535910633,       5.509118041,      -1.848137358
          0,           0,         160,       -1.63526727,       1.417434974,       1.533236664,       5.505397014,      -1.849050653
          0,           0,         161,      -1.634979121,       1.422689675,       1.531376118,       5.504268185,      -1.848623287
          0,           0,         162,      -1.633327138,       1.427976769,       1.531154202,       5.505337262,      -1.846734713
          0,           0,         163,      -1.630134259,       1.433244285,       1.533165731,       5.508954644,      -1.843854711
          0,           0,         164,      -1.625559962,       1.437823331,       1.537872404,         5.5148018,       -1.84055671
          0,           0,         165,      -1.620895891,       1.440351057,       1.543313471,       5.521619724,      -1.837200717
          0,           0,         166,      -1.616677604,       1.440952666,       1.548904752,       5.528383016,      -1.834129385
          0,           0,         167,      -1.613258097,       1.440005936,       1.554131077,       5.534343011,      -1.831504328
          0,           0,         168,      -1.610712597,       1.438033106,       1.558784931,       5.539271129,      -1.829466988
          0,           0,         169,      -1.609099645,        1.43525809,       1.562605484,       5.542933608,        -1.8279419
          0,           0,         170,      -1.608238276,       1.432119905,       1.565506542,       5.545475507,      -1.826903066
          0,           0,         171,      -1.607978702,       1.428851806,        1.56747193,       5.547055128,      -1.826433412
          0,           0,         172,      -1.608355585,       1.425471077,       1.568568208,       5.547544727,      -1.826522716
          0,           0,         173,      -1.609378367,       1.422195503,       1.568638724,       5.546922208,      -1.827143188
          0,           0,         174,      -1.610982931,       1.419195731,         1.5677035,        5.54524889,      -1.828241205
          0,           0,         175,      -1.613090509,        1.41660764,       1.565849091,        5.54261309,      -1.829728044
          0,           0,         176,       -1.61561034,        1.41469633,       1.563224532,       5.539116363,      -1.831313825
          0,           0,         177,      -1.618181184,       1.413669053,       1.560349451,       5.535274845,      -1.833337046
          0,           0,         178,      -1.621002295,        1.41399226,       1.557056373,       5.530722388,      -1.835791386
          0,           0,         179,      -1.623988738,       1.415568163,       1.553448052,       5.525554295,      -1.838496409
