"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,          37,       -3.27776557,       -5.30101214,       -5.12406721,      -6.772239289,      -3.797033037,     -0.2038600416,     -0.6576915511,       3.739094833,       1.010220154
          0,           0,          38,      -3.276753749,      -5.299974512,      -5.122810878,      -6.767115593,      -3.796023951,      -0.207578787,     -0.6595864878,       3.741511785,       1.011702102
          0,           0,          39,      -3.275802173,      -5.298997132,      -5.121594512,      -6.761564738,       -3.79507538,     -0.2113193653,     -0.6610850988,       3.743686649,       1.013229887
          0,           0,          40,       -3.27491402,      -5.298083095,      -5.120420307,      -6.755592796,      -3.794190511,     -0.2150659325,     -0.6622020194,       3.745638439,       1.014810883
          0,           0,          41,      -3.274092414,      -5.297235443,      -5.119290384,      -6.749205691,       -3.79337248,     -0.2188046497,      -0.662945651,       3.747385059,       1.016450225
          0,           0,          42,      -3.273341275,      -5.296458002,      -5.118207662,      -6.742410517,      -3.792625219,     -0.2225262461,     -0.6633534015,        3.74893976,       1.018148553
          0,           0,          43,      -3.272662142,      -5.295752228,      -5.117172523,      -6.735211796,      -3.791950278,     -0.2262224119,     -0.6634118489,        3.75031767,       1.019911652
          0,           0,          44,      -3.272057608,       -5.29512062,      -5.116186376,      -6.727614931,      -3.791350264,      -0.229899319,     -0.6631479003,       3.751527459,        1.02174062
          0,           0,          45,       -3.27152893,      -5.294564347,      -5.115249328,      -6.719625246,      -3.790826447,     -0.2335224888,     -0.6625651591,       3.752584418,       1.023640493
          0,           0,          46,      -3.271079024,      -5.294086225,      -5.114363033,      -6.711249249,      -3.790381758,     -0.2371174751,     -0.6617101709,       3.753492507,       1.025609727
          0,           0,          47,      -3.270708397,       -5.29368667,      -5.113526745,       -6.70249302,      -3.790016719,     -0.2406576096,     -0.6605839537,       3.754262296,       1.027654146
          0,           0,          48,      -3.270416582,      -5.293365131,      -5.112738615,      -6.693361434,      -3.789730878,     -0.2441278737,     -0.6591728358,       3.754904866,       1.029781428
          0,           0,          49,       -3.27020395,      -5.293121887,      -5.111997598,      -6.683860564,      -3.789524624,     -0.2475298038,     -0.6574931775,       3.755426849,       1.031996532
          0,           0,          50,      -3.270070927,       -5.29295727,      -5.111302608,      -6.673996781,      -3.789398401,     -0.2508887701,     -0.6555692175,       3.755830372,       1.034303618
          0,           0,          51,      -3.270016435,      -5.292870115,      -5.110651103,      -6.663776744,      -3.789351148,     -0.2541801822,     -0.6533968041,       3.756126075,       1.036712109
          0,           0,          52,      -3.270039903,      -5.292859763,       -5.11004094,      -6.653207559,      -3.789382314,     -0.2574106688,     -0.6509946521,       3.756319326,       1.039229263
          0,           0,          53,      -3.270142001,      -5.292926781,      -5.109471271,      -6.642299071,      -3.789492588,     -0.2605921468,     -0.6484197551,       3.756411242,        1.04185806
          0,           0,          54,       -3.27031958,       -5.29306795,      -5.108937237,      -6.631057532,      -3.789678842,     -0.2637082273,     -0.6456249251,        3.75641459,       1.044614684
          0,           0,          55,      -3.270571373,      -5.293281916,      -5.108435838,      -6.619491198,      -3.789939832,     -0.2667551128,     -0.6426257057,        3.75633561,       1.047509572
          0,           0,          56,      -3.270894891,      -5.293566107,      -5.107962813,      -6.607608293,      -3.790273092,     -0.2697500053,     -0.6394202656,       3.756178707,       1.050554375
          0,           0,          57,      -3.271288882,      -5.293919178,      -5.107515142,      -6.595418764,      -3.790677392,     -0.2726989678,     -0.6360386621,       3.755948252,       1.053758654
          0,           0,          58,      -3.271751802,      -5.294339496,      -5.107089491,      -6.582933043,      -3.791151212,     -0.2755979291,     -0.6325099172,       3.755649396,       1.057133051
          0,           0,          59,      -3.272279205,      -5.294822551,       -5.10667944,       -6.57015894,      -3.791690133,     -0.2784305694,     -0.6287859156,       3.755294406,       1.060697067
          0,           0,          60,      -3.272868347,      -5.295365513,      -5.106280277,       -6.55710605,      -3.792291437,     -0.2811961217,      -0.624872227,       3.754889783,       1.064465012
          0,           0,          61,      -3.273517648,      -5.295966707,      -5.105888444,      -6.543785467,      -3.792953571,     -0.2839044704,     -0.6208079881,       3.754438129,       1.068447381
          0,           0,          62,      -3.274225906,      -5.296624832,      -5.105500679,      -6.530208745,      -3.793675362,     -0.2865770867,     -0.6166353884,       3.753940451,       1.072654073
          0,           0,          63,       -3.27498773,      -5.297334437,      -5.105109429,       -6.51638426,       -3.79445145,     -0.2891933518,     -0.6122930248,       3.753410324,       1.077107844
          0,           0,          64,      -3.275799962,      -5.298092275,      -5.104709358,      -6.502322128,      -3.795278706,     -0.2917509266,     -0.6077838641,       3.752854127,       1.081824305
          0,           0,          65,      -3.276659951,        -5.2988956,      -5.104295515,      -6.488032561,      -3.796154513,      -0.294277268,     -0.6031187142,       3.752274535,        1.08681754
          0,           0,          66,      -3.277569747,      -5.299746324,      -5.103867813,      -6.473530208,      -3.797080952,     -0.2968222599,     -0.5984259057,        3.75166128,       1.092087666
          0,           0,          67,      -3.278521399,      -5.300636453,      -5.103415938,      -6.458822099,      -3.798050109,      -0.299315865,     -0.5935815936,       3.751037953,       1.097664534
          0,           0,          68,      -3.279515451,      -5.301566401,      -5.102938121,      -6.443921258,      -3.799062561,     -0.3017974747,     -0.5886737036,       3.750397931,       1.103551625
          0,           0,          69,      -3.280548065,      -5.302532241,      -5.102428017,      -6.428837047,      -3.800114509,     -0.3042718712,     -0.5836740995,       3.749748805,       1.109766574
          0,           0,          70,      -3.281614113,      -5.303528768,      -5.101878003,      -6.413577735,      -3.801200864,     -0.3067068467,     -0.5785336038,       3.749103569,       1.116330006
          0,           0,          71,      -3.282710509,      -5.304552788,      -5.101282472,      -6.398152694,      -3.802318578,     -0.3090935287,     -0.5732549836,       3.748467965,       1.123255479
          0,           0,          72,      -3.283839326,      -5.305606211,      -5.100641041,      -6.382575019,      -3.803469767,      -0.311476184,     -0.5679487438,       3.747831403,       1.130541544
          0,           0,          73,      -3.284999908,      -5.306688253,      -5.099950456,      -6.366855806,      -3.804653816,     -0.3138778593,     -0.5626462197,       3.747191997,       1.138194223
          0,           0,          74,      -3.286190924,      -5.307797453,      -5.099206557,      -6.351004907,      -3.805869441,     -0.3163465551,     -0.5573544391,       3.746547117,       1.146221279
          0,           0,          75,      -3.287403082,      -5.308924475,      -5.098397425,      -6.335027076,      -3.807107396,     -0.3187848102,      -0.551927025,       3.745925301,       1.154651059
          0,           0,          76,      -3.288633672,      -5.310066479,      -5.097517608,      -6.318930143,      -3.808365018,     -0.3211771276,     -0.5463699163,       3.745331615,       1.163492431
          0,           0,          77,      -3.289888039,      -5.311228587,       -5.09656978,      -6.302727351,      -3.809647702,     -0.3236030187,     -0.5408352832,       3.744744534,       1.172732445
