"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -5.357063389,      -5.242298375,      -5.239708305,      -4.747421733,      -4.806343208
          0,           0,          64,      -5.382269828,      -5.267073011,      -5.268391069,      -4.772274852,      -4.831994314
          0,           0,          65,       -5.40757811,      -5.291705801,      -5.296808281,      -4.797264677,      -4.857700429
          0,           0,          66,      -5.432994867,      -5.316204553,      -5.324971767,      -4.822394911,       -4.88347686
          0,           0,          67,      -5.458527713,       -5.34058585,      -5.352906543,      -4.847669884,      -4.909338004
          0,           0,          68,      -5.484180779,      -5.364872422,      -5.380650058,      -4.873094183,      -4.935294197
          0,           0,          69,      -5.509952053,      -5.389090459,      -5.408250617,      -4.898672267,      -4.961349953
          0,           0,          70,      -5.535830112,      -5.413267348,      -5.435765247,      -4.924408172,      -4.987500354
          0,           0,          71,      -5.561797648,      -5.437430249,      -5.463256364,       -4.95030527,      -5.013734486
          0,           0,          72,      -5.587829914,        -5.4616049,      -5.490788004,      -4.976366172,      -5.040033111
          0,           0,          73,       -5.61389919,      -5.485814629,      -5.518421116,      -5.002592819,      -5.066372208
          0,           0,          74,      -5.639976409,       -5.51007975,      -5.546208713,      -5.028986744,      -5.092723837
          0,           0,          75,      -5.666037116,      -5.534417783,      -5.574191105,      -5.055549124,       -5.11906219
          0,           0,          76,      -5.692064389,      -5.558842815,      -5.602392872,        -5.0822812,      -5.145367016
          0,           0,          77,      -5.718049573,      -5.583365267,      -5.630820096,      -5.109184235,      -5.171624881
          0,           0,          78,      -5.743992526,      -5.607992289,       -5.65946054,      -5.136259964,      -5.197830037
          0,           0,          79,      -5.769901304,       -5.63272757,      -5.688285376,      -5.163510467,      -5.223984787
          0,           0,          80,      -5.795790435,      -5.657571454,      -5.717252241,      -5.190938021,      -5.250098431
          0,           0,          81,      -5.821678093,      -5.682521464,      -5.746309663,      -5.218544969,      -5.276184717
          0,           0,          82,      -5.847586578,      -5.707571684,      -5.775403155,      -5.246333516,      -5.302263525
          0,           0,          83,      -5.873534422,      -5.732712834,      -5.804480287,       -5.27430573,      -5.328352378
          0,           0,          84,      -5.899535189,      -5.757932384,      -5.833496061,      -5.302462458,      -5.354465421
          0,           0,          85,      -5.925594719,      -5.783214951,      -5.862417888,      -5.330803926,      -5.380610675
          0,           0,          86,      -5.951709685,      -5.808543019,      -5.891229359,      -5.359329518,      -5.406788642
          0,           0,          87,      -5.977867924,      -5.833897896,      -5.919931638,      -5.388037705,       -5.43299263
          0,           0,          88,      -6.004049576,      -5.859260934,      -5.948543154,      -5.416926172,      -5.459209419
          0,           0,          89,      -6.030228773,      -5.884614609,      -5.977097489,      -5.445992011,      -5.485420292
          0,           0,          90,      -6.056377678,      -5.909943917,      -6.005640229,      -5.475231978,      -5.511604351
          0,           0,          91,       -6.08246825,      -5.935237412,      -6.034224789,      -5.504643162,       -5.53773919
          0,           0,          92,      -6.108478618,      -5.960489426,       -6.06290703,      -5.534222486,      -5.563807277
          0,           0,          93,       -6.13439425,      -5.985699725,      -6.091740651,        -5.5639675,      -5.589795918
          0,           0,          94,      -6.160212157,       -6.01087448,      -6.120772868,      -5.593876753,      -5.615701458
          0,           0,          95,      -6.185940321,      -6.036025901,      -6.150040702,      -5.623949816,      -5.641528471
          0,           0,          96,      -6.211599902,      -6.061171677,      -6.179568684,      -5.654187402,      -5.667292423
          0,           0,          97,      -6.237222419,      -6.086333509,      -6.209367299,       -5.68459134,      -5.693016992
          0,           0,          98,      -6.262847976,       -6.11153551,      -6.239432909,      -5.715164593,      -5.718733068
          0,           0,          99,      -6.288520101,      -6.136801991,      -6.269748382,      -5.745911179,      -5.744473877
          0,           0,         100,      -6.314283438,       -6.16215619,      -6.300284182,      -5.776835895,      -5.770273681
          0,           0,         101,      -6.340176957,      -6.187618391,      -6.331000966,      -5.807944098,      -5.796161392
          0,           0,         102,      -6.366230536,      -6.213204006,      -6.361852036,      -5.839241446,      -5.822157776
          0,           0,         103,      -6.392462558,      -6.238922897,      -6.392786082,      -5.870733715,        -5.8482737
          0,           0,         104,      -6.418875952,      -6.264777594,       -6.42375033,      -5.902426486,      -5.874506267
          0,           0,         105,      -6.445458726,      -6.290763991,      -6.454694056,      -5.934325005,      -5.900840306
          0,           0,         106,      -6.472179891,      -6.316870017,      -6.485571625,      -5.966433739,      -5.927243559
          0,           0,         107,       -6.49899307,      -6.343076839,      -6.516344035,      -5.998756496,       -5.95367107
          0,           0,         108,      -6.525838577,      -6.369359547,      -6.546982091,      -6.031296233,      -5.980067662
          0,           0,         109,       -6.55264551,      -6.395687291,      -6.577467773,       -6.06405489,      -6.006369742
          0,           0,         110,      -6.579336606,      -6.422025192,      -6.607791307,      -6.097033487,      -6.032509973
          0,           0,         111,      -6.605833511,      -6.448336988,      -6.637951582,      -6.130232147,      -6.058422162
          0,           0,         112,      -6.632063995,      -6.474586788,      -6.667955088,      -6.163650042,      -6.084047931
          0,           0,         113,       -6.65796722,       -6.50074078,      -6.697813968,      -6.197285438,      -6.109341007
          0,           0,         114,      -6.683501662,      -6.526770034,      -6.727542999,      -6.231135703,      -6.134274388
          0,           0,         115,      -6.708647438,      -6.552651564,      -6.757157391,      -6.265197301,      -6.158841094
          0,           0,         116,      -6.733408684,      -6.578370029,      -6.786670942,      -6.299465815,      -6.183055336
          0,           0,         117,      -6.757815709,       -6.60391912,      -6.816093711,      -6.333935888,       -6.20695406
          0,           0,         118,       -6.78191985,      -6.629301234,      -6.845430694,       -6.36860104,      -6.230591118
          0,           0,         119,      -6.805791096,      -6.654527423,      -6.874680734,      -6.403453662,      -6.254035271
          0,           0,         120,      -6.829510251,      -6.679616656,      -6.903837765,      -6.438484813,      -6.277362343
          0,           0,         121,      -6.853163203,       -6.70459428,      -6.932890967,      -6.473684043,      -6.300650903
          0,           0,         122,      -6.876834192,      -6.729490314,      -6.961826413,      -6.509039282,      -6.323976732
          0,           0,         123,      -6.900599698,      -6.754338114,      -6.990628177,      -6.544536875,       -6.34740797
          0,           0,         124,      -6.924519981,      -6.779169834,      -7.019279843,      -6.580160778,      -6.370997318
          0,           0,         125,      -6.948638194,      -6.804016242,      -7.047764811,      -6.615892842,      -6.394782664
          0,           0,         126,      -6.972976952,      -6.828903408,      -7.076067579,      -6.651712236,      -6.418784037
          0,           0,         127,      -6.997536601,      -6.853851264,      -7.104173637,      -6.687594818,      -6.443002286
          0,           0,         128,      -7.022295223,      -6.878872158,      -7.132069524,       -6.72351247,      -6.467419235
          0,           0,         129,      -7.047210825,      -6.903969649,      -7.159742187,      -6.759432384,      -6.491999759
          0,           0,         130,      -7.072224723,      -6.929137983,      -7.187176743,      -6.795315979,      -6.516694672
          0,           0,         131,      -7.097266325,      -6.954363183,      -7.214359221,      -6.831118146,      -6.541444997
          0,           0,         132,      -7.122259551,      -6.979624535,      -7.241274799,      -6.866785828,      -6.566187409
          0,           0,         133,      -7.147129203,      -7.004896138,      -7.267908355,      -6.902256661,      -6.590859303
          0,           0,         134,      -7.171807015,      -7.030148279,      -7.294241968,      -6.937457937,      -6.615402867
          0,           0,         135,      -7.196237873,      -7.055349602,      -7.320259333,      -6.972305683,      -6.639769722
          0,           0,         136,      -7.220383273,       -7.08046873,      -7.345946212,      -7.006704233,      -6.663923028
          0,           0,         137,      -7.244223635,      -7.105475562,      -7.371290829,      -7.040546608,      -6.687838961
          0,           0,         138,      -7.267759318,      -7.130344076,      -7.396287811,      -7.073715926,      -6.711507822
          0,           0,         139,      -7.291008274,      -7.155053124,      -7.420935724,      -7.106088589,      -6.734931918
          0,           0,         140,      -7.314003493,        -7.1795874,      -7.445236004,      -7.137538343,      -6.758124389
          0,           0,         141,      -7.336787039,      -7.203937461,      -7.469192822,      -7.167941868,      -6.781104606
          0,           0,         142,      -7.359406148,      -7.228100499,       -7.49281271,      -7.197187383,      -6.803896476
          0,           0,         143,      -7.381903957,      -7.252077962,      -7.516102698,      -7.225181071,      -6.826520541
          0,           0,         144,      -7.404317328,      -7.275875867,      -7.539066328,      -7.251855446,      -6.848994407
          0,           0,         145,      -7.426672319,      -7.299503322,      -7.561703353,      -7.277174725,      -6.871329678
          0,           0,         146,      -7.448980913,      -7.322970732,      -7.584006563,      -7.301138801,      -6.893530036
          0,           0,         147,      -7.471240705,      -7.346288423,      -7.605957345,      -7.323784493,      -6.915591889
          0,           0,         148,       -7.49343526,      -7.369465501,      -7.627524425,      -7.345182739,      -6.937504878
          0,           0,         149,      -7.515537109,      -7.392509607,      -7.648663532,      -7.365433873,      -6.959255068
          0,           0,         150,      -7.537511328,      -7.415425903,      -7.669319963,      -7.384660244,      -6.980827541
          0,           0,         151,      -7.559319634,      -7.438216478,      -7.689426834,      -7.402998979,      -7.002209103
          0,           0,         152,       -7.58092358,      -7.460879305,      -7.708910808,      -7.420593236,      -7.023389518
          0,           0,         153,      -7.602293479,      -7.483410305,      -7.727696144,      -7.437584596,      -7.044368767
          0,           0,         154,      -7.623411813,      -7.505802747,      -7.745710209,      -7.454106565,      -7.065157888
          0,           0,         155,      -7.644275381,      -7.528047407,      -7.762891648,       -7.47027944,      -7.085778587
          0,           0,         156,      -7.664897546,      -7.550132865,      -7.779195022,      -7.486206791,      -7.106263267
          0,           0,         157,      -7.685307459,      -7.572045862,      -7.794596491,      -7.501972572,      -7.126652671
