"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,       -4.02988932,      -4.030795931,      -3.963416709,      -4.630331326,      -3.422723319,      0.1221879194,      0.2652412943,    -0.05594327602,      0.1801423189,     -0.1416791663,    -0.08355027541,      0.1078546731,    -0.05594327602,      0.2713857058,        2.17076529
          0,           0,           1,      -4.278429993,      -4.255677068,      -4.170929286,      -4.717243636,      -3.681305331,     0.08688624777,      0.2120261359,    -0.03397082527,      0.1416948885,     -0.1013758192,    -0.05595758961,     0.07544405031,    -0.03397082527,      0.2163619598,       2.440272671
          0,           0,           2,      -4.466730673,      -4.416388335,      -4.330011049,      -4.651891572,      -3.888802682,     0.05149768998,      0.1685244861,    -0.01216766557,       0.110061605,     -0.0713175103,     -0.0287093394,     0.04242814177,    -0.01216766557,      0.1710332344,       3.272466904
          0,           0,           3,      -4.516793916,      -4.505773592,      -4.454182735,      -4.614471082,      -3.944594543,     0.04008008302,       0.169012721,   -0.003785946475,      0.1098326278,    -0.06775894883,    -0.01793094489,     0.03100075144,   -0.003785946475,      0.1709112821,       4.216875523
          0,           0,           4,      -4.504773707,      -4.511239156,      -4.509300749,      -4.556068697,       -3.92717422,      0.0368034269,      0.1812607453,  -0.0004459678414,      0.1184383481,    -0.07209769161,    -0.01283965172,     0.02707494701,  -0.0004459678414,      0.1829669294,       4.925105093
          0,           0,           5,      -4.495161131,      -4.511017936,      -4.512138635,      -4.510432752,      -3.916819329,     0.03393517229,      0.1906514594,    0.002127613685,      0.1252947935,    -0.07568729588,   -0.008421063445,     0.02370948982,    0.002127613685,      0.1921911418,       5.618107897
          0,           0,           6,      -4.483552189,      -4.511595795,      -4.509683393,       -4.48650102,      -3.905242706,     0.03087451995,      0.1984994023,    0.004443810544,      0.1309371068,    -0.07860997321,   -0.004265146492,     0.02023426496,    0.004443810544,      0.1998645122,       6.429230402
          0,           0,           7,      -4.455214025,       -4.47856493,      -4.490789111,      -4.459388508,      -3.874111171,     0.02820618322,      0.2077349227,    0.006332350472,      0.1372449782,    -0.08215299223,  -0.0006705067693,     0.01707672512,    0.006332350472,       0.208944424,       7.364871775
          0,           0,           8,      -4.427334793,      -4.456366694,      -4.460555825,      -4.429593702,      -3.846608806,      0.0260008908,      0.2180605623,    0.007826100357,      0.1440741295,    -0.08612116641,     0.00232989386,     0.01432337695,    0.007826100357,      0.2191376189,       8.386657365
          0,           0,           9,      -4.408424316,      -4.457265681,      -4.438844297,        -4.4101907,      -3.830379872,     0.02413578987,      0.2278146896,    0.009021867743,      0.1504168615,    -0.08965387028,    0.004816531641,     0.01194024352,    0.009021867743,      0.2287782764,       9.438874422
