"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147677772678e-03,1.084923223971e-05,1.561045064591e-05,1.507534008738e-08,3.473607939668e-04,9.244610786438e+00,9.205135711454e-07,0.000000000000e+00,3.455439062500e+04,4.552040863037e+01,7.543001770973e-01,7.130553480238e-03,1.025981828570e-02,9.908121683111e-06,2.282995432615e-01,4.760075073242e+02,9.010144042969e+02,9.010002441406e+02,8.979929924011e+00,2.667778176146e-07,3.909085717169e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130454689264e-02,2.939682453871e-03,0.000000000000e+00,0.000000000000e+00,-3.745947778225e-02,6.603732705116e-02,0.000000000000e+00
1.147677772678e-03,1.084921768779e-05,1.561045428389e-05,1.507774349818e-08,3.473608230706e-04,9.244610786438e+00,8.724765052648e-07,0.000000000000e+00,3.455439062500e+04,4.552040863037e+01,7.543001770973e-01,7.130544167012e-03,1.025982107967e-02,9.909701475408e-06,2.282995581627e-01,4.760073547363e+02,9.010140991211e+02,9.010002441406e+02,8.979930877686e+00,2.620622865379e-07,3.909084989573e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130453571677e-02,2.939681988209e-03,0.000000000000e+00,0.000000000000e+00,-4.047266766429e-02,6.194934248924e-02,0.000000000000e+00
1.147677772678e-03,1.084924861061e-05,1.561044336995e-05,1.507243929666e-08,3.473607648630e-04,9.244610786438e+00,5.732240424550e-07,0.000000000000e+00,3.455438671875e+04,4.552040863037e+01,7.543001770973e-01,7.130564656109e-03,1.025981456041e-02,9.906216291711e-06,2.282995283604e-01,4.760075988770e+02,9.010146484375e+02,9.010003051758e+02,8.979928016663e+00,2.710021931307e-07,3.909086444764e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130455806851e-02,2.939683152363e-03,0.000000000000e+00,0.000000000000e+00,-4.837860912085e-02,4.893845319748e-02,0.000000000000e+00
1.147677889094e-03,1.084946416086e-05,1.561037424835e-05,1.503722479868e-08,3.473606193438e-04,9.244610786438e+00,8.859612989909e-07,0.000000000000e+00,3.455439062500e+04,4.552042007446e+01,7.543002367020e-01,7.130705751479e-03,1.025976799428e-02,9.883070561045e-06,2.282994240522e-01,4.760095214844e+02,9.010183105469e+02,9.010003662109e+02,8.979909896851e+00,3.388919651570e-07,3.909097358701e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130472198129e-02,2.939692698419e-03,0.000000000000e+00,0.000000000000e+00,-4.330509528518e-02,5.773413926363e-02,0.000000000000e+00
1.147677656263e-03,1.084907853510e-05,1.561049975862e-05,1.510054481457e-08,3.473609103821e-04,9.244610786438e+00,5.896436618968e-07,0.000000000000e+00,3.455439062500e+04,4.552040100098e+01,7.543001174927e-01,7.130452897400e-03,1.025985088199e-02,9.924689038598e-06,2.282996326685e-01,4.760061035156e+02,9.010117797852e+02,9.010002441406e+02,8.979942321777e+00,2.178129108188e-07,3.909078077413e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130442768335e-02,2.939675934613e-03,0.000000000000e+00,0.000000000000e+00,-4.594434052706e-02,5.339539796114e-02,0.000000000000e+00
1.147678121924e-03,1.084981977328e-05,1.561026147101e-05,1.497939727813e-08,3.473603574093e-04,9.244611740112e+00,1.677592308624e-06,0.000000000000e+00,3.455439062500e+04,4.552044296265e+01,7.543002963066e-01,7.130938582122e-03,1.025969255716e-02,9.845062777458e-06,2.282992303371e-01,4.760126953125e+02,9.010243530273e+02,9.010004882812e+02,8.979880332947e+00,4.518553851085e-07,3.909115548595e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130499765277e-02,2.939708298072e-03,0.000000000000e+00,0.000000000000e+00,-3.427821770310e-02,6.999596208334e-02,0.000000000000e+00
1.147678121924e-03,1.084961058950e-05,1.561033059261e-05,1.501366497791e-08,3.473605320323e-04,9.244611740112e+00,1.673449787631e-06,0.000000000000e+00,3.455439062500e+04,4.552043533325e+01,7.543002367020e-01,7.130801212043e-03,1.025973726064e-02,9.867585504253e-06,2.282993346453e-01,4.760108642578e+02,9.010208129883e+02,9.010004272461e+02,8.979897499084e+00,3.872271463479e-07,3.909104998456e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130483746529e-02,2.939699217677e-03,0.000000000000e+00,0.000000000000e+00,-2.746168896556e-02,7.752354443073e-02,0.000000000000e+00
1.147678005509e-03,1.084960604203e-05,1.561033059261e-05,1.501449986563e-08,3.473605320323e-04,9.244611740112e+00,1.603291707397e-06,0.000000000000e+00,3.455439062500e+04,4.552043533325e+01,7.543002367020e-01,7.130797952414e-03,1.025973912328e-02,9.868133929558e-06,2.282993346453e-01,4.760108337402e+02,9.010207519531e+02,9.010003662109e+02,8.979898452759e+00,3.852823340367e-07,3.909104634658e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130483374000e-02,2.939698984846e-03,0.000000000000e+00,0.000000000000e+00,-3.094151429832e-02,7.382453233004e-02,0.000000000000e+00
1.147677889094e-03,1.084958057618e-05,1.561033604958e-05,1.501773994050e-08,3.473605029285e-04,9.244609832764e+00,3.224813553970e-07,0.000000000000e+00,3.455438671875e+04,4.552042388916e+01,7.543002367020e-01,7.130782119930e-03,1.025974284858e-02,9.870264875644e-06,2.282993495464e-01,4.760105285645e+02,9.010202636719e+02,9.010003662109e+02,8.979900360107e+00,3.744501100300e-07,3.909103179467e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130481511354e-02,2.939697820693e-03,0.000000000000e+00,0.000000000000e+00,-5.638005584478e-02,2.053558640182e-02,0.000000000000e+00
1.147677889094e-03,1.084967789211e-05,1.561030330777e-05,1.500171720181e-08,3.473604447208e-04,9.244609832764e+00,2.049881118182e-07,0.000000000000e+00,3.455438671875e+04,4.552043151855e+01,7.543002963066e-01,7.130846381187e-03,1.025972235948e-02,9.859734745987e-06,2.282993048429e-01,4.760113830566e+02,9.010219116211e+02,9.010004272461e+02,8.979892730713e+00,4.048583832628e-07,3.909108272637e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130488961935e-02,2.939702011645e-03,0.000000000000e+00,0.000000000000e+00,-5.787895992398e-02,1.002032123506e-02,0.000000000000e+00
