"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,          37,      -4.453606416,      -6.425232683,      -6.248678229,      -7.881710968,      -4.972914625,      -1.480664221,       -1.73354637,       2.493495821,     -0.1913937089
          0,           0,          38,      -4.453322333,      -6.422839261,      -6.245289668,      -7.859273826,       -4.97264462,      -1.485728952,      -1.724953135,       2.493907177,     -0.1876556429
          0,           0,          39,      -4.453314662,      -6.420671595,      -6.242041027,      -7.836463022,      -4.972652149,      -1.490552868,      -1.716052069,       2.494202435,      -0.183766087
          0,           0,          40,      -4.453593659,       -6.41874156,      -6.238937681,      -7.813304476,       -4.97294756,      -1.495116085,      -1.706848134,       2.494379918,     -0.1796949742
          0,           0,          41,      -4.454166877,      -6.417058358,      -6.235982132,      -7.789830346,      -4.973538514,      -1.499424294,      -1.697366155,       2.494438013,     -0.1754124782
          0,           0,          42,      -4.455040263,       -6.41562981,       -6.23317504,      -7.766068757,       -4.97443106,      -1.503448573,      -1.687617233,       2.494385318,      -0.170883462
          0,           0,          43,      -4.456226166,       -6.41447264,      -6.230524599,      -7.742029507,      -4.975637691,      -1.507129281,      -1.677634052,        2.49422454,     -0.1660566149
          0,           0,          44,      -4.457714866,      -6.413576558,      -6.228013946,      -7.717772946,       -4.97714879,        -1.5105127,      -1.667400222,       2.493969694,      -0.160914834
          0,           0,          45,      -4.459523404,      -6.412964719,      -6.225656103,      -7.693293115,      -4.978981583,      -1.513533564,      -1.656944764,       2.493631615,     -0.1553887813
          0,           0,          46,      -4.461629633,      -6.412612741,      -6.223421001,      -7.668685035,      -4.981114019,      -1.516330708,       -1.64625924,        2.49321716,     -0.1494874678
          0,           0,          47,      -4.464049141,      -6.412542047,      -6.221319982,      -7.643962586,      -4.983561883,      -1.519035411,      -1.635457486,       2.492746527,     -0.1431428879
          0,           0,          48,      -4.466797676,       -6.41277775,      -6.219366018,      -7.619096321,       -4.98634113,      -1.521248692,      -1.624412326,       2.492231633,     -0.1362664438
          0,           0,          49,      -4.469864546,      -6.413313481,      -6.217543297,      -7.594140068,      -4.989441265,      -1.523090835,      -1.613241311,       2.491693879,     -0.1288294453
          0,           0,          50,      -4.473246223,      -6.414151215,      -6.215843248,      -7.569118043,      -4.992858985,      -1.524565587,      -1.601957106,       2.491160094,     -0.1207848712
          0,           0,          51,      -4.476924324,      -6.415275298,      -6.214242374,      -7.544096482,      -4.996576077,      -1.525714044,      -1.590574849,       2.490648081,     -0.1121314003
          0,           0,          52,      -4.480923874,      -6.416723142,      -6.212761784,      -7.519021824,      -5.000617927,      -1.526447953,      -1.579125521,       2.490191742,     -0.1027499442
          0,           0,          53,      -4.485225954,       -6.41848604,      -6.211383109,       -7.49398141,      -5.004965836,      -1.526910081,      -1.567628407,       2.489817853,    -0.09263524925
          0,           0,          54,      -4.489802596,       -6.42053731,      -6.210071951,      -7.468996377,       -5.00959207,      -1.527015114,      -1.556104959,       2.489534469,    -0.08180469793
          0,           0,          55,      -4.494681315,      -6.422920477,      -6.208852376,      -7.444033935,      -5.014524611,      -1.526802949,      -1.544580828,       2.489392348,    -0.07014139118
