"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
10, 3.052805562637109e-01, 8.017941249045576e-02, 6.583385677025035e-01, 9.240342222705288e-01, 2.661700284793864e-04, 2.041815772029295e+00, 5.573341490136530e-01, 8.465767864074260e-01, 1.289263180361827e+00, -9.880934173802390e-01
11, 3.243322202879745e-01, 7.760044009013614e-02, 6.524169529628003e-01, 9.206333938817930e-01, -7.460189800630478e-03, 2.025436538730436e+00, 5.503341878291916e-01, 8.435314032383382e-01, 1.298557243345854e+00, -1.003718330738412e+00
12, 3.139433257122908e-01, 8.690106848932837e-02, 6.593535390244881e-01, 9.247064958731644e-01, -2.212561114680296e-03, 2.044663517366691e+00, 5.584940838771704e-01, 8.470328144495305e-01, 1.287871920977435e+00, -9.855042770598876e-01
13, 3.338727574193080e-01, 8.342770452388074e-02, 6.523383475822199e-01, 9.206778457700072e-01, -9.785095618283628e-03, 2.025264482858580e+00, 5.501966687051780e-01, 8.434222374698463e-01, 1.298891184203293e+00, -1.004025293068799e+00
14, 3.534216127791170e-01, 8.016165326971053e-02, 6.454329021240194e-01, 9.165526319838638e-01, -1.640508031208275e-02, 2.006137366920242e+00, 5.420598379686620e-01, 8.398391779917440e-01, 1.309826522050468e+00, -1.022187861677094e+00
15, 3.555998593812509e-01, 7.802079022829714e-02, 6.439807548949602e-01, 9.156498393924379e-01, -1.744870471519785e-02, 2.002102915746288e+00, 5.403616164671109e-01, 8.390959083167779e-01, 1.312095827908545e+00, -1.025978534671627e+00
16, 3.409501554726942e-01, 7.690124999802844e-02, 6.477607668769846e-01, 9.179205872127469e-01, -1.311955903754271e-02, 2.012566182871852e+00, 5.448222834688249e-01, 8.410856466277643e-01, 1.306022610786439e+00, -1.016021688685659e+00
17, 2.662564103315898e-01, 8.574878515913305e-02, 6.731457197929194e-01, 9.319590275209516e-01, 1.990069519693253e-02, 2.082702894389224e+00, 5.749071425025188e-01, 8.540604591222511e-01, 1.266421855388312e+00, -9.488679854854492e-01
18, 2.935961565587276e-01, 9.059923095019201e-02, 6.670370911462050e-01, 9.289442941480415e-01, 6.987692210133062e-03, 2.065888947345066e+00, 5.676034522790090e-01, 8.509323691485673e-01, 1.275969913537233e+00, -9.651708654486407e-01
19, 2.796698105728283e-01, 8.810238791851818e-02, 6.699355980781724e-01, 9.304065394275086e-01, 1.339741027397747e-02, 2.073871025131159e+00, 5.710651105546244e-01, 8.524179222492801e-01, 1.271435738960174e+00, -9.574439496548564e-01
20, 2.695107660711674e-01, 8.326721430526125e-02, 6.705236691292743e-01, 9.305972474012864e-01, 1.777416401111642e-02, 2.075472250113153e+00, 5.717857451194592e-01, 8.527450579961874e-01, 1.270437276845757e+00, -9.558353903583501e-01
21, 2.888407232397300e-01, 8.066595001023905e-02, 6.629160963560136e-01, 9.265575918391243e-01, 7.732842993907378e-03, 2.054464696719015e+00, 5.627579948950848e-01, 8.489128533588368e-01, 1.282133968071790e+00, -9.759866185377571e-01
22, 3.078666015078289e-01, 7.818768139764995e-02, 6.566980122861319e-01, 9.230865441705166e-01, -1.085191892483908e-03, 2.037271263280929e+00, 5.554011123468378e-01, 8.457481246415628e-01, 1.291791668171772e+00, -9.924082313686658e-01
23, 3.266376258598591e-01, 7.582170038062597e-02, 6.510645517007515e-01, 9.198340706852992e-01, -8.536613855380633e-03, 2.021689477717200e+00, 5.487422440494344e-01, 8.428384598976795e-01, 1.300672486082301e+00, -1.007271776675370e+00
24, 3.110823033527589e-01, 8.991318896611122e-02, 6.615672734353557e-01, 9.259656532825390e-01, -6.276006377187034e-04, 2.050788395534782e+00, 5.611088286982713e-01, 8.481508249109295e-01, 1.284459460928420e+00, -9.796677930842160e-01
25, 3.313360761216168e-01, 8.610953618113504e-02, 6.541515277099523e-01, 9.217667659770755e-01, -8.510642916804728e-03, 2.030296263949432e+00, 5.523235296733774e-01, 8.443357636218427e-01, 1.296103208881707e+00, -9.992778355504970e-01
26, 3.511725687229044e-01, 8.254422897591776e-02, 6.469951506302143e-01, 9.175169536348606e-01, -1.530254697536699e-02, 2.010477097439121e+00, 5.438885701468642e-01, 8.406377847145876e-01, 1.307389506852420e+00, -1.018105870207892e+00
27, 3.706497253159304e-01, 7.919681594659898e-02, 6.401946185944651e-01, 9.132889786764510e-01, -2.189881926708775e-02, 1.991600974100615e+00, 5.359145751404416e-01, 8.371119649787619e-01, 1.318151160864124e+00, -1.035904966204372e+00
28, 3.726435948212214e-01, 7.708464699685807e-02, 6.388273759915964e-01, 9.124122885974761e-01, -2.287975550918168e-02, 1.987796187067884e+00, 5.343219908621951e-01, 8.364106031505201e-01, 1.320293016063877e+00, -1.039459841825457e+00
29, 3.576984852585511e-01, 7.609519205064048e-02, 6.426392396794357e-01, 9.148188982974903e-01, -1.843005045193320e-02, 1.998378058575111e+00, 5.387903265076814e-01, 8.384024709982594e-01, 1.314212851293334e+00, -1.029485878331068e+00
30, 3.431099488198306e-01, 7.514378475796885e-02, 6.464676013679667e-01, 9.171407009572459e-01, -1.409512630222116e-02, 2.008981439073286e+00, 5.433024277062065e-01, 8.404171014240220e-01, 1.308064100177935e+00, -1.019414223870075e+00
31, 2.498329503225479e-01, 8.600152159159880e-02, 6.799791899434220e-01, 9.352851216354313e-01, 2.864748716438555e-02, 2.101514235941387e+00, 5.830745963009532e-01, 8.574888833722518e-01, 1.255954088452606e+00, -9.306370618282297e-01
