"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.368115141,        -6.4406752,      -6.733379567,      -6.421895788,      -5.846997724,      -12.40477101
          0,           0,          55,      -6.391213775,      -6.489628402,      -6.744443691,      -6.461506067,      -5.851659128,      -12.44491791
          0,           0,          56,      -5.982678041,      -6.096007612,      -6.717613395,      -6.482907424,      -5.432553536,      -12.49463062
          0,           0,          57,      -6.214664203,      -6.341560966,      -6.767919466,      -6.511389543,      -5.817818861,      -12.51634465
          0,           0,          58,      -5.953482634,      -6.154043192,      -6.752211174,      -6.484542968,      -5.461245496,      -12.58275578
          0,           0,          59,      -6.233779029,      -6.352432357,      -6.755245872,      -6.491873941,      -5.843102337,      -12.60818368
          0,           0,          60,      -6.376457687,      -6.444268637,       -6.80581391,      -6.578702483,      -6.046287073,      -12.63229495
          0,           0,          61,      -6.500349651,      -6.505238073,      -6.857306089,      -6.696952928,      -6.146746445,      -12.65562916
          0,           0,          62,      -6.529277693,      -6.489056424,      -6.886246304,      -6.769363885,      -6.185726967,      -12.67061707
          0,           0,          63,      -6.550528569,      -6.454618599,      -6.912007053,       -6.83117173,      -6.190990442,      -12.68219562
          0,           0,          64,      -6.549002704,      -6.426998387,      -6.936327422,      -6.871596635,      -6.187634233,      -12.68664905
          0,           0,          65,      -6.578482057,      -6.402545854,      -6.955618885,      -6.886074922,      -6.188990613,      -12.68079578
          0,           0,          66,      -6.615899155,      -6.375109449,      -6.970083533,      -6.883724015,      -6.226241786,      -12.69594028
          0,           0,          67,      -6.589399538,      -6.349266453,      -6.953466629,      -6.864984661,      -6.174369918,      -12.68635311
          0,           0,          68,      -6.650001909,      -6.348087747,      -6.959437126,      -6.833395432,      -6.201947288,      -12.67688872
          0,           0,          69,      -6.612825171,      -6.291939268,      -6.917036593,      -6.787732374,      -6.113410944,       -12.6614682
          0,           0,          70,      -6.671233058,      -6.326834489,      -6.952111504,      -6.762150456,      -6.176068375,      -12.64829735
          0,           0,          71,      -6.641832358,      -6.330195112,      -6.951321352,      -6.731036901,      -6.113570311,      -12.63229019
          0,           0,          72,      -6.546292781,      -6.346621074,      -6.960327866,      -6.706604664,      -6.107106249,      -12.62033205
          0,           0,          73,      -6.491379352,       -6.32412309,      -6.952773692,      -6.689553153,      -6.075546951,      -12.60910943
          0,           0,          74,      -6.552080754,      -6.346470924,      -6.962950358,      -6.688177843,      -6.156792717,      -12.59946351
          0,           0,          75,      -6.662022937,      -6.355746509,      -6.975432854,      -6.686915404,      -6.201374285,      -12.59281796
          0,           0,          76,      -6.706199974,      -6.374782184,      -6.990551228,      -6.695944692,      -6.247759394,      -12.58524946
          0,           0,          77,      -6.751062012,      -6.381181196,      -7.000008936,       -6.69033252,      -6.240700649,      -12.57753529
          0,           0,          78,      -6.755253104,      -6.393272491,      -7.006147793,      -6.686586662,      -6.292555217,      -12.56952844
          0,           0,          79,      -6.709739171,      -6.407147228,      -7.025356288,      -6.687203326,      -6.292459615,      -12.55980126
          0,           0,          80,      -6.737658068,       -6.40762734,       -7.02070028,       -6.68352876,      -6.253092683,      -12.55286985
          0,           0,          81,       -6.52775881,      -6.424002778,      -7.037493582,      -6.688071179,      -6.248311091,       -12.5469621
          0,           0,          82,      -6.246386824,      -6.443699139,      -7.030820664,      -6.695379352,      -6.084470071,      -12.54241361
          0,           0,          83,      -6.206741291,      -6.456617504,      -7.056014309,      -6.691876993,      -5.970272433,      -12.53763802
          0,           0,          84,      -6.249046516,      -6.446881202,      -7.061433435,      -6.695525452,      -6.018706192,      -12.53676377
          0,           0,          85,      -6.322387561,      -6.459553919,      -7.064928716,      -6.706610626,      -6.010000788,      -12.53686328
          0,           0,          86,      -6.400429007,      -6.462721273,      -7.074032311,      -6.720544122,       -6.07408938,      -12.53935831
          0,           0,          87,      -6.523101229,      -6.484922419,       -7.10630723,      -6.755744524,      -6.173540048,      -12.54040816
          0,           0,          88,      -6.679851151,      -6.478806162,        -7.0971777,      -6.776037498,      -6.238229754,      -12.54443994
          0,           0,          89,      -6.765502352,      -6.501880534,      -7.116101824,      -6.809782863,      -6.295051796,      -12.54963887
          0,           0,          90,      -6.791847429,      -6.556810501,       -7.13716878,        -6.8633988,      -6.358135025,      -12.55291657
          0,           0,          91,      -6.770775162,       -6.55773554,      -7.103003101,      -6.878279982,      -6.295762151,       -12.5595744
          0,           0,          92,      -6.782569511,      -6.588250571,      -7.084847244,       -6.90444586,      -6.328962534,      -12.56414071
          0,           0,          93,      -6.776129791,      -6.589954038,      -7.037687243,      -6.898490324,      -6.313395042,      -12.57205515
          0,           0,          94,      -6.788942447,      -6.636833125,       -7.03843101,      -6.895844386,      -6.331251088,      -12.57780628
          0,           0,          95,      -6.782388314,       -6.67603776,      -7.020674233,      -6.875747493,       -6.29804717,      -12.58374779
          0,           0,          96,      -6.787582994,      -6.694343586,      -6.985015586,      -6.843468154,      -6.312659227,      -12.58983467
          0,           0,          97,      -6.782369564,      -6.706897751,      -6.950456864,      -6.802090298,      -6.342561034,      -12.59638657
          0,           0,          98,      -6.796372767,      -6.749136099,      -6.943238691,      -6.771450975,      -6.401375776,      -12.59662231
          0,           0,          99,      -6.784348781,      -6.773933959,       -6.91780087,      -6.732758337,      -6.403429062,       -12.5967499
          0,           0,         100,       -6.78640802,      -6.810612252,      -6.906442006,      -6.698610126,      -6.427344438,      -12.59797001
          0,           0,         101,      -6.766529309,      -6.837727822,       -6.89021398,       -6.66131129,      -6.429385384,      -12.59908449
          0,           0,         102,      -6.702342443,      -6.876960763,      -6.899685897,      -6.642967711,       -6.45328604,      -12.61236578
          0,           0,         103,      -6.656545137,      -6.879705679,      -6.895643261,      -6.633774366,      -6.418817101,      -12.62351085
          0,           0,         104,      -6.584207199,      -6.879403372,      -6.878923279,      -6.609984968,      -6.343160992,      -12.63909193
          0,           0,         105,      -6.568578597,      -6.877050534,       -6.87107669,      -6.599275445,      -6.304911801,      -12.64684844
          0,           0,         106,      -6.607357935,      -6.886528404,      -6.875991466,       -6.59361273,      -6.350112609,      -12.65225377
          0,           0,         107,      -6.607741123,      -6.882385153,      -6.865364807,      -6.580474171,      -6.268302193,      -12.65761656
          0,           0,         108,        -6.6224562,      -6.875792171,      -6.864366515,      -6.574243209,      -6.313877322,      -12.66364769
          0,           0,         109,      -6.621243378,      -6.876312348,      -6.859728201,      -6.568604246,      -6.274770058,      -12.66560568
          0,           0,         110,      -6.615227697,      -6.873271075,      -6.855832787,      -6.562357989,      -6.246755445,      -12.66768651
          0,           0,         111,      -6.610341309,      -6.868262883,      -6.852835593,      -6.557291798,      -6.217870779,      -12.66755524
          0,           0,         112,      -6.599129174,      -6.855413374,      -6.847882107,      -6.550262404,      -6.162210378,      -12.66695691
          0,           0,         113,      -6.566615606,      -6.828651922,      -6.838019012,      -6.542662964,      -6.063788008,      -12.67498899
          0,           0,         114,      -6.557681786,      -6.825717701,      -6.836963825,       -6.54191602,      -6.047804285,      -12.67958858
          0,           0,         115,      -6.504353914,      -6.811427294,      -6.832271674,      -6.539049109,      -5.971991208,      -12.68029125
          0,           0,         116,      -6.464916112,      -6.783948241,      -6.823808654,      -6.531813025,      -5.873621725,      -12.68185047
          0,           0,         117,      -6.435924605,      -6.739892402,      -6.812058724,      -6.522143401,      -5.818898674,      -12.68301662
          0,           0,         118,       -6.38198916,      -6.662535587,      -6.794889967,      -6.510649416,      -5.886514156,      -12.68938205
          0,           0,         119,      -6.343318581,      -6.632609743,      -6.794448087,      -6.503808349,      -5.895423508,      -12.69855863
          0,           0,         120,      -6.338350424,      -6.629749973,      -6.794552348,      -6.503293031,      -5.905685516,      -12.70715815
          0,           0,         121,      -6.326843706,      -6.624220376,      -6.793909671,      -6.502342273,      -5.896200106,      -12.71307147
          0,           0,         122,      -6.318651729,      -6.616205127,       -6.79198597,      -6.498253363,      -5.856736091,      -12.71794795
          0,           0,         123,      -6.320564737,      -6.626965436,       -6.78585086,      -6.494649263,      -5.817394955,      -12.71429368
          0,           0,         124,      -6.458577511,      -6.672189711,      -6.761962324,      -6.486966901,       -5.90233697,      -12.71778545
          0,           0,         125,      -6.494811781,      -6.680060228,      -6.762886865,      -6.492407723,      -5.933779514,      -12.72132862
          0,           0,         126,      -6.497333643,      -6.682829278,      -6.768995118,      -6.498048379,      -5.982461657,      -12.72942271
          0,           0,         127,      -6.484383209,       -6.68335737,      -6.772595667,      -6.501852574,      -5.967920718,      -12.73596693
          0,           0,         128,      -6.477052531,      -6.685489065,      -6.777386895,      -6.504922917,      -5.983277855,      -12.74489106
          0,           0,         129,      -6.461113748,      -6.686799243,      -6.779210255,       -6.50646977,      -5.964850528,      -12.75410133
          0,           0,         130,       -6.52902641,      -6.687001125,      -6.779986245,      -6.506861055,      -5.954614183,      -12.76209747
          0,           0,         131,      -6.524209239,      -6.687335795,      -6.781596925,      -6.507679179,      -5.950556013,       -12.7690306
          0,           0,         132,      -6.568335452,      -6.687821124,      -6.784029533,      -6.507502341,      -5.956763285,      -12.77608338
          0,           0,         133,      -6.572224104,      -6.688187943,      -6.786022992,      -6.508264095,       -5.95630121,      -12.78182205
          0,           0,         134,      -6.578100679,      -6.687914986,      -6.788265687,      -6.507970036,      -5.971459104,      -12.78890222
          0,           0,         135,      -6.576223597,      -6.688400302,      -6.788777816,      -6.508163043,      -5.966842905,      -12.79451902
          0,           0,         136,      -6.578909151,      -6.690011096,      -6.791135733,       -6.50837303,       -5.96767953,      -12.79987134
          0,           0,         137,      -6.579778609,      -6.691405149,      -6.792808582,      -6.508619126,      -5.967693486,      -12.80502504
          0,           0,         138,       -6.57963059,      -6.692028489,      -6.793720888,      -6.508862733,      -5.966329805,      -12.80971871
          0,           0,         139,      -6.579679699,      -6.692469413,      -6.794368875,      -6.509120886,      -5.965289853,      -12.81376081
          0,           0,         140,      -6.579089163,      -6.692954427,      -6.794960087,      -6.508839207,      -5.969904762,      -12.81714212
          0,           0,         141,       -6.58123849,      -6.693369541,      -6.795361088,      -6.508695232,      -5.975660503,      -12.81951792
          0,           0,         142,      -6.576297859,      -6.695578044,      -6.796786367,      -6.508332352,      -5.980263987,      -12.82095909
          0,           0,         143,      -6.588477184,      -6.695923356,      -6.799223296,      -6.507749277,      -5.998157623,      -12.82212992
          0,           0,         144,      -6.569426628,      -6.696668934,      -6.800269225,      -6.508090348,      -5.959612252,      -12.82247685
          0,           0,         145,      -6.576725647,      -6.696349758,       -6.80103783,      -6.508730014,      -5.966151207,      -12.82233786
          0,           0,         146,       -6.57972878,      -6.695844748,      -6.801462447,       -6.50924395,       -5.96636467,      -12.82161238
          0,           0,         147,      -6.580950314,      -6.695415569,      -6.801818987,        -6.5096604,      -5.965943473,      -12.82032728
          0,           0,         148,      -6.581869916,      -6.695089784,      -6.802169978,      -6.510004952,      -5.965832935,      -12.81850918
          0,           0,         149,      -6.587023369,      -6.695802261,      -6.801870192,      -6.509948161,      -5.999306992,        -12.816226
          0,           0,         150,      -6.589255124,      -6.696526184,      -6.802566158,      -6.510090646,      -6.002108046,      -12.81333603
          0,           0,         151,      -6.588862071,      -6.696561572,      -6.802581843,      -6.510096488,      -6.001996992,      -12.80997555
          0,           0,         152,      -6.588455318,      -6.696669809,      -6.802551083,      -6.510077131,      -6.002169526,      -12.80636178
          0,           0,         153,      -6.588947842,      -6.696930236,      -6.802795459,      -6.510139613,      -6.002810086,      -12.80271616
          0,           0,         154,      -6.589615271,        -6.6977903,      -6.803713406,      -6.510327761,      -6.002938151,      -12.79860958
          0,           0,         155,      -6.590118977,      -6.698038526,      -6.804117278,      -6.510323758,      -6.003243848,        -12.794268
          0,           0,         156,      -6.590204151,      -6.698067922,      -6.804357665,         -6.510372,      -6.003024671,       -12.7895572
          0,           0,         157,      -6.590384519,       -6.69815016,      -6.804305108,      -6.510354434,        -6.0038063,      -12.78480408
          0,           0,         158,      -6.590637188,      -6.698089516,      -6.804350356,      -6.510390649,      -6.003336498,      -12.78000511
          0,           0,         159,      -6.590675334,      -6.698071564,      -6.804420772,       -6.51041488,      -6.002878494,      -12.77520375
          0,           0,         160,      -6.587826391,      -6.698087633,      -6.804514632,       -6.51044809,      -5.972643958,       -12.7709423
          0,           0,         161,      -6.591052523,      -6.697543958,      -6.804850104,      -6.510558531,      -5.973236161,      -12.76627946
          0,           0,         162,      -6.591203483,      -6.697313982,      -6.804906277,      -6.510579996,      -5.972724419,      -12.76179996
          0,           0,         163,      -6.590853733,      -6.697013003,      -6.805018717,      -6.510623941,      -5.970853919,      -12.75783266
          0,           0,         164,      -6.592002614,       -6.69655744,      -6.805261032,      -6.510689723,      -5.971902683,      -12.75321727
          0,           0,         165,      -6.581171574,      -6.696503749,      -6.804824662,      -6.510553186,      -5.994943226,      -12.74872888
          0,           0,         166,      -6.580307025,      -6.696665539,      -6.804759362,      -6.510531085,      -5.995951942,      -12.74446103
          0,           0,         167,      -6.580125961,      -6.696680309,      -6.804769439,      -6.510526206,      -5.996042653,      -12.74034547
          0,           0,         168,      -6.579877297,      -6.696745693,      -6.804748397,       -6.51051933,      -5.996279291,      -12.73644116
          0,           0,         169,      -6.580143608,      -6.696706349,      -6.804777321,      -6.510527935,      -5.996170941,       -12.7327031
          0,           0,         170,      -6.580468373,      -6.696565078,      -6.804785222,       -6.51052503,      -5.996060227,      -12.72930539
          0,           0,         171,      -6.580272938,      -6.696758561,      -6.804947411,      -6.510598835,      -5.995998693,      -12.72595658
          0,           0,         172,      -6.580646378,      -6.696547621,       -6.80494626,      -6.510591342,      -5.995786404,      -12.72297939
          0,           0,         173,      -6.580185898,      -6.696713356,      -6.805118143,      -6.510647677,      -5.995579266,      -12.72003462
          0,           0,         174,      -6.580088517,      -6.696732452,      -6.805122512,      -6.510653978,      -5.995615576,      -12.71728583
          0,           0,         175,      -6.580124975,      -6.696814229,      -6.805127125,      -6.510659854,      -5.995611731,       -12.7147471
          0,           0,         176,      -6.580147456,      -6.696798657,      -6.805123328,      -6.510653899,      -5.995619685,      -12.71247622
          0,           0,         177,      -6.580254574,      -6.696813698,      -6.805190413,      -6.510665547,        -5.9953037,      -12.71033844
          0,           0,         178,      -6.580261201,      -6.696816059,       -6.80515274,      -6.510660322,       -5.99553649,      -12.70850178
