"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147677423432e-03,1.084879113478e-05,1.561059252708e-05,1.514795577862e-08,3.473611141089e-04,9.244609832764e+00,3.875484821947e-08,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130264770240e-03,1.025991234928e-02,9.955849236576e-06,2.282997816801e-01,4.760035705566e+02,9.010068969727e+02,9.010001220703e+02,8.979966163635e+00,1.268528677656e-07,3.909063525498e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130420416594e-02,2.939663128927e-03,0.000000000000e+00,0.000000000000e+00,-5.955864861608e-02,1.014483999461e-02,0.000000000000e+00
1.147677656263e-03,1.084908035409e-05,1.561049793963e-05,1.510019664863e-08,3.473609103821e-04,9.244609832764e+00,3.633858227658e-07,0.000000000000e+00,3.455438671875e+04,4.552039718628e+01,7.543001174927e-01,7.130453828722e-03,1.025984995067e-02,9.924459845934e-06,2.282996326685e-01,4.760061035156e+02,9.010117797852e+02,9.010002441406e+02,8.979942321777e+00,2.177199291964e-07,3.909078077413e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130442768335e-02,2.939675934613e-03,0.000000000000e+00,0.000000000000e+00,-5.259059742093e-02,3.969957679510e-02,0.000000000000e+00
1.147677656263e-03,1.084902669390e-05,1.561051612953e-05,1.510901270763e-08,3.473609394860e-04,9.244609832764e+00,3.957951264510e-07,0.000000000000e+00,3.455439062500e+04,4.552039718628e+01,7.543001174927e-01,7.130418904126e-03,1.025986205786e-02,9.930254236679e-06,2.282996475697e-01,4.760056457520e+02,9.010108642578e+02,9.010001831055e+02,8.979947090149e+00,2.011789206335e-07,3.909075530828e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130438670516e-02,2.939673606306e-03,0.000000000000e+00,0.000000000000e+00,-5.059713870287e-02,4.437031224370e-02,0.000000000000e+00
1.147678820416e-03,1.085126677935e-05,1.560980126669e-05,1.474467925533e-08,3.473592514638e-04,9.244611740112e+00,2.614061031636e-06,0.000000000000e+00,3.455438671875e+04,4.552052688599e+01,7.543005943298e-01,7.131888065487e-03,1.025938708335e-02,9.690794286144e-06,2.282984405756e-01,4.760253906250e+02,9.010488281250e+02,9.010009155273e+02,8.979760169983e+00,9.044094895216e-07,3.909188308171e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130611151457e-02,2.939771395177e-03,0.000000000000e+00,0.000000000000e+00,-3.681388124824e-02,6.197875365615e-02,0.000000000000e+00
1.147679169662e-03,1.085156509362e-05,1.560971213621e-05,1.469788646347e-08,3.473590768408e-04,9.244612693787e+00,3.714473223226e-06,0.000000000000e+00,3.455439062500e+04,4.552054977417e+01,7.543006539345e-01,7.132082246244e-03,1.025932654738e-02,9.660038813308e-06,2.282982766628e-01,4.760281066895e+02,9.010538940430e+02,9.010010375977e+02,8.979735374451e+00,1.000858787847e-06,3.909203223884e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130634248257e-02,2.939784433693e-03,0.000000000000e+00,0.000000000000e+00,-3.014466725290e-02,6.986838579178e-02,0.000000000000e+00
1.147679053247e-03,1.085078656615e-05,1.560996497574e-05,1.482470590730e-08,3.473597753327e-04,9.244614601135e+00,4.315422756918e-06,0.000000000000e+00,3.455440234375e+04,4.552051544189e+01,7.543004751205e-01,7.131569553167e-03,1.025949139148e-02,9.743388545758e-06,2.282986938953e-01,4.760213928223e+02,9.010407714844e+02,9.010007934570e+02,8.979800224304e+00,7.622503517268e-07,3.909164297511e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130574643612e-02,2.939750440419e-03,0.000000000000e+00,0.000000000000e+00,-8.305368945003e-03,9.415387362242e-02,0.000000000000e+00
1.147678936832e-03,1.085041913029e-05,1.561008321005e-05,1.488433021279e-08,3.473600663710e-04,9.244615554810e+00,4.115977844776e-06,0.000000000000e+00,3.455440234375e+04,4.552050018311e+01,7.543004155159e-01,7.131328806281e-03,1.025956962258e-02,9.782575943973e-06,2.282989025116e-01,4.760182189941e+02,9.010346069336e+02,9.010006713867e+02,8.979830741882e+00,6.485420271929e-07,3.909145743819e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130546331406e-02,2.939734607935e-03,0.000000000000e+00,0.000000000000e+00,-4.190427716821e-03,9.713054448366e-02,0.000000000000e+00
1.147679635324e-03,1.085121857614e-05,1.560983400850e-05,1.475604793910e-08,3.473595133983e-04,9.244617462158e+00,5.931727628194e-06,0.000000000000e+00,3.455441015625e+04,4.552055358887e+01,7.543005943298e-01,7.131851278245e-03,1.025940198451e-02,9.698260328150e-06,2.282984703779e-01,4.760253601074e+02,9.010481567383e+02,9.010009155273e+02,8.979763984680e+00,9.028580620907e-07,3.909186125384e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130608171225e-02,2.939769532531e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000014901e-01,0.000000000000e+00
1.147679635324e-03,1.085205985873e-05,1.560956116009e-05,1.461976228967e-08,3.473587566987e-04,9.244614601135e+00,5.114948180562e-06,0.000000000000e+00,3.455439453125e+04,4.552058792114e+01,7.543007731438e-01,7.132405880839e-03,1.025922410190e-02,9.608689651941e-06,2.282980084419e-01,4.760325622559e+02,9.010623168945e+02,9.010012207031e+02,8.979694366455e+00,1.159107682724e-06,3.909228325938e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130672246218e-02,2.939805854112e-03,0.000000000000e+00,0.000000000000e+00,-2.192194201052e-02,7.787123322487e-02,0.000000000000e+00
1.147678005509e-03,1.084968243958e-05,1.561030512676e-05,1.500177759794e-08,3.473604447208e-04,9.244610786438e+00,1.257462827198e-06,0.000000000000e+00,3.455439062500e+04,4.552043533325e+01,7.543002963066e-01,7.130848709494e-03,1.025972235948e-02,9.859772944765e-06,2.282993048429e-01,4.760114440918e+02,9.010219726562e+02,9.010004272461e+02,8.979891777039e+00,4.077541291281e-07,3.909108636435e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130489334464e-02,2.939702244475e-03,0.000000000000e+00,0.000000000000e+00,-4.047266766429e-02,6.194934248924e-02,0.000000000000e+00
