"Mach","Points:0","Points:1","Points:2"
8.979908943176e+00,-9.730188176036e-03,2.680614590645e-02,0.000000000000e+00
8.979908943176e+00,-1.038032956421e-02,2.627394720912e-02,0.000000000000e+00
8.979907989502e+00,-1.070046238601e-02,2.600191347301e-02,0.000000000000e+00
8.979904174805e+00,-1.101716794074e-02,2.572589740157e-02,0.000000000000e+00
8.979901313782e+00,-1.133034285158e-02,2.544588409364e-02,0.000000000000e+00
8.979734420776e+00,-4.557451233268e-03,2.819609642029e-02,0.000000000000e+00
8.979757308960e+00,-2.342548919842e-03,2.989692799747e-02,0.000000000000e+00
8.979772567749e+00,0.000000000000e+00,3.069100156426e-02,0.000000000000e+00
8.979894638062e+00,-1.646920107305e-02,1.937098801136e-02,0.000000000000e+00
8.979901313782e+00,-1.668982394040e-02,1.901348307729e-02,0.000000000000e+00
8.979901313782e+00,-1.690483279526e-02,1.865257136524e-02,0.000000000000e+00
8.979901313782e+00,-1.711415685713e-02,1.828833296895e-02,0.000000000000e+00
8.979900360107e+00,-1.731773279607e-02,1.792085170746e-02,0.000000000000e+00
8.979894638062e+00,-1.751550100744e-02,1.755021326244e-02,0.000000000000e+00
8.979782104492e+00,-1.770740747452e-02,1.717650517821e-02,0.000000000000e+00
8.979887962341e+00,-1.789340190589e-02,1.679982058704e-02,0.000000000000e+00
8.979893684387e+00,-1.807344704866e-02,1.642025448382e-02,0.000000000000e+00
8.979894638062e+00,-1.824750192463e-02,1.603790745139e-02,0.000000000000e+00
8.979894638062e+00,-1.841553859413e-02,1.565287634730e-02,0.000000000000e+00
8.979894638062e+00,-1.857753470540e-02,1.526526361704e-02,0.000000000000e+00
8.979893684387e+00,-1.873347163200e-02,1.487517450005e-02,0.000000000000e+00
8.979887008667e+00,-1.888333633542e-02,1.448271330446e-02,0.000000000000e+00
8.979763031006e+00,-1.902712695301e-02,1.408798526973e-02,0.000000000000e+00
8.979877471924e+00,-1.916483975947e-02,1.369109656662e-02,0.000000000000e+00
8.979885101318e+00,-1.929648593068e-02,1.329215429723e-02,0.000000000000e+00
8.979886054993e+00,-1.942207477987e-02,1.289126370102e-02,0.000000000000e+00
8.979886054993e+00,-1.954162679613e-02,1.248853094876e-02,0.000000000000e+00
8.979886054993e+00,-1.965516433120e-02,1.208406221122e-02,0.000000000000e+00
8.979885101318e+00,-1.976271532476e-02,1.167795993388e-02,0.000000000000e+00
8.979878425598e+00,-1.986431702971e-02,1.127032935619e-02,0.000000000000e+00
8.979777336121e+00,-1.163988467306e-02,2.516185678542e-02,0.000000000000e+00
8.979881286621e+00,-1.194568537176e-02,2.487380802631e-02,0.000000000000e+00
8.979886054993e+00,-1.224764063954e-02,2.458172850311e-02,0.000000000000e+00
8.979887008667e+00,-1.254564337432e-02,2.428561821580e-02,0.000000000000e+00
8.979887008667e+00,-1.283958368003e-02,2.398547716439e-02,0.000000000000e+00
8.979887008667e+00,-1.312935631722e-02,2.368130907416e-02,0.000000000000e+00
8.979886054993e+00,-1.341485232115e-02,2.337312325835e-02,0.000000000000e+00
8.979883193970e+00,-1.369596272707e-02,2.306093275547e-02,0.000000000000e+00
8.979878425598e+00,-1.397258229554e-02,2.274475432932e-02,0.000000000000e+00
8.979655265808e+00,-5.256495904177e-03,2.604450471699e-02,0.000000000000e+00
8.979760169983e+00,-1.424460392445e-02,2.242461405694e-02,0.000000000000e+00
8.979774475098e+00,-1.624303869903e-02,1.972501724958e-02,0.000000000000e+00
8.979879379272e+00,-1.451192144305e-02,2.210053429008e-02,0.000000000000e+00
8.979886054993e+00,-1.477443333715e-02,2.177255041897e-02,0.000000000000e+00
8.979887008667e+00,-1.503203622997e-02,2.144069783390e-02,0.000000000000e+00
8.979887962341e+00,-1.528463233262e-02,2.110501751304e-02,0.000000000000e+00
8.979887008667e+00,-1.553212199360e-02,2.076555415988e-02,0.000000000000e+00
8.979885101318e+00,-1.577441394329e-02,2.042236365378e-02,0.000000000000e+00
8.979880332947e+00,-1.601141504943e-02,2.007549628615e-02,0.000000000000e+00
8.979548454285e+00,-2.109920140356e-03,2.598533965647e-02,0.000000000000e+00
8.979575157166e+00,-1.810572459362e-03,2.817808650434e-02,0.000000000000e+00
8.979574203491e+00,0.000000000000e+00,2.840580232441e-02,0.000000000000e+00
8.979759216309e+00,-1.996000483632e-02,1.086126919836e-02,0.000000000000e+00
8.979883193970e+00,-2.004982344806e-02,1.045088097453e-02,0.000000000000e+00
8.979890823364e+00,-2.013382129371e-02,1.003926061094e-02,0.000000000000e+00
8.979891777039e+00,-2.021204866469e-02,9.626504965127e-03,0.000000000000e+00
8.979890823364e+00,-2.028456144035e-02,9.212708100677e-03,0.000000000000e+00
8.979884147644e+00,-2.035141736269e-02,8.797958493233e-03,0.000000000000e+00
8.979614257812e+00,-1.112656760961e-02,1.851441152394e-02,0.000000000000e+00
8.979622840881e+00,-1.207478623837e-02,1.577410101891e-02,0.000000000000e+00
8.979608535767e+00,-1.263916119933e-02,1.275304052979e-02,0.000000000000e+00
8.979610443115e+00,-6.615625228733e-03,2.347026392817e-02,0.000000000000e+00
