"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -4.482235368,      -2.017750586,      -2.044372052,      0.9429896803
          0,           0,          77,      -4.478280228,      -2.019947568,       -2.04199905,      0.9442084492
          0,           0,          78,       -4.47613149,      -2.025078238,      -2.041167008,       0.942675817
          0,           0,          79,      -4.475104668,      -2.031165447,      -2.042631676,      0.9399034702
          0,           0,          80,      -4.472725049,      -2.038112463,      -2.044504741,      0.9390395692
          0,           0,          81,      -4.470154095,      -2.045843133,      -2.045994253,      0.9378586618
          0,           0,          82,      -4.468624168,      -2.052344284,      -2.048055469,       0.935508204
          0,           0,          83,      -4.468952478,      -2.056914186,      -2.050734194,      0.9313940135
          0,           0,          84,      -4.468698983,      -2.061781038,      -2.054207434,      0.9284435593
          0,           0,          85,      -4.469174216,       -2.06589388,      -2.057622187,      0.9256604537
          0,           0,          86,      -4.470602672,      -2.069773422,      -2.060782502,      0.9227714424
          0,           0,          87,      -4.472881973,      -2.073413138,      -2.064523193,      0.9194592793
          0,           0,          88,      -4.476986455,      -2.075889968,      -2.068095109,      0.9145776769
          0,           0,          89,      -4.481937374,      -2.078938465,      -2.071076788,      0.9098181629
          0,           0,          90,       -4.48731577,      -2.083404463,      -2.075911682,      0.9058211834
          0,           0,          91,      -4.493237091,      -2.090664097,      -2.082347633,      0.9020772153
          0,           0,          92,      -4.501980437,       -2.09592624,      -2.089459438,      0.8955989344
          0,           0,          93,       -4.51199786,      -2.101065394,      -2.097170541,      0.8883365473
          0,           0,          94,      -4.522605155,      -2.108173508,      -2.106096013,      0.8810548469
          0,           0,          95,      -4.533271758,      -2.116802283,      -2.118301866,      0.8749353043
          0,           0,          96,      -4.544467816,      -2.127634527,      -2.133728038,       0.868639951
          0,           0,          97,      -4.555158241,      -2.139605881,      -2.148938009,      0.8631309249
          0,           0,          98,      -4.565056818,      -2.152505871,      -2.163829146,      0.8593759418
          0,           0,          99,      -4.578491766,      -2.165994208,      -2.182111097,      0.8506559881
          0,           0,         100,      -4.595429174,      -2.168260343,      -2.202353276,      0.8380301295
          0,           0,         101,      -4.610866418,      -2.182974748,      -2.224742433,      0.8271493819
          0,           0,         102,      -4.625838892,      -2.198622518,      -2.249079701,       0.816301222
          0,           0,         103,      -4.640134239,      -2.207763556,      -2.275305476,      0.8060522148
          0,           0,         104,      -4.656792134,      -2.220802296,      -2.300611362,      0.7919191221
          0,           0,         105,      -4.673136557,      -2.228819959,      -2.325412699,      0.7771967096
          0,           0,         106,      -4.690241322,      -2.237287669,      -2.349574516,      0.7612976451
          0,           0,         107,      -4.704227541,      -2.244392566,       -2.36992966,      0.7479321281
          0,           0,         108,       -4.71285834,      -2.242209469,      -2.387376535,      0.7395420089
          0,           0,         109,      -4.726166807,      -2.250450707,       -2.40477208,      0.7243051194
          0,           0,         110,      -4.739440426,      -2.233279064,      -2.417225514,      0.7113315904
          0,           0,         111,      -4.753315349,      -2.253924697,      -2.422368954,      0.6945983823
          0,           0,         112,      -4.771268756,      -2.244017085,        -2.4273639,      0.6728233159
          0,           0,         113,      -4.791185477,      -2.236833681,      -2.428794508,       0.646101421
          0,           0,         114,      -4.797456728,      -2.253758124,      -2.430184793,      0.6387821419
          0,           0,         115,      -4.808700009,      -2.260027871,      -2.426509089,      0.6219765184
          0,           0,         116,      -4.822107351,        -2.2626573,      -2.421574409,      0.6043690445
          0,           0,         117,      -4.833188585,      -2.266284489,      -2.416492276,      0.5882923357
          0,           0,         118,      -4.847834993,      -2.270413002,      -2.411764774,      0.5672939295
          0,           0,         119,      -4.860984945,      -2.275080536,      -2.406723415,       0.550255694
          0,           0,         120,      -4.875017369,      -2.279805349,      -2.403732431,      0.5327774141
          0,           0,         121,      -4.889161977,      -2.285890359,      -2.402528833,      0.5149651319
          0,           0,         122,      -4.903860218,      -2.291767299,      -2.402815399,      0.4978523225
          0,           0,         123,      -4.918156592,      -2.298792239,      -2.404984488,      0.4821100532
          0,           0,         124,      -4.931136891,      -2.308516171,      -2.408945015,      0.4688818695
          0,           0,         125,      -4.943371762,      -2.319848376,      -2.414535696,        0.45662247
          0,           0,         126,      -4.955123672,      -2.331644087,      -2.420800515,        0.44557654
          0,           0,         127,      -4.966270472,      -2.342526383,       -2.42824544,       0.435562925
          0,           0,         128,      -4.977225207,      -2.355062172,      -2.435767438,      0.4261597668
          0,           0,         129,      -4.987765706,      -2.367936632,      -2.442958107,      0.4168451532
          0,           0,         130,      -4.997705353,        -2.3860428,      -2.450004957,       0.407228799
          0,           0,         131,      -5.007107428,      -2.403186882,      -2.457888772,      0.3984768577
          0,           0,         132,       -5.01692575,       -2.41983716,      -2.465591041,      0.3881948383
          0,           0,         133,      -5.027618227,      -2.435649215,      -2.472582444,      0.3768939796
          0,           0,         134,      -5.037346189,      -2.450437047,      -2.479610413,      0.3671531783
          0,           0,         135,      -5.046757257,      -2.463376971,      -2.486283056,       0.357880786
          0,           0,         136,      -5.055717798,      -2.474952704,      -2.492189311,      0.3489622929
          0,           0,         137,      -5.064351306,      -2.486259943,      -2.497714822,      0.3408815699
          0,           0,         138,      -5.073799444,      -2.497288771,       -2.50289002,      0.3312136894
          0,           0,         139,      -5.082944351,      -2.506163277,      -2.507757355,      0.3219332888
          0,           0,         140,      -5.090343323,       -2.51441462,      -2.512341668,      0.3158031131
          0,           0,         141,       -5.09875096,      -2.523489841,      -2.517057856,      0.3071275783
          0,           0,         142,      -5.107350879,      -2.532186124,      -2.521675597,      0.2991138385
          0,           0,         143,      -5.116805741,      -2.540073248,      -2.526889459,      0.2895914363
          0,           0,         144,      -5.125791149,      -2.547245676,      -2.532487825,      0.2809825863
          0,           0,         145,      -5.134563883,      -2.553352923,      -2.538146698,      0.2731230116
          0,           0,         146,      -5.143470043,      -2.559451154,      -2.544055888,      0.2653929637
          0,           0,         147,      -5.151901119,      -2.565545723,      -2.550606864,      0.2585591833
          0,           0,         148,      -5.161205696,      -2.571396092,      -2.558211921,      0.2511072548
          0,           0,         149,      -5.170611497,      -2.577525993,      -2.566654491,      0.2439043034
          0,           0,         150,      -5.180220495,        -2.5845387,      -2.577463303,      0.2363760503
          0,           0,         151,      -5.189618994,      -2.590852088,      -2.588843705,      0.2298404694
          0,           0,         152,      -5.198734519,      -2.595980729,      -2.600949479,      0.2242732734
          0,           0,         153,      -5.208268516,      -2.601383987,      -2.614360487,      0.2179234645
          0,           0,         154,      -5.218514916,      -2.606779214,      -2.628137447,      0.2113190996
          0,           0,         155,      -5.228831795,      -2.612325992,      -2.643526674,      0.2046394244
          0,           0,         156,      -5.238726433,      -2.616770821,      -2.660124681,      0.1987874269
          0,           0,         157,      -5.248352024,       -2.62121669,      -2.678252567,      0.1932132828
          0,           0,         158,      -5.256889578,      -2.625407026,      -2.695981996,      0.1883652832
          0,           0,         159,      -5.267250227,      -2.630340881,      -2.715419082,      0.1819675345
          0,           0,         160,      -5.278328888,      -2.633602622,      -2.735855475,      0.1744839167
          0,           0,         161,      -5.288212807,      -2.636707375,      -2.756312158,      0.1683426587
          0,           0,         162,      -5.296882451,      -2.637847637,      -2.776606242,      0.1640111033
          0,           0,         163,      -5.305513972,      -2.639218826,       -2.79744632,      0.1578672523
          0,           0,         164,      -5.313394681,      -2.642160736,      -2.817807271,       0.152671866
          0,           0,         165,      -5.319894039,      -2.642385952,      -2.837520256,      0.1478924659
          0,           0,         166,      -5.327137321,      -2.645422252,      -2.856485724,      0.1419106213
          0,           0,         167,      -5.333570337,      -2.647389322,      -2.873899232,      0.1363153653
          0,           0,         168,      -5.339521831,      -2.647499217,      -2.890279663,      0.1310859276
          0,           0,         169,      -5.344571617,      -2.647811876,      -2.904122929,      0.1283957059
          0,           0,         170,      -5.351146533,      -2.648863631,      -2.914627642,      0.1208048867
          0,           0,         171,      -5.356626473,      -2.651679649,      -2.920997259,      0.1144135015
          0,           0,         172,      -5.362380665,      -2.653561276,      -2.925401158,      0.1068940969
          0,           0,         173,       -5.36747478,        -2.6545059,      -2.928805488,     0.09992828919
          0,           0,         174,      -5.372122061,      -2.649191628,      -2.929556228,     0.09219830436
          0,           0,         175,      -5.377117269,       -2.65799012,      -2.930103654,     0.08570100417
          0,           0,         176,      -5.381092662,       -2.65994974,      -2.929288687,     0.07915624693
          0,           0,         177,      -5.385339649,      -2.663157759,      -2.927550288,     0.07217972305
          0,           0,         178,      -5.389308245,      -2.662689854,      -2.925563477,     0.06696590325
          0,           0,         179,      -5.392948751,      -2.665139091,      -2.922587491,      0.0616416245
          0,           0,         180,      -5.396520676,      -2.669078602,      -2.918993483,     0.05593262854
          0,           0,         181,      -5.399924366,      -2.672252578,      -2.915809452,     0.05069326396
          0,           0,         182,       -5.40246472,      -2.675569239,      -2.912624493,      0.0469085904
          0,           0,         183,      -5.406907896,      -2.678926494,      -2.910289869,     0.04003787849
          0,           0,         184,      -5.409901383,       -2.68285704,      -2.907964733,     0.03550801181
          0,           0,         185,      -5.413070451,      -2.687510396,      -2.906322043,     0.03027713574
          0,           0,         186,      -5.417562064,      -2.693423403,      -2.905044199,     0.02323675518
          0,           0,         187,      -5.421407562,      -2.699297533,      -2.904166819,     0.01737162041
          0,           0,         188,       -5.42537864,      -2.704810423,      -2.904195547,     0.01150529745
          0,           0,         189,      -5.429233923,      -2.710435743,       -2.90474198,    0.005692307532
          0,           0,         190,      -5.433755655,      -2.716189701,      -2.905508565,  -0.0007880962391
          0,           0,         191,      -5.438934072,      -2.721385058,      -2.906804665,   -0.007321924546
          0,           0,         192,      -5.443811915,      -2.726049511,      -2.908321069,    -0.01297352895
          0,           0,         193,      -5.448542402,      -2.730432939,       -2.91015151,    -0.01843348492
          0,           0,         194,       -5.45380106,      -2.734511688,      -2.912222053,     -0.0242727538
          0,           0,         195,      -5.458142979,      -2.738248156,      -2.914591329,    -0.02897196649
          0,           0,         196,      -5.462351616,      -2.741793144,      -2.917341793,    -0.03336020435
          0,           0,         197,      -5.466517626,      -2.745151234,      -2.920203289,    -0.03759225464
          0,           0,         198,      -5.470606808,       -2.74859929,      -2.923019458,    -0.04159699502
          0,           0,         199,      -5.474363064,      -2.751620634,      -2.925503628,     -0.0449118681
          0,           0,         200,      -5.477707936,      -2.754622704,      -2.927606245,    -0.04782923871
          0,           0,         201,      -5.480694272,       -2.75782304,      -2.929222398,    -0.05059322804
          0,           0,         202,      -5.483280594,      -2.761192303,      -2.930635992,    -0.05306156712
          0,           0,         203,      -5.485582555,      -2.764647442,       -2.93142336,     -0.0552436593
          0,           0,         204,      -5.487786065,       -2.76798239,       -2.93179899,    -0.05743164129
          0,           0,         205,       -5.48963221,        -2.7717464,      -2.931872514,      -0.059672607
          0,           0,         206,       -5.49106345,      -2.775862024,      -2.931353378,    -0.06175532569
          0,           0,         207,      -5.492219891,      -2.780353139,      -2.930242001,    -0.06387584424
          0,           0,         208,      -5.493199281,      -2.784984053,      -2.928622685,    -0.06604382742
          0,           0,         209,      -5.493861957,      -2.789907167,      -2.926673593,    -0.06816207243
          0,           0,         210,      -5.493964441,      -2.794889632,      -2.924477889,    -0.06972133914
          0,           0,         211,      -5.493597827,      -2.800070381,      -2.922106669,    -0.07081033292
          0,           0,         212,      -5.493082087,      -2.798563949,      -2.919200789,    -0.07079128626
          0,           0,         213,      -5.491240093,      -2.806196765,      -2.917046516,    -0.07103597801
          0,           0,         214,       -5.48952611,      -2.813592772,      -2.915048318,     -0.0711862256
          0,           0,         215,      -5.488044358,      -2.820635029,      -2.913245531,    -0.07131515387
          0,           0,         216,      -5.487052534,      -2.827541868,      -2.911608604,    -0.07190681131
          0,           0,         217,      -5.486551019,      -2.834489118,      -2.910260302,     -0.0728596469
          0,           0,         218,      -5.485977237,      -2.841584135,      -2.909258443,    -0.07350574137
          0,           0,         219,       -5.48539743,      -2.848701877,      -2.908829851,    -0.07387741486
          0,           0,         220,       -5.48482137,      -2.856294497,      -2.909124596,    -0.07414612655
          0,           0,         221,       -5.48427603,      -2.864155042,      -2.909702232,    -0.07419592488
          0,           0,         222,      -5.483888838,       -2.87209216,      -2.910967463,    -0.07403693016
          0,           0,         223,      -5.483803913,      -2.880088356,      -2.912856199,    -0.07394990208
          0,           0,         224,      -5.484057045,      -2.888388815,      -2.915566188,    -0.07407215528
          0,           0,         225,      -5.484606188,      -2.896915925,      -2.918940361,     -0.0743993789
          0,           0,         226,      -5.485148513,      -2.905645944,       -2.92295385,    -0.07440398656
          0,           0,         227,      -5.484876074,      -2.914369884,      -2.928164707,    -0.07336020915
          0,           0,         228,      -5.486878279,      -2.922760899,      -2.933732765,    -0.07456981686
          0,           0,         229,      -5.488825761,      -2.931140592,       -2.93975089,    -0.07518779327
          0,           0,         230,      -5.490946497,      -2.938977393,      -2.945954879,    -0.07557271855
          0,           0,         231,       -5.49327317,      -2.946426574,      -2.952473137,    -0.07596754837
          0,           0,         232,      -5.495715876,      -2.953780567,      -2.959617695,    -0.07639110687
          0,           0,         233,      -5.498579447,       -2.96101835,       -2.96689419,    -0.07734081025
          0,           0,         234,      -5.501850922,      -2.968072313,      -2.974598369,    -0.07875061553
          0,           0,         235,      -5.505168771,       -2.97522634,       -2.98263598,    -0.08034736602
          0,           0,         236,      -5.508861205,      -2.982079387,      -2.991198904,    -0.08246650279
          0,           0,         237,      -5.512856912,      -2.988192114,      -2.999994836,    -0.08473595712
          0,           0,         238,      -5.516856242,      -2.994044096,      -3.009099067,    -0.08696866813
          0,           0,         239,      -5.521210643,      -2.998994607,      -3.017625125,    -0.08941637254
          0,           0,         240,      -5.525741094,      -3.003881442,      -3.026304566,    -0.09212721802
          0,           0,         241,      -5.530854086,      -3.007815751,      -3.035413001,    -0.09552952137
          0,           0,         242,      -5.535544785,      -3.011032545,      -3.044676786,    -0.09840614466
          0,           0,         243,      -5.540386774,      -3.013903608,      -3.054260792,     -0.1015926029
          0,           0,         244,      -5.545629665,      -3.015833132,          -3.06369,     -0.1053686402
          0,           0,         245,       -5.55075885,      -3.016189054,       -3.07249624,      -0.108887476
          0,           0,         246,      -5.555358878,       -3.01450598,      -3.080407598,     -0.1117702102
          0,           0,         247,      -5.560217162,      -3.015308609,      -3.089337527,     -0.1153317797
          0,           0,         248,      -5.564012959,      -3.014624778,      -3.097306649,     -0.1177414052
