"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -2.000000000000000e+01, 0.000000000000000e+00, 5.258990666449042e-04, 8.943536014762588e-02, 1.561486137869595e-03, 1.163652571710162e+02, 4.350326731642905e+01, 2.881706998047092e+02, 4.998034933692068e-01, 1.436581886670394e-03, 1.789397498563229e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1, -1.984229087829600e+01, -2.506669998169000e+00, 5.259031417630131e-04, 8.943485665593671e-02, 1.557307618447525e-03, 1.163662788728227e+02, 4.350373878102421e+01, 2.881715898397608e+02, 4.997956287855445e-01, 1.498525755824871e-03, 1.789401792731756e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
2, -1.937166023254400e+01, -4.973800182343000e+00, 5.259071041368690e-04, 8.943495531764439e-02, 1.552917632945924e-03, 1.163673763540844e+02, 4.350419918006953e+01, 2.881724683412247e+02, 4.997912260668372e-01, 1.559015766133977e-03, 1.789406031247716e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
3, -1.859552955627400e+01, -7.362490177155000e+00, 5.259112554799436e-04, 8.943573295886785e-02, 1.548195620325932e-03, 1.163686379472610e+02, 4.350468050686703e+01, 2.881733819083192e+02, 4.997903756980888e-01, 1.622255391061329e-03, 1.789410438938633e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
4, -1.752613067627000e+01, -9.635080337524000e+00, 5.259152254922706e-04, 8.943710162855534e-02, 1.543468302729171e-03, 1.163699400095926e+02, 4.350513675740580e+01, 2.881742287178968e+02, 4.997930582419334e-01, 1.682200345497746e-03, 1.789414524538284e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5, -1.618033981323200e+01, -1.175570964813200e+01, 5.259192170051016e-04, 8.943916197841432e-02, 1.538820695267423e-03, 1.163713823518873e+02, 4.350560208221818e+01, 2.881751238403252e+02, 4.997995515395028e-01, 1.743337532866826e-03, 1.789418843226529e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
6, -1.457936954498300e+01, -1.369093990325900e+01, 5.259227132800214e-04, 8.944206521431064e-02, 1.534218439022334e-03, 1.163728153297149e+02, 4.350600338629770e+01, 2.881758662499335e+02, 4.998113622464952e-01, 1.796063289260192e-03, 1.789422425117861e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
7, -1.274847984314000e+01, -1.541026973724400e+01, 5.259255637132788e-04, 8.944559658477809e-02, 1.530147115949164e-03, 1.163741845792420e+02, 4.350633209257333e+01, 2.881764816612608e+02, 4.998274577912111e-01, 1.839250707227043e-03, 1.789425394279330e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
8, -1.071652984619100e+01, -1.688656044006300e+01, 5.259270242136474e-04, 8.944966841362210e-02, 1.526597591946676e-03, 1.163752792535552e+02, 4.350650553135257e+01, 2.881768302121735e+02, 4.998481755855037e-01, 1.862038142716119e-03, 1.789427075923885e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, -8.515580177306999e+00, -1.809654045105000e+01, 5.259271173359493e-04, 8.945419345239992e-02, 1.524128952064850e-03, 1.163760696365241e+02, 4.350651723223002e+01, 2.881768566905203e+02, 4.998731076791604e-01, 1.863575474743268e-03, 1.789427203673238e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
