"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          20,      -4.129258346,       -4.09430997,      -4.089859119,      -4.052980562,      -3.557705934,     0.01154318125,      0.2954524023,     0.01425940975,      0.1918237369,     -0.1026081529,     0.01912983794,   -0.004245025715,     0.01425940975,      0.2956473352,       25.59540528
          0,           0,          21,      -4.139073089,      -4.097760213,      -4.089018594,      -4.058524548,      -3.565613498,     0.01131429693,        0.29606676,     0.01434928915,      0.1921140074,     -0.1019814573,     0.01926602956,   -0.004506379142,     0.01434928915,      0.2962485987,       26.16749073
          0,           0,          22,      -4.151063095,      -4.101003097,      -4.090427528,      -4.062246238,      -3.575165071,     0.01115974237,      0.2962493669,     0.01442963363,      0.1920845023,     -0.1012836475,      0.0193174069,     -0.0046704612,     0.01442963363,      0.2964226949,       26.54625503
          0,           0,          23,      -4.165502718,      -4.105468344,      -4.095893882,      -4.065167576,      -3.588241345,      0.0110723369,       0.296097106,     0.01450126745,      0.1918196502,     -0.1005635058,     0.01930146065,     -0.0047496141,     0.01450126745,      0.2962659852,       26.74206075
          0,           0,          24,      -4.181459691,      -4.111554803,      -4.105014497,      -4.068536728,      -3.604850624,     0.01104969708,       0.295713882,      0.0145623739,       0.191416922,    -0.09987256492,     0.01922932335,   -0.004751764492,      0.0145623739,      0.2958820991,       26.76217093
          0,           0,          25,      -4.197594642,      -4.118372425,      -4.115766286,      -4.072940746,      -3.623377219,     0.01108883283,      0.2952002295,     0.01461195058,      0.1909702777,    -0.09925887841,      0.0191098042,     -0.0046852649,     0.01461195058,      0.2953712681,       26.62139775
          0,           0,          26,      -4.213159984,      -4.124586356,      -4.125620036,      -4.078088661,       -3.64169241,     0.01118285478,      0.2946447263,     0.01465133384,       0.190556726,    -0.09875965704,     0.01895313262,   -0.004561723316,     0.01465133384,       0.294821576,       26.34789883
          0,           0,          27,      -4.228492492,      -4.129535439,      -4.132736965,      -4.083108884,      -3.658447126,     0.01132074651,      0.2941199162,      0.0146839751,      0.1902310847,    -0.09839769753,     0.01877257264,   -0.004396012947,      0.0146839751,       0.294304875,       25.98061144
          0,           0,          28,      -4.244666642,      -4.133690193,      -4.136699874,      -4.087074816,      -3.673702843,     0.01148879296,      0.2936796632,     0.01471423869,       0.190025787,     -0.0981800807,     0.01858386481,   -0.004204704642,     0.01471423869,      0.2938742204,       25.56227309
          0,           0,          29,      -4.262671258,      -4.138198831,      -4.138369858,      -4.089503605,       -3.68853833,     0.01167286584,      0.2933560249,     0.01474592634,      0.1899511949,    -0.09809849525,     0.01840288587,   -0.004003617862,     0.01474592634,      0.2935608696,       25.13144835
          0,           0,          30,      -4.282732329,      -4.144097824,      -4.139114079,      -4.090589082,      -3.704141322,     0.01186013752,      0.2931594452,     0.01478148584,      0.1899991546,    -0.09813225645,     0.01824336295,   -0.003806119437,     0.01478148584,      0.2933745671,       24.71804771
          0,           0,          31,      -4.304133073,        -4.1518371,      -4.140056603,      -4.091055588,       -3.72114367,     0.01204019315,      0.2930831939,     0.01482185135,      0.1901487336,    -0.09825347402,     0.01811501241,   -0.003622250109,     0.01482185135,      0.2933080362,       24.34206745
