# t = 0.000477314
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
6.2745098039215699e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277141e-04 1 2.6714615681621667e+03 3.0899144589615089e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2022560125158498e+02 4.7733490513232221e+02 4.4891510762866581e+01 1.0943600046105156e+02 -2.4287484713333104e+01 0.0000000000000000e+00 3.0781118166768401e+03 3.0781118166768401e+03 9.6460066314250423e-15
1.8823529411764709e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277152e-04 1 2.7187862999462182e+03 3.1446520508283511e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2302638927235000e+02 4.9003972627903397e+02 4.6860636732979906e+01 1.1719562952941057e+02 -2.5895297072417186e+01 0.0000000000000000e+00 3.0969085536644975e+03 3.0969085536644975e+03 -4.5921200274128945e-15
3.1372549019607846e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843129e-03 8.9261590267277131e-04 1 2.7679607343093153e+03 3.2015290793286411e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2596867267521412e+02 5.0344728356247475e+02 4.9022451892760401e+01 1.2600665100168233e+02 -2.7713511015230392e+01 0.0000000000000000e+00 3.0589007802322872e+03 3.0589007802322872e+03 -3.6967545474378673e-15
4.3921568627450979e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277174e-04 1 2.8178048594819666e+03 3.2591806977912696e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2906780961441410e+02 5.1738582612268181e+02 5.1357610768934499e+01 1.3588384400425616e+02 -2.9727729265761052e+01 0.0000000000000000e+00 2.9836518048344938e+03 2.9836518048344938e+03 1.9740179601514912e-14
5.6470588235294130e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843151e-03 8.9261590267277272e-04 1 2.8687285555788071e+03 3.3180809892080165e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.3234507439231265e+02 5.3198197299594392e+02 5.3886438271760760e+01 1.4697945877011190e+02 -3.1963308790014054e+01 0.0000000000000000e+00 2.8665216145501022e+03 2.8665216145501022e+03 9.9482382767155189e-15
6.9019607843137272e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843133e-03 8.9261590267277131e-04 1 2.9206835454058346e+03 3.3781741143328416e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3582232401845249e+02 5.4728340509336908e+02 5.6617266576613993e+01 1.5941583760061201e+02 -3.4435484009242799e+01 0.0000000000000000e+00 2.6944965848117272e+03 2.6944965848117272e+03 2.2983205242376088e-14
8.1568627450980397e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843125e-03 8.9261590267277131e-04 1 2.9735091999104407e+03 3.4392742834699105e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.3952220662885526e+02 5.6332066608669027e+02 5.9553344298740058e+01 1.7330242342293062e+02 -3.7156843232928864e+01 0.0000000000000000e+00 2.4470097197257046e+03 2.4470097197257046e+03 5.4459152049699152e-15
9.4117647058823521e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277131e-04 1 3.0276724490667730e+03 3.5019215656569493e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4347834088103735e+02 5.8026510989982842e+02 6.2708322852770095e+01 1.8877936238977546e+02 -4.0152901234879195e+01 0.0000000000000000e+00 2.0981173370047586e+03 2.0981173370047586e+03 3.6627385991324608e-14
1.0666666666666665e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843107e-03 8.9261590267277033e-04 1 3.0835231005899041e+03 3.5665205618545498e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4772500838984996e+02 5.9827567498829421e+02 6.6091826134845434e+01 2.0597770597442889e+02 -4.3439182756009401e+01 0.0000000000000000e+00 1.6250318885138638e+03 1.6250318885138638e+03 5.0927987137090959e-39
1.1921568627450981e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843194e-03 8.9261590267277131e-04 1 3.1414334951733749e+03 3.6335019355266160e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.5229867918399219e+02 6.1752863077452832e+02 6.9712477720850870e+01 2.2502528328605717e+02 -4.7027834269268283e+01 0.0000000000000000e+00 9.9207615051304720e+02 9.9207615051304720e+02 2.8293381639886182e-14
1.3176470588235295e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.9261590267276935e-04 1 3.2018125598530419e+03 3.7033386672976149e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.5723803824984867e+02 6.3822206162757811e+02 7.3578331110430312e+01 2.4604587130864425e+02 -5.0926521076399723e+01 0.0000000000000000e+00 1.5490498110053923e+02 1.5490498110053920e+02 1.6269169781205604e-14
1.4431372549019609e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843211e-03 8.9261590267277510e-04 1 3.2650704745091975e+03 3.7765051868797320e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.6258332901712578e+02 6.6056963250484830e+02 7.7696592464345102e+01 2.6915669329196987e+02 -5.5140010728338481e+01 0.0000000000000000e+00 -9.4122883359465300e+02 -9.4122883359465300e+02 3.5493410596613906e-14
1.5686274509803925e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843090e-03 8.9261590267277131e-04 1 3.3316093497319421e+03 3.8534665907359870e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.6837601830862627e+02 6.8479981508675905e+02 8.2074301085020835e+01 2.9447177209404572e+02 -5.9669099226666567e+01 0.0000000000000000e+00 -2.3635843856052902e+03 -2.3635843856052902e+03 -1.0797745992821256e-14
