"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
9.996800422668e-01,9.463508725166e-01,1.970063894987e-02,0.000000000000e+00,2.947108030319e+00,9.995922446251e-01,9.999122023582e-01,8.002769351006e-01,-9.101142641157e-04,1.984229087830e+01,-2.506659984589e+00,0.000000000000e+00
9.982227683067e-01,9.420434236526e-01,1.923397555947e-02,0.000000000000e+00,2.942039489746e+00,9.989365339279e-01,1.000715017319e+00,7.974706888199e-01,-2.373767318204e-03,1.855696105957e+01,0.000000000000e+00,0.000000000000e+00
9.985510706902e-01,9.418300986290e-01,1.879312656820e-02,0.000000000000e+00,2.942917823792e+00,9.994301795959e-01,1.000880479813e+00,7.969546914101e-01,-1.271905144677e-03,1.722497940063e+01,0.000000000000e+00,0.000000000000e+00
9.983700513840e-01,9.405910968781e-01,1.862449944019e-02,0.000000000000e+00,2.942087173462e+00,9.995341300964e-01,1.001165986061e+00,7.959346175194e-01,-1.039872644469e-03,1.599551200867e+01,0.000000000000e+00,0.000000000000e+00
9.986901879311e-01,9.405822157860e-01,1.861752942204e-02,0.000000000000e+00,2.942947387695e+00,9.999384880066e-01,1.001249909401e+00,7.956384420395e-01,-1.373107661493e-04,1.486066532135e+01,0.000000000000e+00,0.000000000000e+00
9.984508752823e-01,9.399181604385e-01,1.849855296314e-02,0.000000000000e+00,2.942123651505e+00,9.998175501823e-01,1.001368761063e+00,7.952182888985e-01,-4.072149458807e-04,1.381315994263e+01,0.000000000000e+00,0.000000000000e+00
9.985798597336e-01,9.398371577263e-01,1.837714761496e-02,0.000000000000e+00,2.942448616028e+00,1.000001788139e+00,1.001423954964e+00,7.950232028961e-01,4.064492713951e-06,1.284627246857e+01,0.000000000000e+00,0.000000000000e+00
9.989725947380e-01,9.400063753128e-01,1.826894842088e-02,0.000000000000e+00,2.943551301956e+00,1.000449538231e+00,1.001478552818e+00,7.948302626610e-01,1.003502635285e-03,1.195379829407e+01,0.000000000000e+00,0.000000000000e+00
9.983226060867e-01,9.391565322876e-01,1.842953637242e-02,0.000000000000e+00,2.941573143005e+00,9.998617768288e-01,1.001541733742e+00,7.946065068245e-01,-3.084892232437e-04,1.113001060486e+01,0.000000000000e+00,0.000000000000e+00
9.981799125671e-01,9.379988312721e-01,1.813488826156e-02,0.000000000000e+00,2.940876007080e+00,9.999952912331e-01,1.001818656921e+00,7.936263084412e-01,-1.053121195582e-05,1.036962413788e+01,0.000000000000e+00,0.000000000000e+00
9.983397722244e-01,9.378514885902e-01,1.801806874573e-02,0.000000000000e+00,2.941266536713e+00,1.000235915184e+00,1.001899361610e+00,7.933407425880e-01,5.266533698887e-04,9.667757987976e+00,0.000000000000e+00,0.000000000000e+00
9.978819489479e-01,9.364688396454e-01,1.790222153068e-02,0.000000000000e+00,2.939661502838e+00,1.000033378601e+00,1.002156019211e+00,7.924316525459e-01,7.446554809576e-05,9.019908905029e+00,0.000000000000e+00,0.000000000000e+00
9.980643391609e-01,9.363936781883e-01,1.764876767993e-02,0.000000000000e+00,2.940131664276e+00,1.000283479691e+00,1.002223491669e+00,7.921925187111e-01,6.328240269795e-04,8.421919822693e+00,0.000000000000e+00,0.000000000000e+00
9.980345368385e-01,9.356803297997e-01,1.765712536871e-02,0.000000000000e+00,2.939860105515e+00,1.000437259674e+00,1.002407431602e+00,7.915403842926e-01,9.759583626874e-04,7.869952678680e+00,0.000000000000e+00,0.000000000000e+00
9.983174800873e-01,9.360826015472e-01,1.767345331609e-02,0.000000000000e+00,2.940730333328e+00,1.000684022903e+00,1.002370595932e+00,7.916709780693e-01,1.526883919723e-03,7.360466480255e+00,0.000000000000e+00,0.000000000000e+00
9.980874061584e-01,9.357196688652e-01,1.736988499761e-02,0.000000000000e+00,2.940011739731e+00,1.000494360924e+00,1.002411603928e+00,7.915255427361e-01,1.103554968722e-03,6.890191078186e+00,0.000000000000e+00,0.000000000000e+00
9.973961710930e-01,9.331108331680e-01,1.745537109673e-02,0.000000000000e+00,2.937451362610e+00,1.000325679779e+00,1.002937078476e+00,7.896608710289e-01,7.268866174854e-04,6.456109046936e+00,0.000000000000e+00,0.000000000000e+00
9.979297518730e-01,9.340075254440e-01,1.752317324281e-02,0.000000000000e+00,2.939129352570e+00,1.000754237175e+00,1.002830386162e+00,7.900399565697e-01,1.683491049334e-03,6.055434703827e+00,0.000000000000e+00,0.000000000000e+00
9.978032708168e-01,9.328504800797e-01,1.670693978667e-02,0.000000000000e+00,2.938475370407e+00,1.000908970833e+00,1.003112554550e+00,7.890379428864e-01,2.029021736234e-03,5.685596942902e+00,0.000000000000e+00,0.000000000000e+00
9.979384541512e-01,9.321047663689e-01,1.678778789937e-02,0.000000000000e+00,2.938640832901e+00,1.001277089119e+00,1.003345489502e+00,7.882103323936e-01,2.850526943803e-03,5.344223022461e+00,0.000000000000e+00,0.000000000000e+00
9.980419278145e-01,9.325794577599e-01,1.665120944381e-02,0.000000000000e+00,2.939045906067e+00,1.001280665398e+00,1.003244996071e+00,7.885673046112e-01,2.858512103558e-03,5.029121398926e+00,0.000000000000e+00,0.000000000000e+00
9.975792169571e-01,9.311655759811e-01,1.635380275548e-02,0.000000000000e+00,2.937419891357e+00,1.001079559326e+00,1.003508925438e+00,7.876293063164e-01,2.409859094769e-03,4.738270759583e+00,0.000000000000e+00,0.000000000000e+00
9.974463582039e-01,9.288797378540e-01,1.650362834334e-02,0.000000000000e+00,2.936453342438e+00,1.001521468163e+00,1.004085540771e+00,7.855776548386e-01,3.396093845367e-03,4.469804286957e+00,0.000000000000e+00,0.000000000000e+00
9.989450573921e-01,9.314149618149e-01,1.646395400167e-02,0.000000000000e+00,2.941168546677e+00,1.002723217010e+00,1.003782153130e+00,7.866575121880e-01,6.078569218516e-03,4.221999168396e+00,0.000000000000e+00,0.000000000000e+00
9.974390268326e-01,9.291207194328e-01,1.598011516035e-02,0.000000000000e+00,2.936495304108e+00,1.001450538635e+00,1.004021883011e+00,7.858043313026e-01,3.237874247134e-03,3.993265867233e+00,0.000000000000e+00,0.000000000000e+00
9.982407093048e-01,9.279883503914e-01,1.570231281221e-02,0.000000000000e+00,2.938354492188e+00,1.002756357193e+00,1.004523634911e+00,7.840166687965e-01,6.152708083391e-03,3.782136201859e+00,0.000000000000e+00,0.000000000000e+00
9.975597858429e-01,9.259455800056e-01,1.574859209359e-02,0.000000000000e+00,2.935976266861e+00,1.002446293831e+00,1.004898428917e+00,7.826799750328e-01,5.460442509502e-03,3.587255239487e+00,0.000000000000e+00,0.000000000000e+00
9.985698461533e-01,9.278311729431e-01,1.515744905919e-02,0.000000000000e+00,2.939198017120e+00,1.003212451935e+00,1.004649281502e+00,7.835689187050e-01,7.170614786446e-03,3.407372474670e+00,0.000000000000e+00,0.000000000000e+00
9.986862540245e-01,9.272634387016e-01,1.476403977722e-02,0.000000000000e+00,2.939359426498e+00,1.003510355949e+00,1.004830479622e+00,7.829223275185e-01,7.835737429559e-03,3.241333723068e+00,0.000000000000e+00,0.000000000000e+00
9.984827041626e-01,9.245402812958e-01,1.499498728663e-02,0.000000000000e+00,2.938089847565e+00,1.003976225853e+00,1.005501866341e+00,7.805252671242e-01,8.875461295247e-03,3.088073253632e+00,0.000000000000e+00,0.000000000000e+00
9.995561838150e-01,9.266037940979e-01,1.499570161104e-02,0.000000000000e+00,2.941531658173e+00,1.004772543907e+00,1.005218625069e+00,7.815368175507e-01,1.065293699503e-02,2.946607828140e+00,0.000000000000e+00,0.000000000000e+00
9.995675086975e-01,9.248843789101e-01,1.430935319513e-02,0.000000000000e+00,2.941104412079e+00,1.005244612694e+00,1.005679488182e+00,7.798902392387e-01,1.170662231743e-02,2.816029787064e+00,0.000000000000e+00,0.000000000000e+00
9.993978738785e-01,9.232543110847e-01,1.423592772335e-02,0.000000000000e+00,2.940215826035e+00,1.005463361740e+00,1.006069183350e+00,7.784963846207e-01,1.219509262592e-02,2.695500850677e+00,0.000000000000e+00,0.000000000000e+00
9.997851848602e-01,9.227366447449e-01,1.386015489697e-02,0.000000000000e+00,2.941122770309e+00,1.006085515022e+00,1.006301641464e+00,7.776639461517e-01,1.358363311738e-02,2.584247827530e+00,0.000000000000e+00,0.000000000000e+00
1.000667929649e+00,9.227854013443e-01,1.388094387949e-02,0.000000000000e+00,2.943517684937e+00,1.007175683975e+00,1.006503462791e+00,7.769412994385e-01,1.601719856262e-02,2.481556653976e+00,0.000000000000e+00,0.000000000000e+00
1.000055909157e+00,9.196884036064e-01,1.373969577253e-02,0.000000000000e+00,2.941050529480e+00,1.007226586342e+00,1.007170200348e+00,7.745499014854e-01,1.613079942763e-02,2.386768341064e+00,0.000000000000e+00,0.000000000000e+00
1.001137614250e+00,9.196115732193e-01,1.314426679164e-02,0.000000000000e+00,2.943947792053e+00,1.008599638939e+00,1.007453680038e+00,7.735323309898e-01,1.919569820166e-02,2.299274682999e+00,0.000000000000e+00,0.000000000000e+00
1.001904964447e+00,9.196925759315e-01,1.294510904700e-02,0.000000000000e+00,2.946039676666e+00,1.009537220001e+00,1.007617712021e+00,7.729426622391e-01,2.128840051591e-02,2.218514442444e+00,0.000000000000e+00,0.000000000000e+00
1.002655982971e+00,9.207724928856e-01,1.280226279050e-02,0.000000000000e+00,2.948350191116e+00,1.010192155838e+00,1.007516145706e+00,7.733076810837e-01,2.275034971535e-02,2.143969058990e+00,0.000000000000e+00,0.000000000000e+00
1.002330183983e+00,9.169708490372e-01,1.247855741531e-02,0.000000000000e+00,2.946473598480e+00,1.010782241821e+00,1.008432388306e+00,7.700120806694e-01,2.406739629805e-02,2.075160264969e+00,0.000000000000e+00,0.000000000000e+00
1.003298401833e+00,9.167894124985e-01,1.236600894481e-02,0.000000000000e+00,2.949040412903e+00,1.012037754059e+00,1.008710622787e+00,7.690094113350e-01,2.686997316778e-02,2.011646747589e+00,0.000000000000e+00,0.000000000000e+00
