# t = 0.000402652
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
6.2745098039215699e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277141e-04 1 2.6714615678822984e+03 3.0899144586378026e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2022560124120923e+02 4.7733490506684927e+02 4.4891510756073309e+01 1.0943600043872399e+02 -2.4287484711551137e+01 0.0000000000000000e+00 3.0781118173075010e+03 3.0781118173075010e+03 3.3485241567722157e-16
1.8823529411764709e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843140e-03 8.9261590267277152e-04 1 2.7187863052566277e+03 3.1446520569705740e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2302638956481991e+02 4.9003972767987813e+02 4.6860636162700054e+01 1.1719562645023996e+02 -2.5895296381558492e+01 0.0000000000000000e+00 3.0969084798682911e+03 3.0969084798682911e+03 -3.7558466364801511e-16
3.1372549019607846e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843129e-03 8.9261590267277131e-04 1 2.7679607471218774e+03 3.2015290941481388e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.2596867343211585e+02 5.0344728706188079e+02 4.9022457782127489e+01 1.2600668070113997e+02 -2.7713517514699909e+01 0.0000000000000000e+00 3.0589014059179772e+03 3.0589014059179772e+03 -1.2624007980165760e-14
4.3921568627450979e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277174e-04 1 2.8178048674771721e+03 3.2591807070388300e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484825e-05 3.2906781007804847e+02 5.1738582831966801e+02 5.1357614388978682e+01 1.3588386277841948e+02 -2.9727733355668509e+01 0.0000000000000000e+00 2.9836521297933778e+03 2.9836521297933778e+03 2.6038412638533085e-14
5.6470588235294130e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843151e-03 8.9261590267277272e-04 1 2.8687285569994215e+03 3.3180809908511535e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3234507449173998e+02 5.3198197341853756e+02 5.3886438910368277e+01 1.4697946218190683e+02 -3.1963309527748031e+01 0.0000000000000000e+00 2.8665216425872682e+03 2.8665216425872682e+03 -4.7090351786221469e-15
6.9019607843137272e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843133e-03 8.9261590267277131e-04 1 2.9206835404635171e+03 3.3781741086163684e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3582232382314470e+02 5.4728340384897842e+02 5.6617265639439651e+01 1.5941583259055344e+02 -3.4435482937975422e+01 0.0000000000000000e+00 2.6944964981987146e+03 2.6944964981987146e+03 -1.5658889826939837e-66
8.1568627450980397e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843125e-03 8.9261590267277131e-04 1 2.9735091892717928e+03 3.4392742711648439e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.3952220610420483e+02 5.6332066320075887e+02 5.9553342499173347e+01 1.7330241355849012e+02 -3.7156841170991079e+01 0.0000000000000000e+00 2.4470096110300587e+03 2.4470096110300587e+03 -5.4459147760688625e-15
9.4117647058823521e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843142e-03 8.9261590267277131e-04 1 3.0276724335811873e+03 3.5019215477457295e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4347834002944546e+02 5.8026510549329475e+02 6.2708320787168645e+01 1.8877935090104046e+02 -4.0152898877556261e+01 0.0000000000000000e+00 2.0981172917218496e+03 2.0981172917218496e+03 -2.7796395643887031e-14
1.0666666666666665e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843107e-03 8.9261590267277033e-04 1 3.0835230845154097e+03 3.5665205432621756e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.4772500741337240e+02 5.9827567018939476e+02 6.6091824307189071e+01 2.0597769563909864e+02 -4.3439180661431031e+01 0.0000000000000000e+00 1.6250319538698632e+03 1.6250319538698632e+03 9.0912894233329708e-15
1.1921568627450981e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 1.2549019607843194e-03 8.9261590267277131e-04 1 3.1414334875683653e+03 3.6335019267303703e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8503076010484828e-05 3.5229867858841499e+02 6.1752862823560940e+02 6.9712477707900021e+01 2.2502528374362802e+02 -4.7027834382766130e+01 0.0000000000000000e+00 9.9207633252684843e+02 9.9207633252684843e+02 1.1910733459246498e-14
