"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -10.93365197,        -10.538718,      -11.34739403,      -11.31953601,      -10.53341168,      -13.68856132
          0,           0,          55,      -10.93618401,      -10.54181375,      -11.34494287,       -11.3097624,      -10.53548303,      -13.69162117
          0,           0,          56,      -10.95927766,      -10.54505496,      -11.34469095,      -11.28786826,      -10.56319937,      -13.69469769
          0,           0,          57,        -10.972173,       -10.5495896,      -11.35869184,      -11.30658121,      -10.57654935,      -13.69816814
          0,           0,          58,      -10.96085021,       -10.5543317,      -11.32302185,      -11.23875547,      -10.55962485,      -13.70218365
          0,           0,          59,      -10.91695348,      -10.55827218,      -11.23344862,      -11.10192411,      -10.50494961,       -13.7064006
          0,           0,          60,       -10.8704662,      -10.56037967,      -11.15977132,      -11.01509912,      -10.45008399,      -13.70980122
          0,           0,          61,      -10.83864859,      -10.56216691,      -11.04807782,      -10.91556803,      -10.41377281,      -13.71254533
          0,           0,          62,      -10.79969268,      -10.56018867,      -10.93925343,      -10.86248306,      -10.37172152,       -13.7147355
          0,           0,          63,      -10.77105935,      -10.55848304,      -10.84494954,       -10.7941751,      -10.34112437,      -13.71647372
          0,           0,          64,      -10.74253949,      -10.55617168,      -10.77220885,      -10.79086342,      -10.31029726,      -13.71783546
          0,           0,          65,      -10.74307382,      -10.55550425,      -10.75065125,      -10.76275761,      -10.31220673,      -13.71896497
          0,           0,          66,      -10.78668663,      -10.55827093,      -10.78888869,      -10.77572437,       -10.3593738,      -13.71982697
          0,           0,          67,      -10.86300717,      -10.56245327,       -10.8656299,      -10.77185299,      -10.44741764,      -13.72069475
          0,           0,          68,      -10.92942843,      -10.56508013,      -10.95064573,      -10.83725056,      -10.53479759,      -13.72168024
          0,           0,          69,      -10.95799849,      -10.56659275,      -10.97314546,      -10.92034508,      -10.57129259,      -13.72277992
          0,           0,          70,      -10.96273416,      -10.56365636,      -10.96298955,      -10.93808786,      -10.57275157,      -13.72400424
          0,           0,          71,      -10.96323839,      -10.56550575,      -10.95939657,      -11.06106054,      -10.57025628,      -13.72536035
          0,           0,          72,      -10.96982532,       -10.5657373,      -10.98989658,      -11.15760816,      -10.57599368,      -13.72690647
          0,           0,          73,      -10.97034608,      -10.56588842,       -11.0275565,      -11.16571293,       -10.5742443,      -13.72864851
          0,           0,          74,       -10.9708533,      -10.56770749,        -11.068558,      -11.22728054,      -10.57229755,      -13.73061395
          0,           0,          75,      -10.98183364,      -10.57060905,      -11.10562141,      -11.27181209,      -10.58481006,      -13.73280681
          0,           0,          76,      -10.98536468,      -10.57346556,      -11.14174397,      -11.25720533,      -10.58830279,      -13.73526166
          0,           0,          77,      -10.99305709,      -10.57634051,      -11.17281844,      -11.28143682,      -10.59679144,      -13.73799774
          0,           0,          78,      -11.00252995,       -10.5805932,      -11.20382195,      -11.28660827,       -10.6076024,      -13.74105959
