"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
22, 1.944890006550373e+01, 2.113083503058475e+00, 9.993723959560842e-01, 9.467340001542115e-01, 1.771775156886871e-02, 2.946460881635286e+00, 9.991479004573596e-01, 9.997753635185113e-01, 8.008689038225708e-01, -1.902007907679527e-03
23, 1.914521965476785e+01, 1.756071716776759e+00, 9.991274504802800e-01, 9.469205861126184e-01, 1.790362679640321e-02, 2.945824604984824e+00, 9.987773462987802e-01, 9.996495900684829e-01, 8.012764258110644e-01, -2.729137725936981e-03
24, 1.892630405491076e+01, 1.488041181579878e+00, 9.990698162998222e-01, 9.470164145683211e-01, 1.814760482160039e-02, 2.945710596343206e+00, 9.986832916594404e-01, 9.996131154859493e-01, 8.014222641453709e-01, -2.939081117320617e-03
25, 1.880718401711726e+01, 1.296661504844555e+00, 9.990929515901806e-01, 9.471279099249844e-01, 1.827432928523228e-02, 2.945803609022103e+00, 9.986814556695017e-01, 9.995881304937404e-01, 8.015101014292090e-01, -2.943179309147931e-03
26, 1.896058598408628e+01, 1.167335722189949e+00, 9.989953122536172e-01, 9.474914710902379e-01, 1.825932694891164e-02, 2.945630701441915e+00, 9.984569442436210e-01, 9.994610905542873e-01, 8.019467370092181e-01, -3.444320884774623e-03
27, 1.914388660262836e+01, 2.528042861966829e+00, 9.994751307539564e-01, 9.467061319504591e-01, 1.799206995853569e-02, 2.946720203383066e+00, 9.992786719009554e-01, 9.998034379776385e-01, 8.007561513906581e-01, -1.610107363938776e-03
28, 1.842551375114787e+01, 2.816724134304698e+00, 9.995077227241623e-01, 9.467295265456226e-01, 1.825124440383443e-02, 2.946803836338308e+00, 9.993072320801464e-01, 9.997994106103858e-01, 8.007556277261120e-01, -1.546356963958975e-03
29, 1.747928823349814e+01, 4.177375550476921e+00, 9.996263006019971e-01, 9.466760757557561e-01, 1.834734852749603e-02, 2.947111871706039e+00, 9.994712734014238e-01, 9.998449148441974e-01, 8.005988048667946e-01, -1.180193300393233e-03
30, 1.765127712262301e+01, 3.181048610680155e+00, 9.995830050712483e-01, 9.466991585334066e-01, 1.833972746625058e-02, 2.947001485466289e+00, 9.994106610198367e-01, 9.998275840520123e-01, 8.006598104721263e-01, -1.315488795007443e-03
31, 1.624983918683909e+01, 5.183573661183754e+00, 9.996418370835010e-01, 9.466633798828088e-01, 1.836170363723993e-02, 2.947152047662952e+00, 9.994948354270391e-01, 9.998529456741320e-01, 8.005726494525943e-01, -1.127599493216302e-03
32, 1.930228677649069e+01, 1.074512866641652e+00, 9.985603972547313e-01, 9.476458552571569e-01, 1.807999570180763e-02, 2.944492784224843e+00, 9.978661739690267e-01, 9.993047758677260e-01, 8.024865420762042e-01, -4.763004533422636e-03
33, 1.891596500776858e+01, 1.064087258848796e+00, 9.989930548156206e-01, 9.474417362638599e-01, 1.831695813502137e-02, 2.945611660970289e+00, 9.984673675908451e-01, 9.994737829034532e-01, 8.019023191472304e-01, -3.421054484720783e-03
34, 1.752613067627000e+01, 9.635069847106999e+00, 9.996173503530598e-01, 9.466763649077842e-01, 1.846339348805205e-02, 2.947099359259815e+00, 9.994636981686100e-01, 9.998462889980897e-01, 8.006075747670012e-01, -1.197102302209763e-03
35, 1.436421870639108e+01, 6.036636813569277e+00, 9.996155306114752e-01, 9.466757059452232e-01, 1.830304359198196e-02, 2.947086278881707e+00, 9.994595686517455e-01, 9.998439780546083e-01, 8.006067680222072e-01, -1.206319973782465e-03
36, 1.534003894167709e+01, 8.634029537276845e+00, 9.995536917512267e-01, 9.467147371222632e-01, 1.838247052214235e-02, 2.946938309045686e+00, 9.993739135477236e-01, 9.998201415241756e-01, 8.007001427980237e-01, -1.397514402402574e-03
37, 6.287696191411321e-01, 8.466096522128526e-02, 6.148419546561670e-01, 8.934812530552162e-01, -7.788944355973645e-02, 1.920775373115344e+00, 5.066573752648991e-01, 8.240448971121903e-01, 1.358083496119706e+00, -1.101211215926565e+00
38, 6.270014572597185e-01, 6.885623314499600e-02, 6.128191081202788e-01, 8.933850609878424e-01, -7.814386346370288e-02, 1.915656974470894e+00, 5.037894693789571e-01, 8.220851189256286e-01, 1.364077433739615e+00, -1.107612791564828e+00
39, 1.949788502130869e+01, 9.958656377888636e-01, 9.979407359668793e-01, 9.469191283063142e-01, 1.766632480918889e-02, 2.942655115463476e+00, 9.972982782066027e-01, 9.993562165195570e-01, 8.023420079742778e-01, -6.030629003119061e-03
40, 1.966337780721119e+01, 1.030700259340725e+00, 9.979557816734270e-01, 9.474865894340938e-01, 1.673294267561663e-02, 2.942938028460889e+00, 9.972051475760767e-01, 9.992478282994748e-01, 8.028397440591907e-01, -6.238509874828796e-03
41, 1.993508630371415e+01, 1.031751132381406e+00, 9.978490105367462e-01, 9.466233905929465e-01, 1.410100621112879e-02, 2.941894540332283e+00, 9.971124644756052e-01, 9.992618662208776e-01, 8.021524307130923e-01, -6.445391795524114e-03
42, 6.301546966695277e-01, 9.949757564171829e-02, 6.190413695771705e-01, 8.986210596464235e-01, -7.787897292683992e-02, 1.933475325736812e+00, 5.105369565819854e-01, 8.247218710612219e-01, 1.356013472135088e+00, -1.092551436200926e+00
43, 1.886921141338680e+01, 2.014928530736813e+00, 9.992792697461396e-01, 9.468265962352106e-01, 1.808087454781424e-02, 2.946213290082162e+00, 9.989944472608954e-01, 9.997149720865154e-01, 8.010518486409947e-01, -2.244537364072839e-03
44, 1.862790660032474e+01, 1.636271909057761e+00, 9.992464124877584e-01, 9.468788760946542e-01, 1.826989945733841e-02, 2.946144064678608e+00, 9.989396643333137e-01, 9.996930205096448e-01, 8.011342692973942e-01, -2.366820684567601e-03
45, 1.845216270154970e+01, 1.377161795962364e+00, 9.992783403700987e-01, 9.469614790835320e-01, 1.838334666551218e-02, 2.946253431889029e+00, 9.989570047729234e-01, 9.996784323404264e-01, 8.011862353072875e-01, -2.328114346153184e-03
46, 1.842374253917487e+01, 1.206210715537658e+00, 9.993141188026801e-01, 9.471884537930911e-01, 1.844480752508732e-02, 2.946411469745017e+00, 9.989401512896409e-01, 9.996257758136279e-01, 8.013716217441871e-01, -2.365733728480212e-03
47, 1.852682139726252e+01, 1.107989945457261e+00, 9.993050507695619e-01, 9.474211059374441e-01, 1.847472683172298e-02, 2.946450977750314e+00, 9.988658851410631e-01, 9.995605289614411e-01, 8.016023111441331e-01, -2.531506381555549e-03
48, 1.835030449047082e+01, 1.030073449399858e+00, 9.993179971912516e-01, 9.471382230894514e-01, 1.852851609656402e-02, 2.946410034568950e+00, 9.989586985889640e-01, 9.996404561878227e-01, 8.013215278022180e-01, -2.324333506776737e-03
49, 1.837744789913967e+01, 2.212264400877133e+00, 9.994188210024395e-01, 9.467705898501957e-01, 1.827804127489778e-02, 2.946576711093142e+00, 9.991846668610184e-01, 9.997657096939736e-01, 8.008755147791159e-01, -1.819940042369717e-03
50, 1.763985983754463e+01, 2.420057214565531e+00, 9.995319123662831e-01, 9.467102307646071e-01, 1.837936783628055e-02, 2.946867628718207e+00, 9.993434624465207e-01, 9.998114618278506e-01, 8.007172044383585e-01, -1.465485610444811e-03
51, 1.639674719465253e+01, 3.613742479865020e+00, 9.996438470310012e-01, 9.466637957850460e-01, 1.838578044209176e-02, 2.947156805134469e+00, 9.994967645009443e-01, 9.998528650674000e-01, 8.005718186677158e-01, -1.123293524677973e-03
