"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          20,      -5.858706725,      -5.898863182,      -5.582930323,      -5.601369593,      -5.300984553,     0.01107478702,      0.2888436169,     0.01616982539,      0.1868790933,    -0.09587058087,     0.01977185063,    -0.00435996397,     0.01616982539,      0.2890229691,       26.08118932
          0,           0,          21,      -5.889659649,      -5.929392876,      -5.596339821,      -5.615702437,      -5.331291847,     0.01107567293,      0.2888422196,     0.01616849394,      0.1868779921,     -0.0958704097,     0.01977041088,   -0.004359004736,     0.01616849394,      0.2890216211,       26.07897701
          0,           0,          22,      -5.918657807,      -5.957712083,      -5.608846329,      -5.629305816,      -5.359957337,     0.01107633476,      0.2888407127,     0.01616725032,      0.1868770395,    -0.09587025938,     0.01976920916,   -0.004358263398,     0.01616725032,      0.2890201516,       26.07728268
          0,           0,          23,      -5.945968353,      -5.984052736,      -5.620580714,      -5.642253784,      -5.387204667,     0.01107683677,         0.2888391,     0.01616607461,      0.1868761394,    -0.09587011804,     0.01976820687,   -0.004357676019,     0.01616607461,       0.289018568,       26.07595526
          0,           0,          24,       -5.97186814,      -6.008659999,      -5.631673315,      -5.654619842,      -5.413258418,      0.0110772319,      0.2888373257,     0.01616495259,      0.1868751348,    -0.09586994522,     0.01976735626,   -0.004357186742,     0.01616495259,      0.2890168174,       26.07486495
          0,           0,          25,      -5.996600537,      -6.031741418,      -5.642245989,      -5.666474338,      -5.438299593,     0.01107755975,      0.2888353116,     0.01616387188,       0.186873864,    -0.09586969963,     0.01976660558,   -0.004356751845,     0.01616387188,      0.2890148236,       26.07391143
          0,           0,          26,      -6.020368775,      -6.053462169,      -5.652400583,      -5.677882042,      -5.462460085,     0.01107785145,       0.288833003,     0.01616281906,      0.1868722175,    -0.09586936411,     0.01976590389,    -0.00435633732,     0.01616281906,      0.2890125339,       26.07301645
          0,           0,          27,      -6.043347864,      -6.073961077,      -5.662212374,      -5.688899296,      -5.485840192,     0.01107813391,      0.2888304042,     0.01616178078,      0.1868701718,    -0.09586895932,     0.01976520752,    -0.00435591653,     0.01616178078,      0.2890099539,       26.07211706
          0,           0,          28,      -6.065698069,      -6.093371722,       -5.67173249,      -5.699572826,      -5.508531635,     0.01107843151,      0.2888275906,     0.01616074625,       0.186867794,    -0.09586854465,     0.01976448444,   -0.004355469165,     0.01616074625,      0.2890071602,       26.07116273
          0,           0,          29,      -6.087565907,      -6.111834174,      -5.680995876,      -5.709940256,      -5.530628065,     0.01107876568,         0.2888247,     0.01615970946,      0.1868652235,    -0.09586820853,     0.01976371583,   -0.004354981166,     0.01615970946,      0.2890042915,       26.07011543
          0,           0,          30,      -6.109073121,      -6.129493409,      -5.690029418,      -5.720031819,       -5.55221964,     0.01107915356,        0.28882191,     0.01615867131,      0.1868626422,    -0.09586805383,     0.01976289667,   -0.004354444902,     0.01615867131,      0.2890015262,       26.06895088
          0,           0,          31,      -6.130302297,      -6.146485634,      -5.698857258,      -5.729872392,      -5.573378356,     0.01107960672,      0.2888194102,     0.01615763919,      0.1868602436,    -0.09586818225,     0.01976203338,   -0.004353858945,     0.01615763919,      0.2889990542,       26.06765903
          0,           0,          32,       -6.15129022,      -6.162923318,      -5.707502948,      -5.739483347,      -5.594146847,     0.01108013012,      0.2888173716,     0.01615662501,      0.1868582017,    -0.09586867913,     0.01976114043,   -0.004353227462,     0.01615662501,      0.2889970464,       26.06624366
          0,           0,          33,      -6.172027508,      -6.178880127,      -5.715988642,      -5.748883203,      -5.614530971,     0.01108072124,      0.2888159205,     0.01615564287,      0.1868566467,    -0.09586960037,     0.01976023693,   -0.004352559734,     0.01615564287,       0.288995629,       26.06472218
          0,           0,          34,      -6.192472202,      -6.194390198,      -5.724335059,      -5.758088991,      -5.634508437,     0.01108137015,       0.288815124,     0.01615470674,      0.1868556501,    -0.09587096551,      0.0197593436,   -0.004351869225,     0.01615470674,      0.2889948682,       26.06312397
