"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147677539848e-03,1.084892210201e-05,1.561054887134e-05,1.512622205269e-08,3.473610267974e-04,9.244609832764e+00,2.745576352936e-07,0.000000000000e+00,3.455439062500e+04,4.552038955688e+01,7.543001174927e-01,7.130350451916e-03,1.025988440961e-02,9.941565622285e-06,2.282997071743e-01,4.760047302246e+02,9.010090942383e+02,9.010001831055e+02,8.979955673218e+00,1.682591488361e-07,3.909070073860e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.259059742093e-02,3.969957679510e-02,0.000000000000e+00
1.147677539848e-03,1.084884752345e-05,1.561057433719e-05,1.513866720870e-08,3.473610850051e-04,9.244609832764e+00,2.125979960965e-07,0.000000000000e+00,3.455439062500e+04,4.552038574219e+01,7.543001174927e-01,7.130301091820e-03,1.025990024209e-02,9.949744708138e-06,2.282997518778e-01,4.760040588379e+02,9.010078125000e+02,9.010001220703e+02,8.979961395264e+00,1.446095296842e-07,3.909066435881e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.435146391392e-02,3.493629023433e-02,0.000000000000e+00
1.147677539848e-03,1.084880477720e-05,1.561058707011e-05,1.514570158179e-08,3.473611141089e-04,9.244609832764e+00,1.731380194769e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543001174927e-01,7.130273617804e-03,1.025990955532e-02,9.954368579201e-06,2.282997816801e-01,4.760036926270e+02,9.010070800781e+02,9.010001220703e+02,8.979965209961e+00,1.312316726398e-07,3.909064253094e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.587431415915e-02,3.009165637195e-02,0.000000000000e+00
1.147677539848e-03,1.084880022972e-05,1.561058888910e-05,1.514642278266e-08,3.473611141089e-04,9.244609832764e+00,1.415417614226e-07,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130270823836e-03,1.025991048664e-02,9.954842425941e-06,2.282997816801e-01,4.760036315918e+02,9.010070190430e+02,9.010001220703e+02,8.979965209961e+00,1.298292175989e-07,3.909063889296e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.715603008866e-02,2.517771720886e-02,0.000000000000e+00
1.147677656263e-03,1.084907489712e-05,1.561049975862e-05,1.510100666735e-08,3.473609103821e-04,9.244609832764e+00,1.932640145696e-07,0.000000000000e+00,3.455438671875e+04,4.552039718628e+01,7.543001174927e-01,7.130451034755e-03,1.025985181332e-02,9.924992809829e-06,2.282996326685e-01,4.760060729980e+02,9.010117187500e+02,9.010002441406e+02,8.979942321777e+00,2.159808616398e-07,3.909077713615e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.819588899612e-02,2.020695805550e-02,0.000000000000e+00
1.147677423432e-03,1.084878385882e-05,1.561059434607e-05,1.514910152878e-08,3.473611141089e-04,9.244609832764e+00,6.179705280829e-08,0.000000000000e+00,3.455439062500e+04,4.552038192749e+01,7.543000578880e-01,7.130260113627e-03,1.025991421193e-02,9.956602298189e-06,2.282997816801e-01,4.760035095215e+02,9.010067749023e+02,9.010001220703e+02,8.979967117310e+00,1.246748126960e-07,3.909063161700e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.955864861608e-02,1.014483999461e-02,0.000000000000e+00
1.147677423432e-03,1.084875111701e-05,1.561060526001e-05,1.515456915513e-08,3.473611432128e-04,9.244609832764e+00,7.174170235658e-08,0.000000000000e+00,3.455439062500e+04,4.552037811279e+01,7.543000578880e-01,7.130238227546e-03,1.025992166251e-02,9.960196621250e-06,2.282997965813e-01,4.760032043457e+02,9.010061645508e+02,9.010001220703e+02,8.979969978333e+00,1.143408070448e-07,3.909061342711e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.899550020695e-02,1.519192568958e-02,0.000000000000e+00
1.147677772678e-03,1.084927316697e-05,1.561043609399e-05,1.506838032128e-08,3.473607648630e-04,9.244609832764e+00,5.150872084414e-07,0.000000000000e+00,3.455438671875e+04,4.552040863037e+01,7.543001770973e-01,7.130580954254e-03,1.025980897248e-02,9.903547834256e-06,2.282995134592e-01,4.760078125000e+02,9.010150756836e+02,9.010003051758e+02,8.979926109314e+00,2.784772732412e-07,3.909087899956e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.059713870287e-02,4.437031224370e-02,0.000000000000e+00
1.147677656263e-03,1.084918585548e-05,1.561046337883e-05,1.508294289465e-08,3.473608230706e-04,9.244610786438e+00,5.546172587856e-07,0.000000000000e+00,3.455439062500e+04,4.552040481567e+01,7.543001770973e-01,7.130523212254e-03,1.025982759893e-02,9.913119356497e-06,2.282995730639e-01,4.760070495605e+02,9.010135498047e+02,9.010002441406e+02,8.979933738708e+00,2.510703609460e-07,3.909083534381e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.837860912085e-02,4.893845319748e-02,0.000000000000e+00
1.147677889094e-03,1.084951145458e-05,1.561035969644e-05,1.502946922471e-08,3.473605611362e-04,9.244610786438e+00,8.448066068922e-07,0.000000000000e+00,3.455438671875e+04,4.552042388916e+01,7.543002367020e-01,7.130736950785e-03,1.025975868106e-02,9.877974662231e-06,2.282993942499e-01,4.760099182129e+02,9.010191040039e+02,9.010003662109e+02,8.979906082153e+00,3.534796064741e-07,3.909099905286e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.594434052706e-02,5.339539796114e-02,0.000000000000e+00
